timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-114.0;0.0;-114.0
200;-85.5;0.0;-85.5
300;0.0;0.0;0.0
400;-210.0;0.0;-210.0
500;-228.0;0.0;-228.0
600;-152.0;0.0;-152.0
700;-190.0;0.0;-190.0
800;-247.0;0.0;-247.0
900;-250.0;0.0;-250.0
1000;-250.0;0.0;-250.0
1100;-538.0;0.0;-538.0
1200;-250.0;0.0;-250.0
1300;-202.0;0.0;-202.0
1400;-382.0;0.0;-382.0
1500;-322.0;0.0;-322.0
1600;-202.0;0.0;-202.0
1700;-622.0;0.0;-622.0
1800;-262.0;0.0;-262.0
1900;-262.0;0.0;-262.0
2000;-262.0;0.0;-262.0
2100;-622.0;0.0;-622.0
2200;-328.0;0.0;-328.0
2300;-328.0;0.0;-328.0
2400;-328.0;0.0;-328.0
2500;-754.0;0.0;-754.0
2600;-257.0;0.0;-257.0
2700;-257.0;0.0;-257.0
2800;-278.5;85.0;-363.5
2900;-187.0;70.0;-257.0
3000;-540.0;80.0;-620.0
3100;343.0;94.0;249.0
3200;-40.5;66.0;-106.5
3300;315.0;66.0;249.0
3400;-167.0;58.0;-225.0
3500;-83.5;102.0;-185.5
3600;-80.0;66.0;-146.0
3700;-80.0;66.0;-146.0
3800;-162.5;102.0;-264.5
3900;-80.0;66.0;-146.0
4000;-78.0;74.0;-152.0
4100;394.0;66.0;328.0
4200;-286.0;-14.0;-272.0
4300;-90.0;62.0;-152.0
4400;-90.0;62.0;-152.0
4500;-38.0;74.0;-112.0
4600;-10.0;62.0;-72.0
4700;-46.0;66.0;-112.0
4800;-406.0;66.0;-472.0
4900;10.0;82.0;-72.0
5000;2.0;74.0;-72.0
5100;2.0;74.0;-72.0
5200;130.0;202.0;-72.0
5300;135.5;207.5;-72.0
5400;181.0;213.0;-32.0
5500;250.0;202.0;48.0
5600;84.5;196.5;-112.0
5700;221.0;213.0;8.0
5800;199.0;191.0;8.0
5900;199.0;191.0;8.0
6000;79.0;191.0;-112.0
6100;120.0;112.0;8.0
6200;138.0;130.0;8.0
6300;207.0;199.0;8.0
6400;196.0;268.0;-72.0
6500;258.5;210.5;48.0
6600;390.0;222.0;168.0
6700;-170.0;222.0;-392.0
6800;310.0;222.0;88.0
6900;310.0;222.0;88.0
7000;275.5;187.5;88.0
7100;275.5;187.5;88.0
7200;333.0;245.0;88.0
7300;310.0;222.0;88.0
7400;333.0;245.0;88.0
7500;-145.0;247.0;-392.0
7600;432.0;264.0;168.0
7700;449.0;281.0;168.0
7800;432.0;264.0;168.0
7900;423.5;255.5;168.0
8000;295.0;247.0;48.0
8100;415.0;247.0;168.0
8200;479.0;311.0;168.0
8300;439.0;271.0;168.0
8400;439.0;271.0;168.0
8500;79.0;271.0;-192.0
8600;529.0;281.0;248.0
8700;399.0;271.0;128.0
8800;514.0;266.0;248.0
8900;399.0;271.0;128.0
9000;719.0;351.0;368.0
9100;599.0;351.0;248.0
9200;599.0;351.0;248.0
9300;599.0;351.0;248.0
9400;719.0;351.0;368.0
9500;619.0;331.0;288.0
9600;755.0;347.0;408.0
9700;675.0;347.0;328.0
9800;671.0;343.0;328.0
9900;-45.0;347.0;-392.0
10000;677.0;349.0;328.0
10100;671.0;343.0;328.0
10200;671.0;343.0;328.0
10300;671.0;343.0;328.0
10400;669.0;341.0;328.0
10500;311.0;343.0;-32.0
10600;755.0;347.0;408.0
10700;715.0;347.0;368.0
10800;747.0;339.0;408.0
10900;747.0;339.0;408.0
11000;631.0;343.0;288.0
11100;757.0;349.0;408.0
11200;875.0;347.0;528.0
11300;755.0;347.0;408.0
11400;759.0;351.0;408.0
11500;795.0;347.0;448.0
11600;919.0;351.0;568.0
11700;1315.0;347.0;968.0
11800;117.0;349.0;-232.0
11900;847.0;359.0;488.0
12000;847.0;359.0;488.0
12100;969.0;361.0;608.0
12200;951.0;343.0;608.0
12300;842.0;354.0;488.0
12400;849.0;361.0;488.0
12500;903.0;375.0;528.0
12600;927.0;359.0;568.0
12700;20921.0;20353.0;568.0
12800;927.0;359.0;568.0
12900;925.0;357.0;568.0
13000;821.0;373.0;448.0
13100;941.0;373.0;568.0
13200;469.0;381.0;88.0
13300;949.0;381.0;568.0
13400;949.0;381.0;568.0
13500;989.0;381.0;608.0
13600;909.0;381.0;528.0
13700;1149.0;381.0;768.0
13800;1029.0;381.0;648.0
13900;909.0;381.0;528.0
14000;1029.0;381.0;648.0
14100;1029.0;381.0;648.0
14200;1149.0;381.0;768.0
14300;1029.0;381.0;648.0
14400;1029.0;381.0;648.0
14500;1069.0;381.0;688.0
14600;1624.0;416.0;1208.0
14700;1239.0;431.0;808.0
14800;1619.0;411.0;1208.0
14900;1189.0;461.0;728.0
15000;1159.0;431.0;728.0
15100;1169.0;441.0;728.0
15200;1289.0;441.0;848.0
15300;1199.0;351.0;848.0
15400;799.0;431.0;368.0
15500;1129.0;441.0;688.0
15600;1234.0;426.0;808.0
15700;1239.0;431.0;808.0
15800;1379.0;451.0;928.0
15900;1239.0;431.0;808.0
16000;1169.0;361.0;808.0
16100;1239.0;431.0;808.0
16200;1379.0;451.0;928.0
16300;1249.0;441.0;808.0
16400;1249.0;441.0;808.0
16500;1289.0;441.0;848.0
16600;1343.0;455.0;888.0
16700;615.0;447.0;168.0
16800;1323.0;435.0;888.0
16900;1319.0;431.0;888.0
17000;1207.0;439.0;768.0
17100;1215.0;447.0;768.0
17200;1362.0;474.0;888.0
17300;1482.0;474.0;1008.0
17400;1482.0;474.0;1008.0
17500;1397.5;469.5;928.0
17600;1442.0;474.0;968.0
17700;1898.0;450.0;1448.0
17800;1554.5;466.5;1088.0
17900;1439.0;471.0;968.0
18000;1436.5;468.5;968.0
18100;1438.0;470.0;968.0
18200;1917.0;469.0;1448.0
18300;1437.0;469.0;968.0
18400;1478.0;470.0;1008.0
18500;1398.0;470.0;928.0
18600;1597.0;469.0;1128.0
18700;1499.0;451.0;1048.0
18800;1644.0;476.0;1168.0
18900;1044.0;476.0;568.0
19000;1524.0;476.0;1048.0
19100;1399.0;471.0;928.0
19200;1521.5;473.5;1048.0
19300;1531.0;483.0;1048.0
19400;1555.0;507.0;1048.0
19500;1569.0;561.0;1008.0
19600;1632.0;504.0;1128.0
19700;1527.0;519.0;1008.0
19800;1620.0;492.0;1128.0
19900;1626.0;498.0;1128.0
20000;1644.0;516.0;1128.0
20100;1635.0;507.0;1128.0
20200;1635.0;507.0;1128.0
20300;2121.0;513.0;1608.0
20400;1152.0;504.0;648.0
20500;1681.0;513.0;1168.0
20600;1715.0;507.0;1208.0
20700;1801.0;513.0;1288.0
20800;1601.0;513.0;1088.0
20900;1735.0;527.0;1208.0
21000;1575.0;527.0;1048.0
21100;1735.0;527.0;1208.0
21200;1767.0;559.0;1208.0
21300;1255.0;527.0;728.0
21400;1737.0;529.0;1208.0
21500;1817.0;569.0;1248.0
21600;1867.0;579.0;1288.0
21700;2017.0;649.0;1368.0
21800;1877.0;589.0;1288.0
21900;1867.0;579.0;1288.0
22000;1867.0;579.0;1288.0
22100;1697.0;529.0;1168.0
22200;1867.0;579.0;1288.0
22300;1847.0;559.0;1288.0
22400;1877.0;589.0;1288.0
22500;1907.0;579.0;1328.0
22600;1947.0;579.0;1368.0
22700;2027.0;579.0;1448.0
22800;1482.0;594.0;888.0
22900;2067.0;579.0;1488.0
