timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12006;10
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;9
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;11
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;9
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12007;11
1800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9997;2
1800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12008;10
2600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12009;9
3400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12010;9
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;5
3800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;12006;2
6300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
7000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;4
7100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;3
7800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;7
8000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;7
8600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;5
9300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;7
9700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
12500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;10
17500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
17700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
18200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;8
21400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
21600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
22000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
23200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
23500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;2
23600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;2
23600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;6
24000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;3
24100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
24600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;5
26300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;5
26900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
29200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;2
30100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;5
31200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
31500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;10
33300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;4
33800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;4
34200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
35100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;7
37300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;7
37900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
38400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;3
38800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
40100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10003;2
40500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;8
40800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;3
41100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;2
41100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
41500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;2
41900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;6
43200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;7
45800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9997;2
46300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;4
50300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9996;2
50900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;6
51000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
52100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9997;5
52500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;5
53400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;4
53700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;6
56500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9986;2
58200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
60800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
61000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;2
61800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;5
62200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;5
62300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;2
62800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;9
63300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
64200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
65300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;2
67300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
68000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;5
70300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
70700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;6
71300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;10
72900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
74000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;4
76200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;3
78300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;2
78400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;2
79200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;8
79400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;4
79600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;5
80200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;5
80700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;5
81400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;2
85200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;5
85400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
