timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;10
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;11
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;10
1300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;12
2200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11008;11
2800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9986;10
3000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10999;8
3100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9991;2
3800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9991;2
4000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11010;1
5200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
6100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;8
7500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
8200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9996;7
9500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
12100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10005;8
13000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;2
13200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
14600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
14900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
16600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
17200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;5
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;9
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;3
20900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
22400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10007;8
23100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;5
23300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;3
24000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9997;2
25300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;6
25900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;6
26500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;5
29700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;4
29800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10010;8
33000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9993;8
34900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10003;2
35900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
39800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9995;8
39900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10004;2
41100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
44700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;5
46700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;6
47100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;7
47600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
50300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;4
51700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;2
52800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;5
53300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10005;8
54200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
56500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;6
57200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;3
57700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;8
58000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;3
60500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9996;5
62000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;3
62400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;2
63900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;8
64200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
65500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9994;4
69200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10007;8
69900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;8
70400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9997;3
70800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;8
71300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;6
72600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
73700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
74000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;3
74200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;2
75700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;4
76600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;4
76900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;4
77300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
78000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
78600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10008;8
80000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10009;8
83200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;4
84200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9995;8
84800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10005;3
85000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;7
86400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;4
88000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9995;8
