timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-113.5;0.0;-113.5
200;-230.0;0.0;-230.0
300;-185.0;0.0;-185.0
400;-380.0;0.0;-380.0
500;-185.0;0.0;-185.0
600;-302.0;0.0;-302.0
700;-243.5;0.0;-243.5
800;-497.0;0.0;-497.0
900;-243.5;0.0;-243.5
1000;-315.0;0.0;-315.0
1100;60.0;0.0;60.0
1200;-265.0;0.0;-265.0
1300;-265.0;0.0;-265.0
1400;-265.0;0.0;-265.0
1500;-190.0;0.0;-190.0
1600;-190.0;0.0;-190.0
1700;-590.0;0.0;-590.0
1800;-330.0;0.0;-330.0
1900;-330.0;0.0;-330.0
2000;-300.0;0.0;-300.0
2100;120.0;0.0;120.0
2200;-270.0;0.0;-270.0
2300;-180.0;0.0;-180.0
2400;-270.0;0.0;-270.0
2500;-60.0;0.0;-60.0
2600;-328.5;0.0;-328.5
2700;-328.5;0.0;-328.5
2800;-777.0;0.0;-777.0
2900;-328.5;0.0;-328.5
3000;-294.0;0.0;-294.0
3100;189.0;0.0;189.0
3200;-259.5;0.0;-259.5
3300;189.0;0.0;189.0
3400;-318.0;0.0;-318.0
3500;-318.0;0.0;-318.0
3600;-333.0;-15.0;-318.0
3700;-303.0;15.0;-318.0
3800;-480.5;2.5;-483.0
3900;-313.0;10.0;-323.0
4000;-273.0;10.0;-283.0
4100;-743.0;20.0;-763.0
4200;-230.5;12.5;-243.0
4300;282.0;5.0;277.0
4400;-358.0;5.0;-363.0
4500;-233.0;10.0;-243.0
4600;-238.0;5.0;-243.0
4700;-153.0;-30.0;-123.0
4800;-225.5;17.5;-243.0
4900;-113.0;10.0;-123.0
5000;-308.0;15.0;-323.0
5100;-153.0;10.0;-163.0
5200;-593.0;10.0;-603.0
5300;-153.0;10.0;-163.0
5400;-33.0;10.0;-43.0
5500;-158.0;5.0;-163.0
5600;-275.5;7.5;-283.0
5700;-160.5;2.5;-163.0
5800;-158.0;5.0;-163.0
5900;-153.0;10.0;-163.0
6000;-433.0;10.0;-443.0
6100;47.0;10.0;37.0
6200;-73.0;10.0;-83.0
6300;-73.0;10.0;-83.0
6400;52.0;15.0;37.0
6500;-68.0;15.0;-83.0
6600;-850.5;-7.5;-843.0
6700;52.0;15.0;37.0
6800;-68.0;15.0;-83.0
6900;-68.0;15.0;-83.0
7000;-28.0;15.0;-43.0
7100;12.0;15.0;-3.0
7200;7.0;10.0;-3.0
7300;12.0;15.0;-3.0
7400;-61.5;-58.5;-3.0
7500;39.0;-78.0;117.0
7600;-57.0;-54.0;-3.0
7700;-177.0;-54.0;-123.0
7800;-73.5;-70.5;-3.0
7900;-54.0;-51.0;-3.0
8000;94.0;-63.0;157.0
8100;34.0;-43.0;77.0
8200;34.0;-43.0;77.0
8300;-86.0;-43.0;-43.0
8400;-86.0;-43.0;-43.0
8500;34.0;-43.0;77.0
8600;82.5;5.5;77.0
8700;-442.0;1.0;-443.0
8800;78.0;1.0;77.0
8900;180.0;-17.0;197.0
9000;181.0;64.0;117.0
9100;149.0;-8.0;157.0
9200;135.5;-21.5;157.0
9300;-242.0;41.0;-283.0
9400;182.0;25.0;157.0
9500;198.0;41.0;157.0
9600;196.0;39.0;157.0
9700;210.0;53.0;157.0
9800;224.0;67.0;157.0
9900;224.0;67.0;157.0
10000;264.0;67.0;197.0
10100;311.0;74.0;237.0
10200;184.0;67.0;117.0
10300;304.0;67.0;237.0
10400;173.5;56.5;117.0
10500;304.0;67.0;237.0
10600;304.0;67.0;237.0
10700;304.0;67.0;237.0
10800;424.0;67.0;357.0
10900;297.0;60.0;237.0
11000;281.0;4.0;277.0
11100;377.0;60.0;317.0
11200;391.0;74.0;317.0
11300;384.0;67.0;317.0
11400;391.0;74.0;317.0
11500;184.0;67.0;117.0
11600;384.0;67.0;317.0
11700;-201.0;2.0;-203.0
11800;320.0;3.0;317.0
11900;720.0;3.0;717.0
12000;359.0;2.0;357.0
12100;401.5;4.5;397.0
12200;392.0;-5.0;397.0
12300;281.5;4.5;277.0
