timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-58.5;0.0;-58.5
100;-101.0;0.0;-101.0
200;-81.0;0.0;-81.0
300;9.0;0.0;9.0
400;-215.0;0.0;-215.0
500;-233.0;0.0;-233.0
600;-167.0;0.0;-167.0
700;-242.0;57.0;-299.0
800;-289.0;66.0;-355.0
900;-287.0;12.0;-299.0
1000;-256.5;60.0;-316.5
1100;-81.0;78.0;-159.0
1200;-174.0;174.0;-348.0
1300;-157.5;96.0;-253.5
1400;-175.5;78.0;-253.5
1500;-163.5;90.0;-253.5
1600;-374.5;-6.0;-368.5
1700;-194.0;103.5;-297.5
1800;-216.5;81.0;-297.5
1900;-110.0;81.0;-191.0
2000;-265.5;67.5;-333.0
2100;-74.5;81.0;-155.5
2200;-252.0;81.0;-333.0
2300;-248.0;85.0;-333.0
2400;-157.5;69.0;-226.5
2500;-139.0;137.0;-276.0
2600;-225.0;131.0;-356.0
2700;-29.0;127.0;-156.0
2800;-145.0;131.0;-276.0
2900;-145.0;131.0;-276.0
3000;-101.0;135.0;-236.0
3100;11.0;127.0;-116.0
3200;-113.0;123.0;-236.0
3300;-69.0;127.0;-196.0
3400;-69.0;127.0;-196.0
3500;57.0;133.0;-76.0
3600;-69.0;127.0;-196.0
3700;-61.0;135.0;-196.0
3800;55.0;131.0;-76.0
3900;-65.0;131.0;-196.0
4000;331.0;127.0;204.0
4100;-427.0;129.0;-556.0
4200;-31.0;125.0;-156.0
4300;443.0;119.0;324.0
4400;-117.0;119.0;-236.0
4500;7.0;123.0;-116.0
4600;1.0;117.0;-116.0
4700;95.0;91.0;4.0
4800;23.0;139.0;-116.0
4900;-73.0;123.0;-196.0
5000;47.0;123.0;-76.0
5100;-73.0;123.0;-196.0
5200;-267.0;129.0;-396.0
5300;59.0;95.0;-36.0
5400;87.0;123.0;-36.0
5500;-37.0;119.0;-156.0
5600;147.0;183.0;-36.0
5700;83.0;119.0;-36.0
5800;-404.5;71.5;-476.0
5900;48.5;84.5;-36.0
6000;67.0;143.0;-76.0
6100;191.0;147.0;44.0
6200;191.0;147.0;44.0
6300;212.0;168.0;44.0
6400;212.0;168.0;44.0
6500;443.0;399.0;44.0
6600;132.0;168.0;-36.0
6700;652.0;168.0;484.0
6800;212.0;168.0;44.0
6900;201.5;157.5;44.0
7000;273.0;189.0;84.0
7100;313.0;189.0;124.0
7200;323.5;199.5;124.0
7300;292.0;168.0;124.0
7400;372.0;168.0;204.0
7500;711.0;147.0;564.0
7600;250.0;126.0;124.0
7700;302.5;178.5;124.0
7800;171.5;47.5;124.0
7900;284.0;160.0;124.0
8000;645.5;1.5;644.0
8100;225.0;141.0;84.0
8200;360.5;156.5;204.0
8300;314.0;110.0;204.0
8400;345.0;141.0;204.0
8500;345.0;141.0;204.0
8600;496.0;172.0;324.0
8700;345.0;141.0;204.0
8800;345.0;141.0;204.0
8900;242.0;38.0;204.0
9000;-132.0;104.0;-236.0
9100;371.5;87.5;284.0
9200;468.0;104.0;364.0
9300;388.0;104.0;284.0
9400;-35.5;120.5;-156.0
9500;235.0;71.0;164.0
9600;275.0;71.0;204.0
9700;322.0;38.0;284.0
9800;322.0;38.0;284.0
9900;762.0;38.0;724.0
10000;411.5;87.5;324.0
10100;402.0;38.0;364.0
10200;402.0;38.0;364.0
10300;449.0;5.0;444.0
10400;365.0;-119.0;484.0
10500;641.0;-43.0;684.0
10600;302.0;-62.0;364.0
10700;435.0;71.0;364.0
10800;517.0;33.0;484.0
10900;441.0;-43.0;484.0
11000;399.0;-5.0;404.0
11100;439.0;-5.0;444.0
11200;439.0;-5.0;444.0
11300;117.0;33.0;84.0
11400;557.0;33.0;524.0
11500;401.0;-43.0;444.0
11600;316.5;-127.5;444.0
11700;123.0;-321.0;444.0
11800;467.0;23.0;444.0
11900;587.0;23.0;564.0
12000;571.5;87.5;484.0
12100;525.5;1.5;524.0
12200;547.0;23.0;524.0
12300;547.0;23.0;524.0
12400;288.0;-116.0;404.0
12500;915.5;-48.5;964.0
12600;475.5;-48.5;524.0
12700;983.0;19.0;964.0
12800;498.0;-26.0;524.0
12900;778.0;334.0;444.0
13000;538.0;-26.0;564.0
13100;454.5;-149.5;604.0
13200;699.0;15.0;684.0
13300;572.0;-32.0;604.0
13400;499.0;15.0;484.0
13500;572.0;-32.0;604.0
13600;572.0;-32.0;604.0
13700;572.0;-32.0;604.0
13800;642.5;38.5;604.0
13900;492.0;-32.0;524.0
14000;692.0;-32.0;724.0
14100;558.0;-126.0;684.0
14200;652.0;-32.0;684.0
14300;652.0;-32.0;684.0
14400;612.0;-32.0;644.0
14500;396.0;-408.0;804.0
14600;605.0;-79.0;684.0
14700;635.0;391.0;244.0
14800;699.0;15.0;684.0
14900;889.5;85.5;804.0
15000;760.0;36.0;724.0
15100;835.0;71.0;764.0
15200;890.0;126.0;764.0
15300;532.5;208.5;324.0
15400;890.0;126.0;764.0
15500;890.0;126.0;764.0
15600;945.0;181.0;764.0
15700;945.0;181.0;764.0
15800;945.0;181.0;764.0
15900;1104.0;340.0;764.0
16000;903.0;179.0;724.0
16100;1115.0;271.0;844.0
16200;995.0;271.0;724.0
16300;1115.0;271.0;844.0
16400;1041.0;317.0;724.0
16500;1115.0;271.0;844.0
16600;1092.0;248.0;844.0
16700;1509.0;225.0;1284.0
16800;1069.0;225.0;844.0
