timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-113.5;0.0;-113.5
200;-230.0;0.0;-230.0
300;-185.0;0.0;-185.0
400;-380.0;0.0;-380.0
500;-185.0;0.0;-185.0
600;-302.0;0.0;-302.0
700;-243.5;0.0;-243.5
800;-497.0;0.0;-497.0
900;-243.5;0.0;-243.5
1000;-315.0;0.0;-315.0
1100;60.0;0.0;60.0
1200;-265.0;0.0;-265.0
1300;-265.0;0.0;-265.0
1400;-265.0;0.0;-265.0
1500;-190.0;0.0;-190.0
1600;-190.0;0.0;-190.0
1700;-590.0;0.0;-590.0
1800;-330.0;0.0;-330.0
1900;-330.0;0.0;-330.0
2000;-300.0;0.0;-300.0
2100;120.0;0.0;120.0
2200;-270.0;0.0;-270.0
2300;-180.0;0.0;-180.0
2400;-270.0;0.0;-270.0
2500;-60.0;0.0;-60.0
2600;-328.5;0.0;-328.5
2700;-328.5;0.0;-328.5
2800;-777.0;0.0;-777.0
2900;-328.5;0.0;-328.5
3000;-294.0;0.0;-294.0
3100;189.0;0.0;189.0
3200;-259.5;0.0;-259.5
3300;189.0;0.0;189.0
3400;-318.0;0.0;-318.0
3500;-318.0;0.0;-318.0
3600;-333.0;-15.0;-318.0
3700;-303.0;15.0;-318.0
3800;-480.5;2.5;-483.0
3900;-313.0;10.0;-323.0
4000;-273.0;10.0;-283.0
4100;-743.0;20.0;-763.0
4200;-230.5;12.5;-243.0
4300;282.0;5.0;277.0
4400;-358.0;5.0;-363.0
4500;-233.0;10.0;-243.0
4600;-238.0;5.0;-243.0
4700;-153.0;-30.0;-123.0
4800;-225.5;17.5;-243.0
4900;-113.0;10.0;-123.0
5000;-308.0;15.0;-323.0
5100;-153.0;10.0;-163.0
5200;-593.0;10.0;-603.0
5300;-153.0;10.0;-163.0
5400;-33.0;10.0;-43.0
5500;-158.0;5.0;-163.0
5600;-275.5;7.5;-283.0
5700;-160.5;2.5;-163.0
5800;-158.0;5.0;-163.0
5900;-153.0;10.0;-163.0
6000;-433.0;10.0;-443.0
6100;47.0;10.0;37.0
6200;-73.0;10.0;-83.0
6300;-38.0;45.0;-83.0
6400;92.0;55.0;37.0
6500;-28.0;55.0;-83.0
6600;-833.0;10.0;-843.0
6700;92.0;55.0;37.0
6800;-28.0;55.0;-83.0
6900;-28.0;55.0;-83.0
7000;40.0;83.0;-43.0
7100;101.0;104.0;-3.0
7200;84.0;87.0;-3.0
7300;101.0;104.0;-3.0
7400;109.5;112.5;-3.0
7500;340.0;223.0;117.0
7600;84.0;87.0;-3.0
7700;-36.0;87.0;-123.0
7800;162.5;165.5;-3.0
7900;91.0;94.0;-3.0
8000;200.0;43.0;157.0
8100;205.0;128.0;77.0
8200;205.0;128.0;77.0
8300;85.0;128.0;-43.0
8400;85.0;128.0;-43.0
8500;205.0;128.0;77.0
8600;273.0;196.0;77.0
8700;-258.0;185.0;-443.0
8800;262.0;185.0;77.0
8900;338.0;141.0;197.0
9000;456.0;339.0;117.0
9100;320.0;163.0;157.0
9200;287.0;130.0;157.0
9300;-71.0;212.0;-283.0
9400;249.0;92.0;157.0
9500;369.0;212.0;157.0
9600;354.0;197.0;157.0
9700;329.0;172.0;157.0
9800;369.0;212.0;157.0
9900;369.0;212.0;157.0
10000;409.0;212.0;197.0
10100;469.0;232.0;237.0
10200;329.0;212.0;117.0
10300;449.0;212.0;237.0
10400;299.0;182.0;117.0
10500;449.0;212.0;237.0
10600;449.0;212.0;237.0
10700;449.0;212.0;237.0
10800;569.0;212.0;357.0
10900;429.0;192.0;237.0
11000;309.0;32.0;277.0
11100;509.0;192.0;317.0
11200;549.0;232.0;317.0
11300;529.0;212.0;317.0
11400;549.0;232.0;317.0
11500;329.0;212.0;117.0
11600;529.0;212.0;317.0
11700;29.0;232.0;-203.0
11800;529.0;212.0;317.0
11900;929.0;212.0;717.0
12000;589.0;232.0;357.0
12100;579.0;182.0;397.0
12200;769.0;372.0;397.0
12300;459.0;182.0;277.0
12400;589.0;192.0;397.0
12500;649.0;252.0;397.0
