timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-113.5;0.0;-113.5
200;-230.0;0.0;-230.0
300;-185.0;0.0;-185.0
400;-380.0;0.0;-380.0
500;-185.0;0.0;-185.0
600;-302.0;0.0;-302.0
700;-243.5;0.0;-243.5
800;-497.0;0.0;-497.0
900;-243.5;0.0;-243.5
1000;-315.0;0.0;-315.0
1100;60.0;0.0;60.0
1200;-265.0;0.0;-265.0
1300;-265.0;0.0;-265.0
1400;-265.0;0.0;-265.0
1500;-190.0;0.0;-190.0
1600;-190.0;0.0;-190.0
1700;-590.0;0.0;-590.0
1800;-330.0;0.0;-330.0
1900;-330.0;0.0;-330.0
2000;-300.0;0.0;-300.0
2100;120.0;0.0;120.0
2200;-270.0;0.0;-270.0
2300;-180.0;0.0;-180.0
2400;-270.0;0.0;-270.0
2500;-60.0;0.0;-60.0
2600;-328.5;0.0;-328.5
2700;-328.5;0.0;-328.5
2800;-777.0;0.0;-777.0
2900;-328.5;0.0;-328.5
3000;-294.0;0.0;-294.0
3100;189.0;0.0;189.0
3200;-259.5;0.0;-259.5
3300;189.0;0.0;189.0
3400;-318.0;0.0;-318.0
3500;-318.0;0.0;-318.0
3600;-330.0;-12.0;-318.0
3700;-306.0;12.0;-318.0
3800;-481.0;2.0;-483.0
3900;-315.0;8.0;-323.0
4000;-275.0;8.0;-283.0
4100;-747.0;16.0;-763.0
4200;-233.0;10.0;-243.0
4300;281.0;4.0;277.0
4400;-359.0;4.0;-363.0
4500;-235.0;8.0;-243.0
4600;-239.0;4.0;-243.0
4700;-147.0;-24.0;-123.0
4800;-229.0;14.0;-243.0
4900;-115.0;8.0;-123.0
5000;-311.0;12.0;-323.0
5100;-155.0;8.0;-163.0
5200;-595.0;8.0;-603.0
5300;-155.0;8.0;-163.0
5400;-35.0;8.0;-43.0
5500;-159.0;4.0;-163.0
5600;-277.0;6.0;-283.0
5700;-161.0;2.0;-163.0
5800;-159.0;4.0;-163.0
5900;-155.0;8.0;-163.0
6000;-435.0;8.0;-443.0
6100;45.0;8.0;37.0
6200;-75.0;8.0;-83.0
6300;-40.0;43.0;-83.0
6400;89.0;52.0;37.0
6500;-31.0;52.0;-83.0
6600;-831.5;11.5;-843.0
6700;89.0;52.0;37.0
6800;-31.0;52.0;-83.0
6900;-31.0;52.0;-83.0
7000;37.0;80.0;-43.0
7100;98.0;101.0;-3.0
7200;82.0;85.0;-3.0
7300;98.0;101.0;-3.0
7400;106.0;109.0;-3.0
7500;330.0;213.0;117.0
7600;82.0;85.0;-3.0
7700;-38.0;85.0;-123.0
7800;160.0;163.0;-3.0
7900;82.0;85.0;-3.0
8000;206.0;49.0;157.0
8100;186.0;109.0;77.0
8200;186.0;109.0;77.0
8300;66.0;109.0;-43.0
8400;66.0;109.0;-43.0
8500;186.0;109.0;77.0
8600;246.5;169.5;77.0
8700;-282.0;161.0;-443.0
8800;238.0;161.0;77.0
8900;324.0;127.0;197.0
9000;397.0;280.0;117.0
9100;301.0;144.0;157.0
9200;275.5;118.5;157.0
9300;-90.0;193.0;-283.0
9400;270.0;113.0;157.0
9500;350.0;193.0;157.0
9600;340.0;183.0;157.0
9700;330.0;173.0;157.0
9800;360.0;203.0;157.0
9900;360.0;203.0;157.0
10000;400.0;203.0;197.0
10100;455.0;218.0;237.0
10200;320.0;203.0;117.0
10300;440.0;203.0;237.0
10400;297.5;180.5;117.0
10500;440.0;203.0;237.0
10600;440.0;203.0;237.0
10700;440.0;203.0;237.0
10800;560.0;203.0;357.0
10900;425.0;188.0;237.0
11000;345.0;68.0;277.0
11100;505.0;188.0;317.0
11200;535.0;218.0;317.0
11300;520.0;203.0;317.0
11400;535.0;218.0;317.0
11500;320.0;203.0;117.0
11600;520.0;203.0;317.0
11700;15.0;218.0;-203.0
11800;520.0;203.0;317.0
11900;920.0;203.0;717.0
12000;575.0;218.0;357.0
12100;577.5;180.5;397.0
12200;720.0;323.0;397.0
12300;457.5;180.5;277.0
12400;585.0;188.0;397.0
12500;650.0;253.0;397.0
