timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-114.0;0.0;-114.0
200;-85.5;0.0;-85.5
300;0.0;0.0;0.0
400;-210.0;0.0;-210.0
500;-228.0;0.0;-228.0
600;-152.0;0.0;-152.0
700;-190.0;0.0;-190.0
800;-247.0;0.0;-247.0
900;-190.0;0.0;-190.0
1000;-262.0;0.0;-262.0
1100;-562.0;0.0;-562.0
1200;-262.0;0.0;-262.0
1300;-210.0;0.0;-210.0
1400;-396.0;0.0;-396.0
1500;-334.0;0.0;-334.0
1600;-210.0;0.0;-210.0
1700;-644.0;0.0;-644.0
1800;-272.0;0.0;-272.0
1900;-272.0;0.0;-272.0
2000;-272.0;0.0;-272.0
2100;-644.0;0.0;-644.0
2200;-338.0;0.0;-338.0
2300;-338.0;0.0;-338.0
2400;-338.0;0.0;-338.0
2500;-776.0;0.0;-776.0
2600;-265.0;0.0;-265.0
2700;-265.0;0.0;-265.0
2800;-289.5;85.0;-374.5
2900;-195.0;70.0;-265.0
3000;-557.0;80.0;-637.0
3100;348.0;105.0;243.0
3200;-47.0;70.0;-117.0
3300;313.0;70.0;243.0
3400;-177.0;60.0;-237.0
3500;-82.0;115.0;-197.0
3600;-87.0;70.0;-157.0
3700;-87.0;70.0;-157.0
3800;-162.0;115.0;-277.0
3900;-87.0;70.0;-157.0
4000;-77.0;80.0;-157.0
4100;393.0;70.0;323.0
4200;-307.0;-30.0;-277.0
4300;-92.0;65.0;-157.0
4400;-92.0;65.0;-157.0
4500;-37.0;80.0;-117.0
4600;-12.0;65.0;-77.0
4700;-47.0;70.0;-117.0
4800;-407.0;70.0;-477.0
4900;13.0;90.0;-77.0
5000;3.0;80.0;-77.0
5100;3.0;80.0;-77.0
5200;61.0;138.0;-77.0
5300;63.0;140.0;-77.0
5400;105.0;142.0;-37.0
5500;181.0;138.0;43.0
5600;19.0;136.0;-117.0
5700;145.0;142.0;3.0
5800;137.0;134.0;3.0
5900;137.0;134.0;3.0
6000;17.0;134.0;-117.0
6100;93.0;90.0;3.0
6200;97.0;94.0;3.0
6300;145.0;142.0;3.0
6400;113.0;190.0;-77.0
6500;193.0;150.0;43.0
6600;321.0;158.0;163.0
6700;-239.0;158.0;-397.0
6800;241.0;158.0;83.0
6900;241.0;158.0;83.0
7000;217.0;134.0;83.0
7100;217.0;134.0;83.0
7200;257.0;174.0;83.0
7300;241.0;158.0;83.0
7400;257.0;174.0;83.0
7500;-207.0;190.0;-397.0
7600;363.0;200.0;163.0
7700;373.0;210.0;163.0
7800;363.0;200.0;163.0
7900;358.0;195.0;163.0
8000;233.0;190.0;43.0
8100;353.0;190.0;163.0
8200;403.0;240.0;163.0
8300;363.0;200.0;163.0
8400;363.0;200.0;163.0
8500;3.0;200.0;-197.0
8600;453.0;210.0;243.0
8700;323.0;200.0;123.0
8800;438.0;195.0;243.0
8900;323.0;200.0;123.0
9000;643.0;280.0;363.0
9100;523.0;280.0;243.0
9200;523.0;280.0;243.0
9300;523.0;280.0;243.0
9400;643.0;280.0;363.0
9500;543.0;260.0;283.0
9600;679.0;276.0;403.0
9700;599.0;276.0;323.0
9800;595.0;272.0;323.0
9900;-121.0;276.0;-397.0
10000;601.0;278.0;323.0
10100;595.0;272.0;323.0
10200;595.0;272.0;323.0
10300;595.0;272.0;323.0
10400;593.0;270.0;323.0
10500;235.0;272.0;-37.0
10600;679.0;276.0;403.0
10700;639.0;276.0;363.0
10800;671.0;268.0;403.0
10900;671.0;268.0;403.0
11000;555.0;272.0;283.0
11100;681.0;278.0;403.0
11200;799.0;276.0;523.0
11300;679.0;276.0;403.0
11400;683.0;280.0;403.0
11500;719.0;276.0;443.0
11600;843.0;280.0;563.0
11700;1239.0;276.0;963.0
11800;41.0;278.0;-237.0
11900;771.0;288.0;483.0
12000;771.0;288.0;483.0
12100;893.0;290.0;603.0
12200;875.0;272.0;603.0
12300;766.0;283.0;483.0
12400;773.0;290.0;483.0
12500;827.0;304.0;523.0
12600;851.0;288.0;563.0
12700;20845.0;20282.0;563.0
12800;851.0;288.0;563.0
12900;849.0;286.0;563.0
13000;745.0;302.0;443.0
13100;865.0;302.0;563.0
13200;393.0;310.0;83.0
13300;873.0;310.0;563.0
13400;873.0;310.0;563.0
13500;913.0;310.0;603.0
13600;833.0;310.0;523.0
13700;1073.0;310.0;763.0
13800;953.0;310.0;643.0
13900;833.0;310.0;523.0
14000;953.0;310.0;643.0
14100;953.0;310.0;643.0
14200;1073.0;310.0;763.0
14300;953.0;310.0;643.0
14400;953.0;310.0;643.0
14500;993.0;310.0;683.0
14600;1548.0;345.0;1203.0
14700;1163.0;360.0;803.0
14800;1543.0;340.0;1203.0
14900;1113.0;390.0;723.0
15000;1083.0;360.0;723.0
15100;1093.0;370.0;723.0
15200;1213.0;370.0;843.0
15300;1123.0;280.0;843.0
15400;723.0;360.0;363.0
15500;1053.0;370.0;683.0
15600;1158.0;355.0;803.0
15700;1163.0;360.0;803.0
15800;1303.0;380.0;923.0
15900;1163.0;360.0;803.0
16000;1093.0;290.0;803.0
16100;1163.0;360.0;803.0
16200;1303.0;380.0;923.0
16300;1173.0;370.0;803.0
16400;1173.0;370.0;803.0
16500;1213.0;370.0;843.0
16600;1267.0;384.0;883.0
16700;539.0;376.0;163.0
16800;1247.0;364.0;883.0
16900;1243.0;360.0;883.0
17000;1131.0;368.0;763.0
17100;1139.0;376.0;763.0
17200;1286.0;403.0;883.0
17300;1406.0;403.0;1003.0
17400;1406.0;403.0;1003.0
17500;1321.5;398.5;923.0
17600;1366.0;403.0;963.0
17700;1822.0;379.0;1443.0
17800;1496.5;413.5;1083.0
17900;1363.0;400.0;963.0
18000;1370.5;407.5;963.0
18100;1366.0;403.0;963.0
18200;1849.0;406.0;1443.0
18300;1369.0;406.0;963.0
18400;1406.0;403.0;1003.0
18500;1326.0;403.0;923.0
18600;1529.0;406.0;1123.0
18700;1455.0;412.0;1043.0
18800;1580.0;417.0;1163.0
18900;980.0;417.0;563.0
19000;1460.0;417.0;1043.0
19100;1339.0;416.0;923.0
19200;1459.5;416.5;1043.0
19300;1471.0;428.0;1043.0
19400;1479.0;436.0;1043.0
19500;1457.0;454.0;1003.0
19600;1558.0;435.0;1123.0
19700;1443.0;440.0;1003.0
19800;1554.0;431.0;1123.0
19900;1556.0;433.0;1123.0
20000;1562.0;439.0;1123.0
20100;1559.0;436.0;1123.0
20200;1559.0;436.0;1123.0
20300;2041.0;438.0;1603.0
20400;1078.0;435.0;643.0
20500;1601.0;438.0;1163.0
20600;1639.0;436.0;1203.0
20700;1721.0;438.0;1283.0
20800;1521.0;438.0;1083.0
20900;1655.0;452.0;1203.0
21000;1495.0;452.0;1043.0
21100;1655.0;452.0;1203.0
21200;1655.0;452.0;1203.0
21300;1175.0;452.0;723.0
21400;1655.0;452.0;1203.0
21500;1737.0;494.0;1243.0
21600;1783.0;500.0;1283.0
21700;1905.0;542.0;1363.0
21800;1789.0;506.0;1283.0
21900;1783.0;500.0;1283.0
22000;1783.0;500.0;1283.0
22100;1633.0;470.0;1163.0
22200;1783.0;500.0;1283.0
22300;1771.0;488.0;1283.0
22400;1789.0;506.0;1283.0
22500;1823.0;500.0;1323.0
22600;1863.0;500.0;1363.0
22700;1943.0;500.0;1443.0
22800;1392.0;509.0;883.0
22900;1983.0;500.0;1483.0
23000;1863.0;500.0;1363.0
