variant,day,total_pnl,pepper_pnl,osmium_pnl,trade_count,pepper_final_pos,osmium_final_pos,early_drawdown_total,pepper_turn_positive_ts,osmium_turn_positive_ts,pepper_buy_trades,pepper_sell_trades,osmium_buy_trades,osmium_sell_trades,run_dir
Base,-2,96129.5,79644.0,16485.5,730,80,39,-798467.0,300,700,8,0,369,353,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/Base_day_-2/backtest-1776281190708
Base,-1,96217.0,79368.0,16849.0,708,80,13,-879993.0,3100,2800,9,0,353,346,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/Base_day_-1/backtest-1776281192000
Base,0,95696.0,79397.0,16299.0,690,80,-26,-960231.0,1100,3700,9,0,332,349,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/Base_day_0/backtest-1776281193209
P1_1_ShockGateLight,-2,96129.5,79644.0,16485.5,730,80,39,-798467.0,300,700,8,0,369,353,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/P1_1_ShockGateLight_day_-2/backtest-1776281194381
P1_1_ShockGateLight,-1,96212.0,79363.0,16849.0,707,80,13,-879998.0,3100,2800,8,0,353,346,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/P1_1_ShockGateLight_day_-1/backtest-1776281195643
P1_1_ShockGateLight,0,95696.0,79397.0,16299.0,690,80,-26,-960231.0,1100,3700,9,0,332,349,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/P1_1_ShockGateLight_day_0/backtest-1776281196854
P3_1_RareOverlaySell,-2,96129.5,79644.0,16485.5,730,80,39,-798467.0,300,700,8,0,369,353,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/P3_1_RareOverlaySell_day_-2/backtest-1776281198080
P3_1_RareOverlaySell,-1,96217.0,79368.0,16849.0,708,80,13,-879993.0,3100,2800,9,0,353,346,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/P3_1_RareOverlaySell_day_-1/backtest-1776281199232
P3_1_RareOverlaySell,0,95696.0,79397.0,16299.0,690,80,-26,-960231.0,1100,3700,9,0,332,349,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/P3_1_RareOverlaySell_day_0/backtest-1776281200325
O1_1_DepthAwareImbalance,-2,95628.5,79644.0,15984.5,743,80,63,-798415.0,300,700,8,0,377,358,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/O1_1_DepthAwareImbalance_day_-2/backtest-1776281201445
O1_1_DepthAwareImbalance,-1,96187.0,79368.0,16819.0,728,80,-5,-879947.0,3100,2800,9,0,361,358,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/O1_1_DepthAwareImbalance_day_-1/backtest-1776281202623
O1_1_DepthAwareImbalance,0,94909.0,79397.0,15512.0,699,80,-58,-960207.0,1100,3700,9,0,333,357,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/O1_1_DepthAwareImbalance_day_0/backtest-1776281203762
O2_1_PassiveFillPenaltyLight,-2,96102.5,79644.0,16458.5,725,80,39,-798467.0,300,700,8,0,365,352,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/O2_1_PassiveFillPenaltyLight_day_-2/backtest-1776281204904
O2_1_PassiveFillPenaltyLight,-1,96217.0,79368.0,16849.0,708,80,13,-879993.0,3100,2800,9,0,353,346,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/O2_1_PassiveFillPenaltyLight_day_-1/backtest-1776281206126
O2_1_PassiveFillPenaltyLight,0,95696.0,79397.0,16299.0,690,80,-26,-960231.0,1100,3700,9,0,332,349,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/O2_1_PassiveFillPenaltyLight_day_0/backtest-1776281207361
O3_2_ToxicOneSidedMedium,-2,94729.5,79644.0,15085.5,697,80,39,-798529.0,300,700,8,0,352,337,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/O3_2_ToxicOneSidedMedium_day_-2/backtest-1776281208596
O3_2_ToxicOneSidedMedium,-1,94796.0,79368.0,15428.0,674,80,12,-880133.0,3100,5200,9,0,338,327,/Users/xavierwinkelmann/Prosperity/Analysis/output/r1_42_stage1/O3_2_ToxicOneSidedMedium_day_-1/backtest-1776281209758
