bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r01_01_a_attack_tuning,original_noise,original_noise_001,-2,95695.0,822,original,0,0.986919,0.997326,0.010441,1,16011.0,79684.0,40,80
TradervR1_lab_r01_01_a_attack_tuning,original_noise,original_noise_001,-1,95119.0,778,original,0,0.958841,0.994906,0.003523,1,15796.0,79323.0,15,80
TradervR1_lab_r01_01_a_attack_tuning,original_noise,original_noise_001,0,96699.0,824,original,0,0.994257,0.987945,0.018962,1,17302.0,79397.0,-19,80
TradervR1_lab_r01_01_a_attack_tuning,bootstrap_path,bootstrap_path_001,-2,26994.0,828,bootstrap,211,1.0,1.0,0.0,1,17526.0,9468.0,8,80
TradervR1_lab_r01_01_a_attack_tuning,bootstrap_path,bootstrap_path_001,-1,-24624.0,757,bootstrap,362,1.0,1.0,0.0,1,16064.0,-40688.0,-10,80
TradervR1_lab_r01_01_a_attack_tuning,bootstrap_path,bootstrap_path_001,0,-5897.5,822,bootstrap,351,1.0,1.0,0.0,1,20359.5,-26257.0,-35,80
TradervR1_lab_r01_01_a_attack_tuning,bootstrap_balanced,bootstrap_balanced_001,-2,-38743.0,828,bootstrap,338,0.893926,0.963663,0.058819,1,15395.0,-54138.0,-3,80
TradervR1_lab_r01_01_a_attack_tuning,bootstrap_balanced,bootstrap_balanced_001,-1,44905.0,864,bootstrap,289,0.930775,0.944545,0.014145,1,14965.0,29940.0,5,80
TradervR1_lab_r01_01_a_attack_tuning,bootstrap_balanced,bootstrap_balanced_001,0,-36959.0,806,bootstrap,340,0.942235,0.949862,0.042385,1,17042.0,-54001.0,-4,80
TradervR1_34_1,original_noise,original_noise_001,-2,95398.0,730,original,0,0.986919,0.997326,0.010441,1,15714.0,79684.0,42,80
TradervR1_34_1,original_noise,original_noise_001,-1,94961.0,687,original,0,0.958841,0.994906,0.003523,1,15638.0,79323.0,15,80
TradervR1_34_1,original_noise,original_noise_001,0,95850.0,714,original,0,0.994257,0.987945,0.018962,1,16453.0,79397.0,-21,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-2,26756.0,730,bootstrap,211,1.0,1.0,0.0,1,17288.0,9468.0,12,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-1,-24851.0,663,bootstrap,362,1.0,1.0,0.0,1,15837.0,-40688.0,-11,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,0,-7084.0,717,bootstrap,351,1.0,1.0,0.0,1,19173.0,-26257.0,-24,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-2,-38694.0,740,bootstrap,338,0.893926,0.963663,0.058819,1,15426.0,-54120.0,-6,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-1,51730.0,751,bootstrap,289,0.930775,0.944545,0.014145,1,14692.0,37038.0,4,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,0,-37594.0,706,bootstrap,340,0.942235,0.949862,0.042385,1,16404.0,-53998.0,-8,80
