rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_08_a_quality_guard_a_attack_tuning,TradervR1_lab_r03_02_p_entry_quality_a_attack_tuning,"ash_quality_guard,ash_attack_tuning",289788.5,1746.0,-56.0,380.0,313.0,1853.96,3998.58,96509.5,16872.5,79637.0,799,96910.0,17542.0,79368.0,780,96369.0,16972.0,79397.0,761,4130.25,3300.0,1.0,4130.25,3300.0
2,TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,TradervR1_47,"ash_local_fair_blend,ash_attack_tuning",290242.5,2200.0,398.0,613.0,258.0,2393.91,3646.25,96742.5,17098.5,79644.0,819,96933.0,17565.0,79368.0,790,96567.0,17170.0,79397.0,771,2479.5,1611.0,1.0,2479.5,1611.0
3,TradervR1_lab_r01_08_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,290080.0,2037.5,235.5,563.5,259.5,2213.965,3519.6033,96693.0,17049.0,79644.0,804,96868.0,17500.0,79368.0,779,96519.0,17122.0,79397.0,765,2462.3333,2040.75,1.0,2462.3333,2040.75
4,TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning_cmaes_ash_local_fair_blend,TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,"ash_local_fair_blend,cmaes_refine",290242.5,2200.0,398.0,613.0,258.0,2393.91,3392.0883,96742.5,17098.5,79644.0,819,96933.0,17565.0,79368.0,790,96567.0,17170.0,79397.0,771,1985.5833,1206.75,1.0,1985.5833,1206.75
5,TradervR1_lab_r08_05_a_quality_guard,TradervR1_lab_r07_07_p_carry_defense_a_quality_guard,ash_quality_guard,289762.5,1720.0,-82.0,480.0,242.0,1868.64,3151.8672,96609.5,16982.5,79627.0,828,96735.0,17371.0,79364.0,814,96418.0,17022.0,79396.0,790,3026.1667,358.25,0.8333,3026.1667,358.25
6,TradervR1_lab_r03_08_p_entry_quality_a_quality_guard,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard_best,"pepper_entry_quality,ash_quality_guard",290011.5,1969.0,167.0,622.0,64.0,2181.58,3097.2455,96751.5,17107.5,79644.0,803,96878.0,17510.0,79368.0,779,96382.0,16992.0,79390.0,763,2232.0,-45.0,0.8333,2232.0,-45.0
7,TradervR1_lab_r06_03_a_quality_guard,TradervR1_lab_r05_04_p_carry_defense_p_entry_quality,ash_quality_guard,289808.5,1766.0,-36.0,512.0,225.0,1927.2,3068.4788,96641.5,17013.5,79628.0,831,96734.0,17371.0,79363.0,813,96433.0,17051.0,79382.0,788,2395.8333,1119.0,0.8333,2395.8333,1119.0
8,TradervR1_lab_r09_08_p_entry_quality,TradervR1_lab_r08_05_a_quality_guard_best,pepper_entry_quality,289746.5,1704.0,-98.0,480.0,226.0,1853.92,3029.9138,96609.5,16982.5,79627.0,828,96735.0,17371.0,79364.0,814,96402.0,17022.0,79380.0,790,2510.3333,1075.25,0.8333,2510.3333,1075.25
9,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,290267.5,2225.0,423.0,648.0,165.0,2438.6,2923.1222,96777.5,17133.5,79644.0,788,96981.0,17613.0,79368.0,764,96509.0,17112.0,79397.0,749,1530.9167,-1121.5,0.8333,1530.9167,-1121.5
10,TradervR1_lab_r14_01_a_attack_tuning_a_quality_guard,TradervR1_47,"ash_attack_tuning,ash_quality_guard",289529.0,1486.5,-315.5,375.5,257.5,1597.325,2870.2867,96505.0,16861.0,79644.0,828,96695.0,17327.0,79368.0,808,96329.0,16932.0,79397.0,784,2596.1667,1605.25,1.0,2596.1667,1605.25
