bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,original_noise,original_noise_001,-2,96234.5,816,original,0,0.986919,0.997326,0.010441,1,16559.5,79675.0,41,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,original_noise,original_noise_001,-1,95547.0,768,original,0,0.958841,0.994906,0.003523,1,16224.0,79323.0,16,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,original_noise,original_noise_001,0,96952.0,803,original,0,0.994257,0.987945,0.018962,1,17555.0,79397.0,-22,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,original_noise,original_noise_002,-2,95540.5,807,original,0,0.970611,0.984013,0.003598,1,15856.5,79684.0,43,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,original_noise,original_noise_002,-1,95266.0,763,original,0,0.942779,0.981812,0.029385,1,15953.0,79313.0,14,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,original_noise,original_noise_002,0,96127.0,800,original,0,0.961271,0.963755,0.024511,1,16730.0,79397.0,-20,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_path,bootstrap_path_001,-2,27290.0,816,bootstrap,211,1.0,1.0,0.0,1,17822.0,9468.0,16,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_path,bootstrap_path_001,-1,-24459.0,755,bootstrap,362,1.0,1.0,0.0,1,16229.0,-40688.0,-7,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_path,bootstrap_path_001,0,-5283.5,811,bootstrap,351,1.0,1.0,0.0,1,20973.5,-26257.0,-43,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_path,bootstrap_path_002,-2,50055.0,808,bootstrap,218,1.0,1.0,0.0,1,17351.0,32704.0,8,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_path,bootstrap_path_002,-1,21538.0,859,bootstrap,433,1.0,1.0,0.0,1,17088.0,4450.0,9,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_path,bootstrap_path_002,0,11381.0,833,bootstrap,361,1.0,1.0,0.0,1,18326.0,-6945.0,20,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_balanced,bootstrap_balanced_001,-2,-38695.0,815,bootstrap,338,0.893926,0.963663,0.058819,1,15424.0,-54119.0,-9,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_balanced,bootstrap_balanced_001,-1,55590.0,840,bootstrap,289,0.930775,0.944545,0.014145,1,15266.0,40324.0,-1,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_balanced,bootstrap_balanced_001,0,-37381.0,779,bootstrap,340,0.942235,0.949862,0.042385,1,16602.0,-53983.0,-4,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_balanced,bootstrap_balanced_002,-2,-16294.0,729,bootstrap,348,0.892647,0.872683,0.036334,1,14370.0,-30664.0,-12,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_balanced,bootstrap_balanced_002,-1,10317.0,771,bootstrap,405,0.882646,0.956627,0.01607,1,15303.0,-4986.0,-15,80
TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,bootstrap_balanced,bootstrap_balanced_002,0,139060.0,891,bootstrap,380,0.958946,0.919056,0.078959,1,18023.0,121037.0,-45,80
TradervR1_34_1,original_noise,original_noise_001,-2,95398.0,730,original,0,0.986919,0.997326,0.010441,1,15714.0,79684.0,42,80
TradervR1_34_1,original_noise,original_noise_001,-1,94961.0,687,original,0,0.958841,0.994906,0.003523,1,15638.0,79323.0,15,80
TradervR1_34_1,original_noise,original_noise_001,0,95850.0,714,original,0,0.994257,0.987945,0.018962,1,16453.0,79397.0,-21,80
TradervR1_34_1,original_noise,original_noise_002,-2,95065.0,728,original,0,0.970611,0.984013,0.003598,1,15381.0,79684.0,38,80
TradervR1_34_1,original_noise,original_noise_002,-1,94442.0,677,original,0,0.942779,0.981812,0.029385,1,15119.0,79323.0,14,80
TradervR1_34_1,original_noise,original_noise_002,0,95203.0,709,original,0,0.961271,0.963755,0.024511,1,15806.0,79397.0,-13,80
