bot,family,sample_id,total_pnl,total_fills,path_mode,avg_block_steps,avg_passive_fill_prob,avg_passive_qty_scale,avg_aggressive_slip_prob,avg_aggressive_slip_ticks,day_-1_pnl,day_-2_pnl,day_0_pnl
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-24558.0,2197,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,51730.0,-38694.0,-37594.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_002,132084.5,2114,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,9404.0,-16500.5,139181.0
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-5179.0,2110,bootstrap,308.0,1.0,1.0,0.0,1.0,-24851.0,26756.0,-7084.0
TradervR1_34_1,bootstrap_path,bootstrap_path_002,80642.0,2225,bootstrap,337.3333,1.0,1.0,0.0,1.0,21028.0,49274.0,10340.0
TradervR1_34_1,original_noise,original_noise_001,286209.0,2131,original,0.0,0.980006,0.993392,0.010975,1.0,94961.0,95398.0,95850.0
TradervR1_34_1,original_noise,original_noise_002,284710.0,2114,original,0.0,0.95822,0.976527,0.019165,1.0,94442.0,95065.0,95203.0
TradervR1_lab_r08_05_p_entry_quality_a_attack_tuning_best,bootstrap_balanced,bootstrap_balanced_001,-28499.0,2517,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,47075.0,-38505.0,-37069.0
TradervR1_lab_r08_05_p_entry_quality_a_attack_tuning_best,bootstrap_balanced,bootstrap_balanced_002,127872.0,2458,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,9905.0,-16607.0,134574.0
TradervR1_lab_r08_05_p_entry_quality_a_attack_tuning_best,bootstrap_path,bootstrap_path_001,-3146.0,2432,bootstrap,308.0,1.0,1.0,0.0,1.0,-24627.0,27113.0,-5632.0
TradervR1_lab_r08_05_p_entry_quality_a_attack_tuning_best,bootstrap_path,bootstrap_path_002,82382.0,2586,bootstrap,337.3333,1.0,1.0,0.0,1.0,21303.0,49998.0,11081.0
TradervR1_lab_r08_05_p_entry_quality_a_attack_tuning_best,original_noise,original_noise_001,287936.5,2455,original,0.0,0.980006,0.993392,0.010975,1.0,95387.0,95778.5,96771.0
TradervR1_lab_r08_05_p_entry_quality_a_attack_tuning_best,original_noise,original_noise_002,286082.0,2433,original,0.0,0.95822,0.976527,0.019165,1.0,95006.0,95367.0,95709.0
