bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,original_noise,original_noise_001,-2,95497.5,841,original,0,0.986919,0.997326,0.010441,1,15788.5,79709.0,41,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,original_noise,original_noise_001,-1,94951.0,792,original,0,0.958841,0.994906,0.003523,1,15621.0,79330.0,18,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,original_noise,original_noise_001,0,96387.0,829,original,0,0.994257,0.987945,0.018962,1,16995.0,79392.0,-14,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,original_noise,original_noise_002,-2,95335.0,841,original,0,0.970611,0.984013,0.003598,1,15626.0,79709.0,38,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,original_noise,original_noise_002,-1,94561.0,791,original,0,0.942779,0.981812,0.029385,1,15231.0,79330.0,15,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,original_noise,original_noise_002,0,95334.0,817,original,0,0.961271,0.963755,0.024511,1,15942.0,79392.0,-16,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,bootstrap_path,bootstrap_path_001,-2,26660.0,838,bootstrap,211,1.0,1.0,0.0,1,17192.0,9468.0,13,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,bootstrap_path,bootstrap_path_001,-1,-25026.0,771,bootstrap,362,1.0,1.0,0.0,1,15662.0,-40688.0,-7,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,bootstrap_path,bootstrap_path_001,0,-6267.0,827,bootstrap,351,1.0,1.0,0.0,1,19990.0,-26257.0,-38,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,bootstrap_path,bootstrap_path_002,-2,49644.0,832,bootstrap,218,1.0,1.0,0.0,1,16940.0,32704.0,10,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,bootstrap_path,bootstrap_path_002,-1,20818.0,895,bootstrap,433,1.0,1.0,0.0,1,16589.0,4229.0,5,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,bootstrap_path,bootstrap_path_002,0,10687.0,857,bootstrap,361,1.0,1.0,0.0,1,17632.0,-6945.0,19,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,bootstrap_balanced,bootstrap_balanced_001,-2,-38613.0,833,bootstrap,338,0.893926,0.963663,0.058819,1,15506.0,-54119.0,-9,80
TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,bootstrap_balanced,bootstrap_balanced_001,-1,38120.0,866,bootstrap,289,0.930775,0.944545,0.014145,1,14672.0,23448.0,0,80
