bot,family,sample_id,total_pnl,total_fills,path_mode,avg_block_steps,avg_passive_fill_prob,avg_passive_qty_scale,avg_aggressive_slip_prob,avg_aggressive_slip_ticks,day_-1_pnl,day_-2_pnl,day_0_pnl
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-24558.0,2197,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,51730.0,-38694.0,-37594.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_002,132084.5,2114,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,9404.0,-16500.5,139181.0
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-5179.0,2110,bootstrap,308.0,1.0,1.0,0.0,1.0,-24851.0,26756.0,-7084.0
TradervR1_34_1,bootstrap_path,bootstrap_path_002,80642.0,2225,bootstrap,337.3333,1.0,1.0,0.0,1.0,21028.0,49274.0,10340.0
TradervR1_34_1,original_noise,original_noise_001,286209.0,2131,original,0.0,0.980006,0.993392,0.010975,1.0,94961.0,95398.0,95850.0
TradervR1_34_1,original_noise,original_noise_002,284710.0,2114,original,0.0,0.95822,0.976527,0.019165,1.0,94442.0,95065.0,95203.0
TradervR1_lab_r15_05_a_quality_guard_a_local_fair_blend_p_carry_defense,bootstrap_balanced,bootstrap_balanced_001,-26089.0,1951,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,49147.0,-38786.0,-36450.0
TradervR1_lab_r15_05_a_quality_guard_a_local_fair_blend_p_carry_defense,bootstrap_balanced,bootstrap_balanced_002,142888.5,1890,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,10010.0,-16246.5,149125.0
TradervR1_lab_r15_05_a_quality_guard_a_local_fair_blend_p_carry_defense,bootstrap_path,bootstrap_path_001,-2260.5,1914,bootstrap,308.0,1.0,1.0,0.0,1.0,-24442.0,27620.0,-5438.5
TradervR1_lab_r15_05_a_quality_guard_a_local_fair_blend_p_carry_defense,bootstrap_path,bootstrap_path_002,82692.0,2033,bootstrap,337.3333,1.0,1.0,0.0,1.0,21845.0,49607.0,11240.0
TradervR1_lab_r15_05_a_quality_guard_a_local_fair_blend_p_carry_defense,original_noise,original_noise_001,287366.0,1873,original,0.0,0.980006,0.993392,0.010975,1.0,95297.0,95612.0,96457.0
TradervR1_lab_r15_05_a_quality_guard_a_local_fair_blend_p_carry_defense,original_noise,original_noise_002,285785.5,1842,original,0.0,0.95822,0.976527,0.019165,1.0,94879.0,95308.5,95598.0
