rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",292738.0,4695.5,2893.5,1335.5,446.5,5127.205,7215.6517,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,4238.6667,2557.0,1.0,4238.6667,2557.0
2,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,ash_local_fair_blend,292738.0,4695.5,2893.5,1335.5,446.5,5127.205,6337.5955,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,3181.0,-651.25,0.8333,3181.0,-651.25
3,TradervR1_lab_r05_03_a_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,ash_local_fair_blend,292274.5,4232.0,2430.0,1067.0,635.0,4554.65,5472.5055,97196.5,17552.5,79644.0,734,97919.0,18551.0,79368.0,724,97159.0,17771.0,79388.0,700,2549.5,-936.5,0.8333,2549.5,-936.5
4,TradervR1_lab_r04_06_a_attack_tuning,TradervR1_lab_r03_04_a_attack_tuning_a_quality_guard_p_entry_quality,ash_attack_tuning,289779.5,1737.0,-65.0,415.0,347.0,1854.49,3102.4338,96544.5,16875.5,79669.0,814,96777.0,17470.0,79307.0,792,96458.0,17056.0,79402.0,771,2663.8333,1131.75,0.8333,2663.8333,1131.75
5,TradervR1_lab_r16_07_p_carry_defense,TradervR1_47,pepper_carry_defense,289836.5,1794.0,-8.0,522.0,223.0,1958.86,2977.7233,96656.5,17013.5,79643.0,831,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,1911.5833,1570.5,1.0,1911.5833,1570.5
6,TradervR1_lab_r15_08_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,290154.5,2112.0,310.0,547.0,299.0,2279.53,2510.0388,96676.5,17032.5,79644.0,841,97063.0,17695.0,79368.0,810,96415.0,17018.0,79397.0,796,1594.8333,-3118.5,0.8333,1594.8333,-3118.5
7,TradervR1_lab_r12_06_a_local_fair_blend_a_attack_tuning_cmaes_ash_local_fair_blend,TradervR1_lab_r12_06_a_local_fair_blend_a_attack_tuning,"ash_local_fair_blend,cmaes_refine",289878.0,1835.5,33.5,417.5,342.5,1954.225,2477.0072,96547.0,16903.0,79644.0,790,96977.0,17609.0,79368.0,772,96354.0,16957.0,79397.0,755,1310.1667,-217.5,0.8333,1310.1667,-217.5
8,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_47,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",290379.0,2336.5,534.5,521.5,484.5,2480.265,2413.6488,96651.0,17007.0,79644.0,829,97223.0,17855.0,79368.0,814,96505.0,17117.0,79388.0,791,603.0833,-2407.25,0.8333,603.0833,-2407.25
9,TradervR1_lab_r16_07_p_carry_defense_cmaes_pepper_carry_defense,TradervR1_lab_r16_07_p_carry_defense,"pepper_carry_defense,cmaes_refine",289836.5,1794.0,-8.0,522.0,223.0,1958.86,2360.5488,96656.5,17013.5,79643.0,831,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,1118.5833,-530.5,0.8333,1118.5833,-530.5
10,TradervR1_lab_r15_02_a_quality_guard_a_local_fair_blend,TradervR1_47,"ash_quality_guard,ash_local_fair_blend",290392.0,2349.5,547.5,703.5,168.5,2582.245,2181.9888,96833.0,17189.0,79644.0,689,96991.0,17623.0,79368.0,676,96568.0,17171.0,79397.0,669,110.5833,-3383.25,0.8333,110.5833,-3383.25
