bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,original_noise,original_noise_001,-2,95460.5,851,original,0,0.986919,0.997326,0.010441,1,15776.5,79684.0,41,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,original_noise,original_noise_001,-1,95068.0,799,original,0,0.958841,0.994906,0.003523,1,15745.0,79323.0,12,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,original_noise,original_noise_001,0,96487.0,839,original,0,0.994257,0.987945,0.018962,1,17099.0,79388.0,-20,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,original_noise,original_noise_002,-2,94796.0,837,original,0,0.970611,0.984013,0.003598,1,15112.0,79684.0,40,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,original_noise,original_noise_002,-1,94535.0,805,original,0,0.942779,0.981812,0.029385,1,15205.0,79330.0,22,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,original_noise,original_noise_002,0,95537.0,820,original,0,0.961271,0.963755,0.024511,1,16149.0,79388.0,-17,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_path,bootstrap_path_001,-2,26698.0,841,bootstrap,211,1.0,1.0,0.0,1,17230.0,9468.0,13,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_path,bootstrap_path_001,-1,-25025.0,786,bootstrap,362,1.0,1.0,0.0,1,15663.0,-40688.0,-7,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_path,bootstrap_path_001,0,-5934.0,843,bootstrap,351,1.0,1.0,0.0,1,20323.0,-26257.0,-42,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_path,bootstrap_path_002,-2,49712.0,845,bootstrap,218,1.0,1.0,0.0,1,17008.0,32704.0,7,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_path,bootstrap_path_002,-1,20863.0,915,bootstrap,433,1.0,1.0,0.0,1,16428.0,4435.0,5,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_path,bootstrap_path_002,0,10647.0,869,bootstrap,361,1.0,1.0,0.0,1,17592.0,-6945.0,15,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_balanced,bootstrap_balanced_001,-2,-38532.0,839,bootstrap,338,0.893926,0.963663,0.058819,1,15587.0,-54119.0,-4,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_balanced,bootstrap_balanced_001,-1,38850.0,886,bootstrap,289,0.930775,0.944545,0.014145,1,14968.0,23882.0,-2,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_balanced,bootstrap_balanced_001,0,-37424.0,819,bootstrap,340,0.942235,0.949862,0.042385,1,16569.0,-53993.0,-6,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_balanced,bootstrap_balanced_002,-2,-16542.0,767,bootstrap,348,0.892647,0.872683,0.036334,1,14122.0,-30664.0,-8,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_balanced,bootstrap_balanced_002,-1,9620.0,794,bootstrap,405,0.882646,0.956627,0.01607,1,14603.0,-4983.0,-3,80
TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,bootstrap_balanced,bootstrap_balanced_002,0,140206.0,942,bootstrap,380,0.958946,0.919056,0.078959,1,17872.0,122334.0,-45,80
TradervR1_34_1,original_noise,original_noise_001,-2,95398.0,730,original,0,0.986919,0.997326,0.010441,1,15714.0,79684.0,42,80
TradervR1_34_1,original_noise,original_noise_001,-1,94961.0,687,original,0,0.958841,0.994906,0.003523,1,15638.0,79323.0,15,80
TradervR1_34_1,original_noise,original_noise_001,0,95850.0,714,original,0,0.994257,0.987945,0.018962,1,16453.0,79397.0,-21,80
TradervR1_34_1,original_noise,original_noise_002,-2,95065.0,728,original,0,0.970611,0.984013,0.003598,1,15381.0,79684.0,38,80
TradervR1_34_1,original_noise,original_noise_002,-1,94442.0,677,original,0,0.942779,0.981812,0.029385,1,15119.0,79323.0,14,80
TradervR1_34_1,original_noise,original_noise_002,0,95203.0,709,original,0,0.961271,0.963755,0.024511,1,15806.0,79397.0,-13,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-2,26756.0,730,bootstrap,211,1.0,1.0,0.0,1,17288.0,9468.0,12,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-1,-24851.0,663,bootstrap,362,1.0,1.0,0.0,1,15837.0,-40688.0,-11,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,0,-7084.0,717,bootstrap,351,1.0,1.0,0.0,1,19173.0,-26257.0,-24,80
