bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r12_07_p_entry_quality,original_noise,original_noise_001,-2,95374.0,828,original,0,0.986919,0.997326,0.010441,1,15690.0,79684.0,40,80
TradervR1_lab_r12_07_p_entry_quality,original_noise,original_noise_001,-1,94942.0,782,original,0,0.958841,0.994906,0.003523,1,15619.0,79323.0,12,80
TradervR1_lab_r12_07_p_entry_quality,original_noise,original_noise_001,0,96389.0,825,original,0,0.994257,0.987945,0.018962,1,16992.0,79397.0,-15,80
TradervR1_lab_r12_07_p_entry_quality,original_noise,original_noise_002,-2,95080.0,831,original,0,0.970611,0.984013,0.003598,1,15396.0,79684.0,40,80
TradervR1_lab_r12_07_p_entry_quality,original_noise,original_noise_002,-1,94569.0,792,original,0,0.942779,0.981812,0.029385,1,15246.0,79323.0,14,80
TradervR1_lab_r12_07_p_entry_quality,original_noise,original_noise_002,0,95509.0,821,original,0,0.961271,0.963755,0.024511,1,16112.0,79397.0,-22,80
TradervR1_lab_r12_07_p_entry_quality,bootstrap_path,bootstrap_path_001,-2,26660.0,838,bootstrap,211,1.0,1.0,0.0,1,17192.0,9468.0,13,80
TradervR1_lab_r12_07_p_entry_quality,bootstrap_path,bootstrap_path_001,-1,-25026.0,771,bootstrap,362,1.0,1.0,0.0,1,15662.0,-40688.0,-7,80
TradervR1_lab_r12_07_p_entry_quality,bootstrap_path,bootstrap_path_001,0,-6054.0,828,bootstrap,351,1.0,1.0,0.0,1,20203.0,-26257.0,-38,80
TradervR1_lab_r12_07_p_entry_quality,bootstrap_path,bootstrap_path_002,-2,49644.0,832,bootstrap,218,1.0,1.0,0.0,1,16940.0,32704.0,10,80
TradervR1_lab_r12_07_p_entry_quality,bootstrap_path,bootstrap_path_002,-1,21039.0,891,bootstrap,433,1.0,1.0,0.0,1,16589.0,4450.0,5,80
TradervR1_lab_r12_07_p_entry_quality,bootstrap_path,bootstrap_path_002,0,10687.0,857,bootstrap,361,1.0,1.0,0.0,1,17632.0,-6945.0,19,80
TradervR1_lab_r12_07_p_entry_quality,bootstrap_balanced,bootstrap_balanced_001,-2,-38672.0,847,bootstrap,338,0.893926,0.963663,0.058819,1,15459.0,-54131.0,-4,80
TradervR1_lab_r12_07_p_entry_quality,bootstrap_balanced,bootstrap_balanced_001,-1,46036.0,880,bootstrap,289,0.930775,0.944545,0.014145,1,14648.0,31388.0,1,80
TradervR1_lab_r12_07_p_entry_quality,bootstrap_balanced,bootstrap_balanced_001,0,-37212.0,810,bootstrap,340,0.942235,0.949862,0.042385,1,16779.0,-53991.0,-6,80
TradervR1_lab_r12_07_p_entry_quality,bootstrap_balanced,bootstrap_balanced_002,-2,-16685.0,765,bootstrap,348,0.892647,0.872683,0.036334,1,13979.0,-30664.0,-10,80
