bot,family,sample_id,total_pnl,total_fills,path_mode,avg_block_steps,avg_passive_fill_prob,avg_passive_qty_scale,avg_aggressive_slip_prob,avg_aggressive_slip_ticks,day_-1_pnl,day_-2_pnl,day_0_pnl
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-24558.0,2197,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,51730.0,-38694.0,-37594.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_002,132084.5,2114,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,9404.0,-16500.5,139181.0
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-5179.0,2110,bootstrap,308.0,1.0,1.0,0.0,1.0,-24851.0,26756.0,-7084.0
TradervR1_34_1,bootstrap_path,bootstrap_path_002,80642.0,2225,bootstrap,337.3333,1.0,1.0,0.0,1.0,21028.0,49274.0,10340.0
TradervR1_34_1,original_noise,original_noise_001,286209.0,2131,original,0.0,0.980006,0.993392,0.010975,1.0,94961.0,95398.0,95850.0
TradervR1_34_1,original_noise,original_noise_002,284710.0,2114,original,0.0,0.95822,0.976527,0.019165,1.0,94442.0,95065.0,95203.0
TradervR1_lab_r15_07_a_local_fair_blend_p_entry_quality,bootstrap_balanced,bootstrap_balanced_001,-31738.0,2056,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,43796.0,-38588.0,-36946.0
TradervR1_lab_r15_07_a_local_fair_blend_p_entry_quality,bootstrap_balanced,bootstrap_balanced_002,133363.5,1975,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,9797.0,-16559.5,140126.0
TradervR1_lab_r15_07_a_local_fair_blend_p_entry_quality,bootstrap_path,bootstrap_path_001,-4440.5,1972,bootstrap,308.0,1.0,1.0,0.0,1.0,-24632.0,27054.0,-6862.5
TradervR1_lab_r15_07_a_local_fair_blend_p_entry_quality,bootstrap_path,bootstrap_path_002,82033.0,2110,bootstrap,337.3333,1.0,1.0,0.0,1.0,21666.0,49478.0,10889.0
TradervR1_lab_r15_07_a_local_fair_blend_p_entry_quality,original_noise,original_noise_001,287441.0,1987,original,0.0,0.980006,0.993392,0.010975,1.0,95486.0,95640.0,96315.0
TradervR1_lab_r15_07_a_local_fair_blend_p_entry_quality,original_noise,original_noise_002,285585.5,1961,original,0.0,0.95822,0.976527,0.019165,1.0,94911.0,95152.5,95522.0
