bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,original_noise,original_noise_001,-2,95447.5,732,original,0,0.986919,0.997326,0.010441,1,15764.5,79683.0,37,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,original_noise,original_noise_001,-1,94921.0,677,original,0,0.958841,0.994906,0.003523,1,15596.0,79325.0,15,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,original_noise,original_noise_001,0,96320.0,719,original,0,0.994257,0.987945,0.018962,1,16939.0,79381.0,-19,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,original_noise,original_noise_002,-2,95494.0,729,original,0,0.970611,0.984013,0.003598,1,15811.0,79683.0,40,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,original_noise,original_noise_002,-1,94955.0,691,original,0,0.942779,0.981812,0.029385,1,15630.0,79325.0,14,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,original_noise,original_noise_002,0,95423.0,701,original,0,0.961271,0.963755,0.024511,1,16033.0,79390.0,-20,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,bootstrap_path,bootstrap_path_001,-2,27242.0,728,bootstrap,211,1.0,1.0,0.0,1,17774.0,9468.0,14,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,bootstrap_path,bootstrap_path_001,-1,-24467.0,660,bootstrap,362,1.0,1.0,0.0,1,16221.0,-40688.0,-15,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,bootstrap_path,bootstrap_path_001,0,-6753.0,713,bootstrap,351,1.0,1.0,0.0,1,19504.0,-26257.0,-26,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,bootstrap_path,bootstrap_path_002,-2,49330.0,713,bootstrap,218,1.0,1.0,0.0,1,16626.0,32704.0,12,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,bootstrap_path,bootstrap_path_002,-1,21236.0,796,bootstrap,433,1.0,1.0,0.0,1,16808.0,4428.0,12,80
TradervR1_lab_r09_01_a_quality_guard_p_carry_defense,bootstrap_path,bootstrap_path_002,0,10714.0,725,bootstrap,361,1.0,1.0,0.0,1,17659.0,-6945.0,18,80
