bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,original_noise,original_noise_001,-2,96180.0,831,original,0,0.986919,0.997326,0.010441,1,16496.0,79684.0,40,80
TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,original_noise,original_noise_001,-1,95835.0,792,original,0,0.958841,0.994906,0.003523,1,16512.0,79323.0,22,80
TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,original_noise,original_noise_001,0,97090.0,822,original,0,0.994257,0.987945,0.018962,1,17699.0,79391.0,-16,80
TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,original_noise,original_noise_002,-2,95767.5,834,original,0,0.970611,0.984013,0.003598,1,16083.5,79684.0,39,80
TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,original_noise,original_noise_002,-1,95261.0,780,original,0,0.942779,0.981812,0.029385,1,15948.0,79313.0,8,80
TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,original_noise,original_noise_002,0,96245.0,819,original,0,0.961271,0.963755,0.024511,1,16854.0,79391.0,-17,80
TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,bootstrap_path,bootstrap_path_001,-2,27459.0,837,bootstrap,211,1.0,1.0,0.0,1,17991.0,9468.0,14,80
TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,bootstrap_path,bootstrap_path_001,-1,-24373.0,775,bootstrap,362,1.0,1.0,0.0,1,16315.0,-40688.0,-8,80
TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,bootstrap_path,bootstrap_path_001,0,-5296.5,828,bootstrap,351,1.0,1.0,0.0,1,20960.5,-26257.0,-41,80
TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,bootstrap_path,bootstrap_path_002,-2,50251.0,829,bootstrap,218,1.0,1.0,0.0,1,17547.0,32704.0,7,80
