bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,original_noise,original_noise_001,-2,95624.5,581,original,0,0.986919,0.997326,0.010441,1,15940.5,79684.0,41,80
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,original_noise,original_noise_001,-1,95380.0,566,original,0,0.958841,0.994906,0.003523,1,16050.0,79330.0,20,80
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,original_noise,original_noise_001,0,96198.0,596,original,0,0.994257,0.987945,0.018962,1,16801.0,79397.0,-16,80
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,original_noise,original_noise_002,-2,95454.5,581,original,0,0.970611,0.984013,0.003598,1,15776.5,79678.0,43,80
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,original_noise,original_noise_002,-1,94800.0,559,original,0,0.942779,0.981812,0.029385,1,15477.0,79323.0,10,80
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,original_noise,original_noise_002,0,95778.0,593,original,0,0.961271,0.963755,0.024511,1,16381.0,79397.0,-14,80
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,bootstrap_path,bootstrap_path_001,-2,26802.0,598,bootstrap,211,1.0,1.0,0.0,1,17334.0,9468.0,6,80
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,bootstrap_path,bootstrap_path_001,-1,-24724.0,547,bootstrap,362,1.0,1.0,0.0,1,15964.0,-40688.0,-12,80
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,bootstrap_path,bootstrap_path_001,0,-6502.5,618,bootstrap,351,1.0,1.0,0.0,1,19754.5,-26257.0,-29,80
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,bootstrap_path,bootstrap_path_002,-2,49549.0,592,bootstrap,218,1.0,1.0,0.0,1,16845.0,32704.0,19,80
TradervR1_lab_r14_01_a_quality_guard_a_local_fair_blend,bootstrap_path,bootstrap_path_002,-1,21294.0,668,bootstrap,433,1.0,1.0,0.0,1,16844.0,4450.0,17,80
