bot,family,sample_id,total_pnl,total_fills,path_mode,avg_block_steps,avg_passive_fill_prob,avg_passive_qty_scale,avg_aggressive_slip_prob,avg_aggressive_slip_ticks,day_-1_pnl,day_-2_pnl,day_0_pnl
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-24558.0,2197,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,51730.0,-38694.0,-37594.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_002,132084.5,2114,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,9404.0,-16500.5,139181.0
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-5179.0,2110,bootstrap,308.0,1.0,1.0,0.0,1.0,-24851.0,26756.0,-7084.0
TradervR1_34_1,bootstrap_path,bootstrap_path_002,80642.0,2225,bootstrap,337.3333,1.0,1.0,0.0,1.0,21028.0,49274.0,10340.0
TradervR1_34_1,original_noise,original_noise_001,286209.0,2131,original,0.0,0.980006,0.993392,0.010975,1.0,94961.0,95398.0,95850.0
TradervR1_34_1,original_noise,original_noise_002,284710.0,2114,original,0.0,0.95822,0.976527,0.019165,1.0,94442.0,95065.0,95203.0
TradervR1_lab_r06_02_a_quality_guard_a_local_fair_blend_p_carry_defense_best,bootstrap_balanced,bootstrap_balanced_001,-27198.0,2284,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,49099.0,-38915.0,-37382.0
TradervR1_lab_r06_02_a_quality_guard_a_local_fair_blend_p_carry_defense_best,bootstrap_balanced,bootstrap_balanced_002,130321.5,2205,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,9568.0,-17252.5,138006.0
TradervR1_lab_r06_02_a_quality_guard_a_local_fair_blend_p_carry_defense_best,bootstrap_path,bootstrap_path_001,-5570.5,2218,bootstrap,308.0,1.0,1.0,0.0,1.0,-25005.0,26533.0,-7098.5
TradervR1_lab_r06_02_a_quality_guard_a_local_fair_blend_p_carry_defense_best,bootstrap_path,bootstrap_path_002,80902.0,2320,bootstrap,337.3333,1.0,1.0,0.0,1.0,20938.0,49549.0,10415.0
TradervR1_lab_r06_02_a_quality_guard_a_local_fair_blend_p_carry_defense_best,original_noise,original_noise_001,287115.5,2236,original,0.0,0.980006,0.993392,0.010975,1.0,95162.0,95518.5,96435.0
TradervR1_lab_r06_02_a_quality_guard_a_local_fair_blend_p_carry_defense_best,original_noise,original_noise_002,285755.0,2211,original,0.0,0.95822,0.976527,0.019165,1.0,94909.0,95123.0,95723.0
