bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,original_noise,original_noise_001,-2,96842.0,782,original,0,0.986919,0.997326,0.010441,1,17170.0,79672.0,46,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,original_noise,original_noise_001,-1,96231.0,732,original,0,0.958841,0.994906,0.003523,1,16908.0,79323.0,20,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,original_noise,original_noise_001,0,97519.0,772,original,0,0.994257,0.987945,0.018962,1,18131.0,79388.0,-17,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,original_noise,original_noise_002,-2,96494.0,779,original,0,0.970611,0.984013,0.003598,1,16810.0,79684.0,42,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,original_noise,original_noise_002,-1,95791.0,734,original,0,0.942779,0.981812,0.029385,1,16461.0,79330.0,13,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,original_noise,original_noise_002,0,96813.0,753,original,0,0.961271,0.963755,0.024511,1,17425.0,79388.0,-27,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,bootstrap_path,bootstrap_path_001,-2,28229.0,788,bootstrap,211,1.0,1.0,0.0,1,18761.0,9468.0,19,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,bootstrap_path,bootstrap_path_001,-1,-23695.0,715,bootstrap,362,1.0,1.0,0.0,1,16993.0,-40688.0,-9,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,bootstrap_path,bootstrap_path_001,0,-4224.0,788,bootstrap,351,1.0,1.0,0.0,1,22033.0,-26257.0,-46,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,bootstrap_path,bootstrap_path_002,-2,50645.0,778,bootstrap,218,1.0,1.0,0.0,1,17941.0,32704.0,3,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,bootstrap_path,bootstrap_path_002,-1,22286.0,833,bootstrap,433,1.0,1.0,0.0,1,17887.0,4399.0,8,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,bootstrap_path,bootstrap_path_002,0,12281.0,805,bootstrap,361,1.0,1.0,0.0,1,19226.0,-6945.0,18,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,bootstrap_balanced,bootstrap_balanced_001,-2,-37372.0,785,bootstrap,338,0.893926,0.963663,0.058819,1,16747.0,-54119.0,-8,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,bootstrap_balanced,bootstrap_balanced_001,-1,49742.0,821,bootstrap,289,0.930775,0.944545,0.014145,1,15843.0,33899.0,-1,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,bootstrap_balanced,bootstrap_balanced_001,0,-35956.0,747,bootstrap,340,0.942235,0.949862,0.042385,1,18037.0,-53993.0,-4,80
TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_best,bootstrap_balanced,bootstrap_balanced_002,-2,-15185.5,697,bootstrap,348,0.892647,0.872683,0.036334,1,15478.5,-30664.0,-15,80
