bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r01_01_a_local_fair_blend,original_noise,original_noise_001,-2,95591.5,613,original,0,0.986919,0.997326,0.010441,1,15907.5,79684.0,47,80
TradervR1_lab_r01_01_a_local_fair_blend,original_noise,original_noise_001,-1,95513.0,589,original,0,0.958841,0.994906,0.003523,1,16199.0,79314.0,11,80
TradervR1_lab_r01_01_a_local_fair_blend,original_noise,original_noise_001,0,96385.0,619,original,0,0.994257,0.987945,0.018962,1,16988.0,79397.0,-23,80
TradervR1_lab_r01_01_a_local_fair_blend,bootstrap_path,bootstrap_path_001,-2,26921.0,606,bootstrap,211,1.0,1.0,0.0,1,17453.0,9468.0,10,80
TradervR1_lab_r01_01_a_local_fair_blend,bootstrap_path,bootstrap_path_001,-1,-24841.0,568,bootstrap,362,1.0,1.0,0.0,1,15847.0,-40688.0,-9,80
TradervR1_lab_r01_01_a_local_fair_blend,bootstrap_path,bootstrap_path_001,0,-6888.5,623,bootstrap,351,1.0,1.0,0.0,1,19368.5,-26257.0,-27,80
TradervR1_lab_r01_01_a_local_fair_blend,bootstrap_balanced,bootstrap_balanced_001,-2,-38496.0,613,bootstrap,338,0.893926,0.963663,0.058819,1,15623.0,-54119.0,-11,80
TradervR1_lab_r01_01_a_local_fair_blend,bootstrap_balanced,bootstrap_balanced_001,-1,42760.0,669,bootstrap,289,0.930775,0.944545,0.014145,1,14948.0,27812.0,8,80
TradervR1_lab_r01_01_a_local_fair_blend,bootstrap_balanced,bootstrap_balanced_001,0,-37421.0,587,bootstrap,340,0.942235,0.949862,0.042385,1,16572.0,-53993.0,-6,80
TradervR1_34_1,original_noise,original_noise_001,-2,95398.0,730,original,0,0.986919,0.997326,0.010441,1,15714.0,79684.0,42,80
TradervR1_34_1,original_noise,original_noise_001,-1,94961.0,687,original,0,0.958841,0.994906,0.003523,1,15638.0,79323.0,15,80
TradervR1_34_1,original_noise,original_noise_001,0,95850.0,714,original,0,0.994257,0.987945,0.018962,1,16453.0,79397.0,-21,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-2,26756.0,730,bootstrap,211,1.0,1.0,0.0,1,17288.0,9468.0,12,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-1,-24851.0,663,bootstrap,362,1.0,1.0,0.0,1,15837.0,-40688.0,-11,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,0,-7084.0,717,bootstrap,351,1.0,1.0,0.0,1,19173.0,-26257.0,-24,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-2,-38694.0,740,bootstrap,338,0.893926,0.963663,0.058819,1,15426.0,-54120.0,-6,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-1,51730.0,751,bootstrap,289,0.930775,0.944545,0.014145,1,14692.0,37038.0,4,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,0,-37594.0,706,bootstrap,340,0.942235,0.949862,0.042385,1,16404.0,-53998.0,-8,80
