rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,ash_local_fair_blend,292504.5,4462.0,2660.0,1132.0,601.0,4810.12,7767.2717,97261.5,17624.5,79637.0,703,97950.0,18582.0,79368.0,703,97293.0,17905.0,79388.0,681,5575.4167,4942.75,1.0,5575.4167,4942.75
2,TradervR1_lab_r04_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",292504.5,4462.0,2660.0,1132.0,601.0,4810.12,6738.0888,97261.5,17624.5,79637.0,703,97950.0,18582.0,79368.0,703,97293.0,17905.0,79388.0,681,4223.5833,1495.5,0.8333,4223.5833,1495.5
3,TradervR1_lab_r05_03_a_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend_best,ash_local_fair_blend,292060.0,4017.5,2215.5,1042.5,543.5,4338.895,6613.82,97172.0,17535.0,79637.0,735,97803.0,18435.0,79368.0,729,97085.0,17697.0,79388.0,700,4518.75,3088.75,1.0,4518.75,3088.75
4,TradervR1_lab_r01_06_p_entry_quality,TradervR1_47,pepper_entry_quality,289830.5,1788.0,-14.0,521.0,224.0,1952.43,3443.4567,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,3026.1667,1762.0,1.0,3026.1667,1762.0
5,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,TradervR1_lab_r01_06_p_entry_quality,"ash_attack_tuning,ash_quality_guard",290014.5,1972.0,170.0,406.0,390.0,2082.9,2896.2805,96535.5,16898.5,79637.0,827,97013.0,17645.0,79368.0,812,96466.0,17076.0,79390.0,791,2217.0,-732.75,0.8333,2217.0,-732.75
6,TradervR1_lab_r02_08_p_carry_defense,TradervR1_47,pepper_carry_defense,289800.5,1758.0,-44.0,487.0,263.0,1907.41,2810.6088,96650.5,17013.5,79637.0,830,96704.0,17371.0,79333.0,814,96446.0,17051.0,79395.0,788,2334.5833,-402.0,0.8333,2334.5833,-402.0
7,TradervR1_lab_r04_07_a_quality_guard,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,ash_quality_guard,290253.0,2210.5,408.5,521.5,358.5,2364.345,2716.0838,96651.0,17007.0,79644.0,829,97097.0,17729.0,79368.0,819,96505.0,17117.0,79388.0,791,1140.3333,-954.0,0.8333,1140.3333,-954.0
8,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard_best,"ash_local_fair_blend,pepper_entry_quality",289794.5,1752.0,-50.0,328.0,469.0,1829.28,2299.0912,96457.5,16820.5,79637.0,846,97014.0,17646.0,79368.0,833,96323.0,16935.0,79388.0,807,1379.4167,-723.5,0.6667,1379.4167,-723.5
9,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard_cmaes_ash_attack_tuning,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,"ash_attack_tuning,cmaes_refine",290014.5,1972.0,170.0,406.0,390.0,2082.9,2197.3205,96535.5,16898.5,79637.0,827,97013.0,17645.0,79368.0,812,96466.0,17076.0,79390.0,791,1162.25,-2711.75,0.8333,1162.25,-2711.75
10,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_47,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",290379.0,2336.5,534.5,521.5,484.5,2480.265,2186.9545,96651.0,17007.0,79644.0,829,97223.0,17855.0,79368.0,814,96505.0,17117.0,79388.0,791,388.5,-3371.75,0.6667,388.5,-3371.75
11,TradervR1_lab_r04_02_a_attack_tuning,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,ash_attack_tuning,289989.5,1947.0,145.0,442.0,385.0,2070.9,1958.1912,96571.5,16927.5,79644.0,834,97044.0,17676.0,79368.0,820,96374.0,16986.0,79388.0,796,484.6667,-2356.5,0.6667,484.6667,-2356.5
12,TradervR1_lab_r05_07_p_carry_defense_p_entry_quality,TradervR1_47,"pepper_carry_defense,pepper_entry_quality",289781.5,1739.0,-63.0,461.0,289.0,1877.23,1762.7805,96657.5,17013.5,79644.0,830,96678.0,17371.0,79307.0,813,96446.0,17051.0,79395.0,788,492.25,-2396.25,0.8333,492.25,-2396.25
13,TradervR1_lab_r02_04_a_local_fair_blend,TradervR1_47_2,ash_local_fair_blend,289699.5,1657.0,-145.0,364.0,359.0,1755.68,1755.68,96493.5,16849.5,79644.0,790,96940.0,17572.0,79368.0,776,96266.0,16869.0,79397.0,756,,,,,
14,TradervR1_lab_r01_08_p_carry_defense_a_quality_guard,TradervR1_47_2,"pepper_carry_defense,ash_quality_guard",289506.5,1464.0,-338.0,270.0,358.0,1529.86,1529.86,96399.5,16763.5,79636.0,824,96845.0,17477.0,79368.0,806,96262.0,16872.0,79390.0,787,,,,,
15,TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,TradervR1_47_2,"pepper_entry_quality,ash_quality_guard",289500.5,1458.0,-344.0,277.0,351.0,1526.87,1526.87,96406.5,16763.5,79643.0,824,96845.0,17477.0,79368.0,806,96249.0,16867.0,79382.0,785,,,,,
16,TradervR1_lab_r02_06_p_carry_defense,TradervR1_lab_r01_08_p_carry_defense_a_quality_guard,pepper_carry_defense,289499.5,1457.0,-345.0,264.0,364.0,1520.28,1520.28,96393.5,16763.5,79630.0,823,96845.0,17477.0,79368.0,806,96261.0,16872.0,79389.0,786,,,,,
17,TradervR1_lab_r01_04_p_carry_defense,TradervR1_47,pepper_carry_defense,289833.5,1791.0,-11.0,521.0,227.0,1955.19,1494.7228,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96444.0,17051.0,79393.0,789,73.0833,-3658.25,0.6667,73.0833,-3658.25
18,TradervR1_lab_r05_05_a_attack_tuning,TradervR1_47_2,ash_attack_tuning,289445.0,1402.5,-399.5,279.5,285.5,1477.485,1477.485,96409.0,16765.0,79644.0,815,96775.0,17407.0,79368.0,802,96261.0,16864.0,79397.0,782,,,,,
19,TradervR1_lab_r02_01_a_attack_tuning_p_carry_defense,TradervR1_47,"ash_attack_tuning,pepper_carry_defense",289323.5,1281.0,-521.0,317.0,195.0,1376.35,1376.35,96446.5,16802.5,79644.0,828,96729.0,17361.0,79368.0,810,96148.0,16751.0,79397.0,786,,,,,
20,TradervR1_lab_r05_02_p_carry_defense,TradervR1_47_2,pepper_carry_defense,289293.5,1251.0,-551.0,209.0,357.0,1295.59,1295.59,96338.5,16701.5,79637.0,821,96693.0,17386.0,79307.0,799,96262.0,16867.0,79395.0,785,,,,,
21,TradervR1_lab_r05_06_a_attack_tuning_p_entry_quality_p_carry_defense,TradervR1_47,"ash_attack_tuning,pepper_entry_quality,pepper_carry_defense",289206.5,1164.0,-638.0,364.0,59.0,1286.68,1286.68,96493.5,16839.5,79654.0,832,96594.0,17269.0,79325.0,815,96119.0,16709.0,79410.0,793,,,,,
22,TradervR1_lab_r01_05_p_carry_defense,TradervR1_47,pepper_carry_defense,289822.5,1780.0,-22.0,461.0,305.0,1916.95,1234.0922,96682.5,17013.5,79669.0,830,96678.0,17371.0,79307.0,813,96462.0,17051.0,79411.0,788,-171.0833,-4584.5,0.8333,-171.0833,-4584.5
23,TradervR1_lab_r01_01_a_local_fair_blend,TradervR1_39_4,ash_local_fair_blend,289132.5,1090.0,-712.0,275.0,213.0,1169.21,1169.21,96404.5,16760.5,79644.0,577,96705.0,17342.0,79363.0,578,96023.0,16626.0,79397.0,560,,,,,
24,TradervR1_lab_r04_06_a_attack_tuning,TradervR1_lab_r03_01_a_local_fair_blend,ash_attack_tuning,289145.5,1103.0,-699.0,188.0,319.0,1143.28,1143.28,96317.5,16673.5,79644.0,875,96625.0,17257.0,79368.0,862,96203.0,16806.0,79397.0,834,,,,,
25,TradervR1_lab_r05_01_p_carry_defense,TradervR1_47,pepper_carry_defense,289832.5,1790.0,-12.0,479.0,287.0,1934.69,1124.0688,96674.5,17013.5,79661.0,830,96696.0,17371.0,79325.0,814,96462.0,17051.0,79411.0,789,-329.9167,-5049.0,0.8333,-329.9167,-5049.0
26,TradervR1_lab_r03_01_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,289117.0,1074.5,-727.5,174.5,329.5,1109.215,1109.215,96304.0,16660.0,79644.0,873,96613.0,17245.0,79368.0,862,96200.0,16803.0,79397.0,838,,,,,
27,TradervR1_lab_r03_02_a_local_fair_blend,TradervR1_lab_r02_08_p_carry_defense,ash_local_fair_blend,288580.5,538.0,-1264.0,-48.0,342.0,493.84,493.84,96081.5,16444.5,79637.0,921,96511.0,17178.0,79333.0,897,95988.0,16593.0,79395.0,881,,,,,
