bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,original_noise,original_noise_001,-2,95752.0,826,original,0,0.986919,0.997326,0.010441,1,16069.0,79683.0,40,80
TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,original_noise,original_noise_001,-1,95232.0,774,original,0,0.958841,0.994906,0.003523,1,15909.0,79323.0,16,80
TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,original_noise,original_noise_001,0,96658.0,818,original,0,0.994257,0.987945,0.018962,1,17276.0,79382.0,-20,80
TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,bootstrap_path,bootstrap_path_001,-2,27189.0,824,bootstrap,211,1.0,1.0,0.0,1,17721.0,9468.0,8,80
TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,bootstrap_path,bootstrap_path_001,-1,-24642.0,755,bootstrap,362,1.0,1.0,0.0,1,16046.0,-40688.0,-10,80
TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,bootstrap_path,bootstrap_path_001,0,-6329.5,809,bootstrap,351,1.0,1.0,0.0,1,19927.5,-26257.0,-33,80
TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,bootstrap_balanced,bootstrap_balanced_001,-2,-38429.0,834,bootstrap,338,0.893926,0.963663,0.058819,1,15705.0,-54134.0,-7,80
TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,bootstrap_balanced,bootstrap_balanced_001,-1,50178.0,863,bootstrap,289,0.930775,0.944545,0.014145,1,14944.0,35234.0,2,80
TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,bootstrap_balanced,bootstrap_balanced_001,0,-37121.0,798,bootstrap,340,0.942235,0.949862,0.042385,1,16878.0,-53999.0,-5,80
TradervR1_34_1,original_noise,original_noise_001,-2,95398.0,730,original,0,0.986919,0.997326,0.010441,1,15714.0,79684.0,42,80
TradervR1_34_1,original_noise,original_noise_001,-1,94961.0,687,original,0,0.958841,0.994906,0.003523,1,15638.0,79323.0,15,80
TradervR1_34_1,original_noise,original_noise_001,0,95850.0,714,original,0,0.994257,0.987945,0.018962,1,16453.0,79397.0,-21,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-2,26756.0,730,bootstrap,211,1.0,1.0,0.0,1,17288.0,9468.0,12,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-1,-24851.0,663,bootstrap,362,1.0,1.0,0.0,1,15837.0,-40688.0,-11,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,0,-7084.0,717,bootstrap,351,1.0,1.0,0.0,1,19173.0,-26257.0,-24,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-2,-38694.0,740,bootstrap,338,0.893926,0.963663,0.058819,1,15426.0,-54120.0,-6,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-1,51730.0,751,bootstrap,289,0.930775,0.944545,0.014145,1,14692.0,37038.0,4,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,0,-37594.0,706,bootstrap,340,0.942235,0.949862,0.042385,1,16404.0,-53998.0,-8,80
