bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position
TradervR1_34_1,original_noise,original_noise_001,-1,94961.0,687,original,0,0.958841,0.994906,0.003523,1,15638.0,79323.0,15,80
TradervR1_34_1,original_noise,original_noise_001,-2,95398.0,730,original,0,0.986919,0.997326,0.010441,1,15714.0,79684.0,42,80
TradervR1_34_1,original_noise,original_noise_002,-1,94442.0,677,original,0,0.942779,0.981812,0.029385,1,15119.0,79323.0,14,80
TradervR1_34_1,original_noise,original_noise_002,-2,95065.0,728,original,0,0.970611,0.984013,0.003598,1,15381.0,79684.0,38,80
TradervR1_34_1,original_noise,original_noise_003,-1,95083.0,695,original,0,0.980782,0.995304,0.028593,1,15772.0,79311.0,16,80
TradervR1_34_1,original_noise,original_noise_003,-2,94662.0,723,original,0,0.943841,0.97873,0.001352,1,14978.0,79684.0,38,80
TradervR1_34_1,original_noise,original_noise_004,-1,95166.0,691,original,0,0.958758,0.996308,0.002742,1,15843.0,79323.0,14,80
TradervR1_34_1,original_noise,original_noise_004,-2,95026.0,737,original,0,0.99549,0.970072,0.004091,1,15342.0,79684.0,42,80
TradervR1_34_1,original_noise,original_noise_005,-1,94522.0,690,original,0,0.96489,0.968502,0.018329,1,15199.0,79323.0,14,80
TradervR1_34_1,original_noise,original_noise_005,-2,94582.0,725,original,0,0.969775,0.964911,0.009732,1,14898.0,79684.0,38,80
TradervR1_34_1,original_noise,original_noise_006,-1,95124.0,698,original,0,0.997219,0.983431,0.021345,1,15812.0,79312.0,15,80
TradervR1_34_1,original_noise,original_noise_006,-2,95474.0,737,original,0,0.998607,0.999388,0.016445,1,15790.0,79684.0,42,80
TradervR1_34_1,original_noise,original_noise_007,-1,94920.0,696,original,0,0.967879,0.980279,0.024501,1,15609.0,79311.0,10,80
TradervR1_34_1,original_noise,original_noise_007,-2,95226.5,737,original,0,0.992873,0.981003,0.019945,1,15560.5,79666.0,41,80
TradervR1_34_1,original_noise,original_noise_008,-1,95222.0,690,original,0,0.98453,0.97827,0.004453,1,15854.0,79368.0,14,80
TradervR1_34_1,original_noise,original_noise_008,-2,95137.0,741,original,0,0.986322,0.975415,0.003803,1,15453.0,79684.0,40,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-1,-24851.0,663,bootstrap,362,1.0,1.0,0.0,1,15837.0,-40688.0,-11,80
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-2,26756.0,730,bootstrap,211,1.0,1.0,0.0,1,17288.0,9468.0,12,80
TradervR1_34_1,bootstrap_path,bootstrap_path_002,-1,21028.0,784,bootstrap,433,1.0,1.0,0.0,1,16578.0,4450.0,10,80
TradervR1_34_1,bootstrap_path,bootstrap_path_002,-2,49274.0,714,bootstrap,218,1.0,1.0,0.0,1,16570.0,32704.0,8,80
TradervR1_34_1,bootstrap_path,bootstrap_path_003,-1,141863.0,847,bootstrap,164,1.0,1.0,0.0,1,17343.0,124520.0,5,80
TradervR1_34_1,bootstrap_path,bootstrap_path_003,-2,11928.0,705,bootstrap,328,1.0,1.0,0.0,1,16360.0,-4432.0,32,80
TradervR1_34_1,bootstrap_path,bootstrap_path_004,-1,-1136.5,713,bootstrap,208,1.0,1.0,0.0,1,16887.5,-18024.0,5,80
TradervR1_34_1,bootstrap_path,bootstrap_path_004,-2,4481.5,776,bootstrap,227,1.0,1.0,0.0,1,17880.5,-13399.0,23,80
TradervR1_34_1,bootstrap_path,bootstrap_path_005,-1,150854.0,791,bootstrap,189,1.0,1.0,0.0,1,15952.0,134902.0,3,80
TradervR1_34_1,bootstrap_path,bootstrap_path_005,-2,63393.0,821,bootstrap,444,1.0,1.0,0.0,1,16117.0,47276.0,34,80
TradervR1_34_1,bootstrap_path,bootstrap_path_006,-1,24088.0,763,bootstrap,174,1.0,1.0,0.0,1,19142.0,4946.0,-10,80
TradervR1_34_1,bootstrap_path,bootstrap_path_006,-2,43832.0,738,bootstrap,230,1.0,1.0,0.0,1,16011.0,27821.0,-16,80
TradervR1_34_1,bootstrap_path,bootstrap_path_007,-1,107867.0,889,bootstrap,162,1.0,1.0,0.0,1,17698.0,90169.0,19,80
TradervR1_34_1,bootstrap_path,bootstrap_path_007,-2,5771.0,802,bootstrap,440,1.0,1.0,0.0,1,16118.0,-10347.0,-8,80
TradervR1_34_1,bootstrap_path,bootstrap_path_008,-1,-9168.0,678,bootstrap,492,1.0,1.0,0.0,1,14626.0,-23794.0,12,80
TradervR1_34_1,bootstrap_path,bootstrap_path_008,-2,173312.5,837,bootstrap,220,1.0,1.0,0.0,1,15279.5,158033.0,29,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-1,51730.0,751,bootstrap,289,0.930775,0.944545,0.014145,1,14692.0,37038.0,4,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-2,-38694.0,740,bootstrap,338,0.893926,0.963663,0.058819,1,15426.0,-54120.0,-6,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_002,-1,9404.0,657,bootstrap,405,0.882646,0.956627,0.01607,1,14386.0,-4982.0,-12,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_002,-2,-16500.5,662,bootstrap,348,0.892647,0.872683,0.036334,1,14163.5,-30664.0,-13,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_003,-1,-43816.0,701,bootstrap,207,0.899746,0.860978,0.060124,1,14865.0,-58681.0,-2,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_003,-2,171440.0,826,bootstrap,282,0.883089,0.922599,0.059633,1,14161.0,157279.0,10,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_004,-1,8310.0,630,bootstrap,250,0.865678,0.88235,0.079106,1,12497.0,-4187.0,-24,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_004,-2,19453.0,788,bootstrap,416,0.943522,0.922091,0.011622,1,15950.0,3503.0,27,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_005,-1,127638.0,794,bootstrap,279,0.967332,0.880622,0.012503,1,14779.0,112859.0,34,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_005,-2,185047.0,881,bootstrap,160,0.965008,0.952428,0.074342,1,15258.0,169789.0,-13,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_006,-1,96068.0,798,bootstrap,318,0.941355,0.88969,0.027383,1,15041.0,81027.0,-10,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_006,-2,82707.0,825,bootstrap,245,0.940786,0.867243,0.035221,1,13565.0,69142.0,0,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_007,-1,13870.5,702,bootstrap,287,0.898025,0.943689,0.011724,1,14093.5,-223.0,17,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_007,-2,168025.5,803,bootstrap,331,0.931948,0.89956,0.019736,1,14974.5,153051.0,23,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_008,-1,-10152.0,634,bootstrap,409,0.882368,0.878236,0.019356,1,12793.0,-22945.0,-22,80
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_008,-2,34904.0,850,bootstrap,298,0.967197,0.909195,0.037583,1,16153.0,18751.0,-2,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_001,-1,9142.0,607,bootstrap,214,0.739859,0.79098,0.108613,2,10258.0,-1116.0,14,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_001,-2,214874.0,787,bootstrap,145,0.687805,0.710615,0.15316,1,10537.0,204337.0,24,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_002,-1,16228.0,618,bootstrap,124,0.819768,0.813767,0.114903,2,11813.0,4415.0,-2,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_002,-2,116144.0,767,bootstrap,193,0.812473,0.803658,0.157235,2,12081.0,104063.0,33,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_003,-1,239855.0,709,bootstrap,101,0.720333,0.715654,0.170186,2,8834.0,231021.0,2,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_003,-2,335831.5,922,bootstrap,99,0.733984,0.729953,0.081304,1,12565.5,323266.0,-1,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_004,-1,163559.0,774,bootstrap,195,0.790637,0.813786,0.115102,1,12969.0,150590.0,-8,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_004,-2,-35292.0,580,bootstrap,111,0.769138,0.786818,0.081107,2,11864.0,-47156.0,20,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_005,-1,289963.0,766,bootstrap,149,0.681591,0.691096,0.121077,1,10477.0,279486.0,0,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_005,-2,91006.0,835,bootstrap,201,0.838456,0.720184,0.08986,1,12143.0,78863.0,-19,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_006,-1,151719.0,756,bootstrap,201,0.724681,0.812665,0.078922,1,11675.0,140044.0,24,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_006,-2,15043.0,653,bootstrap,234,0.706936,0.835664,0.140194,2,11165.0,3878.0,7,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_007,-1,148278.0,749,bootstrap,141,0.73213,0.697878,0.112316,1,9455.0,138823.0,-6,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_007,-2,343606.0,898,bootstrap,100,0.803505,0.709709,0.096142,2,11621.0,331985.0,8,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_008,-1,138618.0,773,bootstrap,160,0.746813,0.800244,0.132645,1,12888.0,125730.0,-20,80
TradervR1_34_1,bootstrap_stress,bootstrap_stress_008,-2,166025.0,869,bootstrap,171,0.818363,0.831426,0.066177,2,14789.0,151236.0,36,80
