bot,family,sample_id,total_pnl,total_fills,path_mode,avg_block_steps,avg_passive_fill_prob,avg_passive_qty_scale,avg_aggressive_slip_prob,avg_aggressive_slip_ticks,day_-1_pnl,day_-2_pnl
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,13036.0,1491,bootstrap,313.5,0.912351,0.954104,0.036482,1.0,51730.0,-38694.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_002,-7096.5,1319,bootstrap,376.5,0.887647,0.914655,0.026202,1.0,9404.0,-16500.5
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_003,127624.0,1527,bootstrap,244.5,0.891417,0.891788,0.059879,1.0,-43816.0,171440.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_004,27763.0,1418,bootstrap,333.0,0.9046,0.90222,0.045364,1.0,8310.0,19453.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_005,312685.0,1675,bootstrap,219.5,0.96617,0.916525,0.043423,1.0,127638.0,185047.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_006,178775.0,1623,bootstrap,281.5,0.941071,0.878467,0.031302,1.0,96068.0,82707.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_007,181896.0,1505,bootstrap,309.0,0.914986,0.921625,0.01573,1.0,13870.5,168025.5
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_008,24752.0,1484,bootstrap,353.5,0.924783,0.893715,0.02847,1.0,-10152.0,34904.0
TradervR1_34_1,bootstrap_path,bootstrap_path_001,1905.0,1393,bootstrap,286.5,1.0,1.0,0.0,1.0,-24851.0,26756.0
TradervR1_34_1,bootstrap_path,bootstrap_path_002,70302.0,1498,bootstrap,325.5,1.0,1.0,0.0,1.0,21028.0,49274.0
TradervR1_34_1,bootstrap_path,bootstrap_path_003,153791.0,1552,bootstrap,246.0,1.0,1.0,0.0,1.0,141863.0,11928.0
TradervR1_34_1,bootstrap_path,bootstrap_path_004,3345.0,1489,bootstrap,217.5,1.0,1.0,0.0,1.0,-1136.5,4481.5
TradervR1_34_1,bootstrap_path,bootstrap_path_005,214247.0,1612,bootstrap,316.5,1.0,1.0,0.0,1.0,150854.0,63393.0
TradervR1_34_1,bootstrap_path,bootstrap_path_006,67920.0,1501,bootstrap,202.0,1.0,1.0,0.0,1.0,24088.0,43832.0
TradervR1_34_1,bootstrap_path,bootstrap_path_007,113638.0,1691,bootstrap,301.0,1.0,1.0,0.0,1.0,107867.0,5771.0
TradervR1_34_1,bootstrap_path,bootstrap_path_008,164144.5,1515,bootstrap,356.0,1.0,1.0,0.0,1.0,-9168.0,173312.5
TradervR1_34_1,bootstrap_stress,bootstrap_stress_001,224016.0,1394,bootstrap,179.5,0.713832,0.750798,0.130886,1.5,9142.0,214874.0
TradervR1_34_1,bootstrap_stress,bootstrap_stress_002,132372.0,1385,bootstrap,158.5,0.816121,0.808712,0.136069,2.0,16228.0,116144.0
TradervR1_34_1,bootstrap_stress,bootstrap_stress_003,575686.5,1631,bootstrap,100.0,0.727159,0.722803,0.125745,1.5,239855.0,335831.5
TradervR1_34_1,bootstrap_stress,bootstrap_stress_004,128267.0,1354,bootstrap,153.0,0.779888,0.800302,0.098104,1.5,163559.0,-35292.0
TradervR1_34_1,bootstrap_stress,bootstrap_stress_005,380969.0,1601,bootstrap,175.0,0.760023,0.70564,0.105468,1.0,289963.0,91006.0
TradervR1_34_1,bootstrap_stress,bootstrap_stress_006,166762.0,1409,bootstrap,217.5,0.715809,0.824164,0.109558,1.5,151719.0,15043.0
TradervR1_34_1,bootstrap_stress,bootstrap_stress_007,491884.0,1647,bootstrap,120.5,0.767818,0.703793,0.104229,1.5,148278.0,343606.0
TradervR1_34_1,bootstrap_stress,bootstrap_stress_008,304643.0,1642,bootstrap,165.5,0.782588,0.815835,0.099411,1.5,138618.0,166025.0
TradervR1_34_1,original_noise,original_noise_001,190359.0,1417,original,0.0,0.97288,0.996116,0.006982,1.0,94961.0,95398.0
TradervR1_34_1,original_noise,original_noise_002,189507.0,1405,original,0.0,0.956695,0.982913,0.016491,1.0,94442.0,95065.0
TradervR1_34_1,original_noise,original_noise_003,189745.0,1418,original,0.0,0.962311,0.987017,0.014972,1.0,95083.0,94662.0
TradervR1_34_1,original_noise,original_noise_004,190192.0,1428,original,0.0,0.977124,0.98319,0.003417,1.0,95166.0,95026.0
TradervR1_34_1,original_noise,original_noise_005,189104.0,1415,original,0.0,0.967333,0.966706,0.014031,1.0,94522.0,94582.0
TradervR1_34_1,original_noise,original_noise_006,190598.0,1435,original,0.0,0.997913,0.99141,0.018895,1.0,95124.0,95474.0
TradervR1_34_1,original_noise,original_noise_007,190146.5,1433,original,0.0,0.980376,0.980641,0.022223,1.0,94920.0,95226.5
TradervR1_34_1,original_noise,original_noise_008,190359.0,1431,original,0.0,0.985426,0.976843,0.004128,1.0,95222.0,95137.0
