mode,step_index,day,timestamp,product,submitted_orders,fills,pending_orders_next_step,position,cash,mid_price,microprice,spread,imbalance,source_mode,access_added_levels,signal_proxy,toxicity_bucket,agreement_state,product_pnl
access,0,-1,0,ASH_COATED_OSMIUM,4,0,4,0,0.0,9991.0,9993.1176,18.0,0.235294,public,0,2.1176,high,agree,0.0
access,0,-1,0,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11002.0,10999.2778,14.0,-0.388889,access,1,2.7222,high,agree,0.0
access,1,-1,100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.0,9992.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,1,-1,100,INTARIAN_PEPPER_ROOT,3,1,2,33,-363185.0,10999.5,10996.75,11.0,-0.5,access,1,2.75,high,agree,-201.5
access,2,-1,200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,2,-1,200,INTARIAN_PEPPER_ROOT,1,0,1,33,-363185.0,11006.0,11006.0,0.0,0.0,public,0,0.0,low,neutral,13.0
access,3,-1,300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.5263,20.0,0.052632,access,2,0.5263,medium,agree,0.0
access,3,-1,300,INTARIAN_PEPPER_ROOT,2,0,2,33,-363185.0,11001.0,11001.0,14.0,0.0,access,1,0.0,low,neutral,-152.0
access,4,-1,400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9998.0,9997.4,6.0,-0.2,public,0,0.6,medium,agree,0.0
access,4,-1,400,INTARIAN_PEPPER_ROOT,3,1,2,43,-473245.0,11000.0,11000.0,12.0,0.0,public,0,0.0,low,neutral,-245.0
access,5,-1,500,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9992.1739,15.0,-0.043478,access,1,0.3261,low,agree,0.0
access,5,-1,500,INTARIAN_PEPPER_ROOT,1,0,1,43,-473245.0,11009.0,11009.0,0.0,0.0,public,0,0.0,low,neutral,142.0
access,6,-1,600,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.0,9994.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,6,-1,600,INTARIAN_PEPPER_ROOT,2,0,2,43,-473245.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-202.0
access,7,-1,700,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,7,-1,700,INTARIAN_PEPPER_ROOT,2,0,2,43,-473245.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-202.0
access,8,-1,800,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9990.8462,19.0,-0.384615,access,1,3.6538,high,agree,0.0
access,8,-1,800,INTARIAN_PEPPER_ROOT,3,1,2,51,-561301.0,11001.5,11004.1613,11.0,0.483871,access,1,2.6613,high,agree,-224.5
