mode,step_index,day,timestamp,product,submitted_orders,fills,pending_orders_next_step,position,cash,mid_price,microprice,spread,imbalance,source_mode,access_added_levels,signal_proxy,toxicity_bucket,agreement_state,product_pnl
access,0,-1,0,ASH_COATED_OSMIUM,4,0,4,0,0.0,9990.5,9989.0,17.0,-0.176471,access,1,1.5,high,agree,0.0
access,0,-1,0,INTARIAN_PEPPER_ROOT,3,1,2,9,-99072.0,11001.5,11001.5,13.0,0.0,access,2,0.0,low,neutral,-58.5
access,1,-1,100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.0,9992.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,1,-1,100,INTARIAN_PEPPER_ROOT,3,1,2,38,-418237.0,10999.5,10998.4,11.0,-0.2,access,1,1.1,high,agree,-256.0
access,2,-1,200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,2,-1,200,INTARIAN_PEPPER_ROOT,2,0,2,38,-418237.0,10996.5,10996.0526,17.0,-0.052632,access,2,0.4474,medium,agree,-370.0
access,3,-1,300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9992.5,21.0,0.0,public,0,0.0,low,neutral,0.0
access,3,-1,300,INTARIAN_PEPPER_ROOT,2,0,2,38,-418237.0,11001.5,10997.871,15.0,-0.483871,public,0,3.629,high,agree,-180.0
access,4,-1,400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9998.0,9997.4,6.0,-0.2,access,1,0.6,medium,agree,0.0
access,4,-1,400,INTARIAN_PEPPER_ROOT,3,1,2,48,-528297.0,11000.0,11000.0,12.0,0.0,public,0,0.0,low,neutral,-297.0
access,5,-1,500,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9992.8727,14.0,-0.018182,access,2,0.1273,low,agree,0.0
access,5,-1,500,INTARIAN_PEPPER_ROOT,1,0,1,48,-528297.0,11009.0,11009.0,0.0,0.0,public,0,0.0,low,neutral,135.0
access,6,-1,600,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9994.7778,15.0,0.037037,access,1,0.2778,low,agree,0.0
access,6,-1,600,INTARIAN_PEPPER_ROOT,2,0,2,48,-528297.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-249.0
access,7,-1,700,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,0.0
access,7,-1,700,INTARIAN_PEPPER_ROOT,3,1,2,57,-627360.0,11001.5,11003.5862,11.0,0.37931,access,1,2.0862,high,agree,-274.5
access,8,-1,800,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9990.8462,19.0,-0.384615,public,0,3.6538,high,agree,0.0
access,8,-1,800,INTARIAN_PEPPER_ROOT,2,0,2,57,-627360.0,11000.5,11000.5,11.0,0.0,access,1,0.0,low,neutral,-331.5
access,9,-1,900,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,9,-1,900,INTARIAN_PEPPER_ROOT,2,0,2,57,-627360.0,10999.5,11003.3636,15.0,0.515152,access,1,3.8636,high,agree,-388.5
access,10,-1,1000,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,10,-1,1000,INTARIAN_PEPPER_ROOT,2,0,2,57,-627360.0,10999.5,11002.1613,15.0,0.354839,public,0,2.6613,high,agree,-388.5
access,11,-1,1100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9991.0244,19.0,-0.365854,public,0,3.4756,high,agree,0.0
access,11,-1,1100,INTARIAN_PEPPER_ROOT,2,0,2,57,-627360.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-303.0
access,12,-1,1200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9996.1429,17.0,0.428571,access,1,3.6429,high,agree,0.0
access,12,-1,1200,INTARIAN_PEPPER_ROOT,2,0,2,57,-627360.0,11001.0,11001.0,18.0,0.0,public,0,0.0,low,neutral,-303.0
access,13,-1,1300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9991.8611,19.0,-0.277778,public,0,2.6389,high,agree,0.0
access,13,-1,1300,INTARIAN_PEPPER_ROOT,2,0,2,57,-627360.0,11001.5,11001.2609,11.0,-0.043478,access,1,0.2391,low,agree,-274.5
access,14,-1,1400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,0.0
access,14,-1,1400,INTARIAN_PEPPER_ROOT,2,0,2,57,-627360.0,11001.0,11001.0,12.0,0.0,access,1,0.0,low,neutral,-303.0
access,15,-1,1500,ASH_COATED_OSMIUM,5,1,4,4,-39964.0,9988.0,9989.5,6.0,0.5,public,0,1.5,high,agree,-12.0
access,15,-1,1500,INTARIAN_PEPPER_ROOT,3,1,2,68,-748437.0,11001.5,11003.6389,11.0,0.388889,access,1,2.1389,high,agree,-335.0
access,16,-1,1600,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9995.0,9996.0385,18.0,0.115385,access,1,1.0385,high,agree,16.0
access,16,-1,1600,INTARIAN_PEPPER_ROOT,2,0,2,68,-748437.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,-301.0
access,17,-1,1700,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9992.0,9994.6757,18.0,0.297297,public,0,2.6757,high,agree,4.0
access,17,-1,1700,INTARIAN_PEPPER_ROOT,2,0,2,68,-748437.0,11001.5,11001.5,17.0,0.0,access,1,0.0,low,neutral,-335.0
access,18,-1,1800,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9990.0,9988.4762,8.0,-0.380952,access,1,1.5238,high,agree,-4.0
access,18,-1,1800,INTARIAN_PEPPER_ROOT,2,0,2,68,-748437.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,-301.0
access,19,-1,1900,ASH_COATED_OSMIUM,1,0,1,4,-39964.0,10001.0,10001.0,0.0,0.0,public,0,0.0,low,neutral,40.0
access,19,-1,1900,INTARIAN_PEPPER_ROOT,2,0,2,68,-748437.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,-301.0
access,20,-1,2000,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9993.5,9995.4286,15.0,0.257143,access,1,1.9286,high,agree,10.0
access,20,-1,2000,INTARIAN_PEPPER_ROOT,2,0,2,68,-748437.0,11002.0,11002.0,12.0,0.0,access,1,0.0,low,neutral,-301.0
access,21,-1,2100,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9992.5,9991.6667,15.0,-0.111111,access,2,0.8333,medium,agree,6.0
access,21,-1,2100,INTARIAN_PEPPER_ROOT,3,1,2,78,-858507.0,11001.5,11000.8889,11.0,-0.111111,access,1,0.6111,medium,agree,-390.0
access,22,-1,2200,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,8.0
access,22,-1,2200,INTARIAN_PEPPER_ROOT,2,0,2,78,-858507.0,11001.5,11000.5517,11.0,-0.172414,access,1,0.9483,high,agree,-390.0
access,23,-1,2300,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,8.0
access,23,-1,2300,INTARIAN_PEPPER_ROOT,3,1,2,80,-880521.0,11002.0,11003.5517,10.0,0.310345,access,2,1.5517,high,agree,-361.0
access,24,-1,2400,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9993.5,9989.4286,19.0,-0.428571,public,0,4.0714,high,agree,10.0
access,24,-1,2400,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,-361.0
access,25,-1,2500,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9991.0,9993.8537,18.0,0.317073,public,0,2.8537,high,agree,0.0
access,25,-1,2500,INTARIAN_PEPPER_ROOT,2,0,2,80,-880521.0,11003.0,11005.0,12.0,0.333333,access,1,2.0,high,agree,-281.0
access,26,-1,2600,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9992.0,9992.0,16.0,0.0,public,0,0.0,low,neutral,4.0
access,26,-1,2600,INTARIAN_PEPPER_ROOT,2,0,2,80,-880521.0,11003.5,11006.3333,11.0,0.515152,access,1,2.8333,high,agree,-241.0
access,27,-1,2700,ASH_COATED_OSMIUM,1,0,1,4,-39964.0,10003.0,10003.0,0.0,0.0,public,0,0.0,low,neutral,48.0
access,27,-1,2700,INTARIAN_PEPPER_ROOT,2,0,2,80,-880521.0,10998.0,10998.1579,2.0,0.157895,access,1,0.1579,low,agree,-681.0
access,28,-1,2800,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,8.0
access,28,-1,2800,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11003.0,11003.0,12.0,0.0,access,1,0.0,low,neutral,-281.0
access,29,-1,2900,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9992.0,9988.7059,16.0,-0.411765,access,2,3.2941,high,agree,4.0
access,29,-1,2900,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11007.5,11007.2,3.0,-0.2,public,0,0.3,low,agree,79.0
access,30,-1,3000,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9994.0,9994.0,16.0,0.0,public,0,0.0,low,neutral,12.0
access,30,-1,3000,INTARIAN_PEPPER_ROOT,2,0,2,80,-880521.0,11001.5,11004.5,15.0,0.4,access,1,3.0,high,agree,-401.0
access,31,-1,3100,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9995.5,9995.6667,17.0,0.019608,access,1,0.1667,low,agree,18.0
access,31,-1,3100,INTARIAN_PEPPER_ROOT,2,0,2,80,-880521.0,11003.0,11005.3333,10.0,0.466667,access,2,2.3333,high,agree,-281.0
access,32,-1,3200,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9992.5,9990.0,15.0,-0.333333,access,2,2.5,high,agree,6.0
access,32,-1,3200,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11003.0,11003.0,12.0,0.0,public,0,0.0,low,neutral,-281.0
access,33,-1,3300,ASH_COATED_OSMIUM,2,0,2,4,-39964.0,9985.0,9985.0,0.0,0.0,public,0,0.0,low,neutral,-24.0
access,33,-1,3300,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11003.5,11002.8889,11.0,-0.111111,access,1,0.6111,medium,agree,-241.0
access,34,-1,3400,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,8.0
access,34,-1,3400,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11003.0,11003.0,12.0,0.0,public,0,0.0,low,neutral,-281.0
access,35,-1,3500,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,8.0
access,35,-1,3500,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11003.5,11003.5,13.0,0.0,public,0,0.0,low,neutral,-241.0
access,36,-1,3600,ASH_COATED_OSMIUM,4,0,4,1,-9964.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,29.0
access,36,-1,3600,INTARIAN_PEPPER_ROOT,0,0,0,80,-880521.0,10998.0,10998.0,0.0,0.0,public,0,0.0,low,neutral,-681.0
access,37,-1,3700,ASH_COATED_OSMIUM,4,0,4,1,-9964.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,29.0
access,37,-1,3700,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11004.0,11004.0,12.0,0.0,access,1,0.0,low,neutral,-201.0
access,38,-1,3800,ASH_COATED_OSMIUM,4,0,4,1,-9964.0,9998.0,9995.7143,12.0,-0.380952,access,1,2.2857,high,agree,34.0
access,38,-1,3800,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11004.0,11004.0,12.0,0.0,public,0,0.0,low,neutral,-201.0
access,39,-1,3900,ASH_COATED_OSMIUM,4,0,4,1,-9964.0,9993.0,9996.15,14.0,0.45,access,2,3.15,high,agree,29.0
access,39,-1,3900,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11004.0,11004.0,12.0,0.0,public,0,0.0,low,neutral,-201.0
access,40,-1,4000,ASH_COATED_OSMIUM,4,0,4,1,-9964.0,9995.0,9995.2963,16.0,0.037037,access,2,0.2963,low,agree,31.0
access,40,-1,4000,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11004.0,11004.0,12.0,0.0,public,0,0.0,low,neutral,-201.0
access,41,-1,4100,ASH_COATED_OSMIUM,4,0,4,1,-9964.0,9995.5,9991.931,9.0,-0.793103,access,1,3.569,high,agree,31.5
access,41,-1,4100,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11004.0,11004.0,12.0,0.0,access,1,0.0,low,neutral,-201.0
access,42,-1,4200,ASH_COATED_OSMIUM,4,0,4,-3,30036.0,9994.0,9994.0,16.0,0.0,public,0,0.0,low,neutral,54.0
access,42,-1,4200,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11005.5,11003.1724,15.0,-0.310345,public,0,2.3276,high,agree,-81.0
access,43,-1,4300,ASH_COATED_OSMIUM,4,0,4,-3,30036.0,9994.0,9994.0,16.0,0.0,access,1,0.0,low,neutral,54.0
access,43,-1,4300,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11004.0,11004.0,12.0,0.0,public,0,0.0,low,neutral,-201.0
access,44,-1,4400,ASH_COATED_OSMIUM,4,0,4,-3,30036.0,9994.5,9994.8571,15.0,0.047619,access,2,0.3571,medium,agree,52.5
access,44,-1,4400,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11004.0,11004.0,12.0,0.0,public,0,0.0,low,neutral,-201.0
access,45,-1,4500,ASH_COATED_OSMIUM,2,0,2,-3,30036.0,10005.0,10005.0,0.0,0.0,public,0,0.0,low,neutral,21.0
access,45,-1,4500,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11005.0,11003.1333,14.0,-0.266667,access,1,1.8667,high,agree,-121.0
access,46,-1,4600,ASH_COATED_OSMIUM,4,0,4,-3,30036.0,9994.0,9994.0,16.0,0.0,public,0,0.0,low,neutral,54.0
access,46,-1,4600,INTARIAN_PEPPER_ROOT,2,0,2,80,-880521.0,11003.5,11006.6452,15.0,0.419355,access,1,3.1452,high,agree,-241.0
access,47,-1,4700,ASH_COATED_OSMIUM,4,0,4,-3,30036.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,57.0
access,47,-1,4700,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11005.5,11005.0,11.0,-0.090909,access,1,0.5,medium,agree,-81.0
access,48,-1,4800,ASH_COATED_OSMIUM,4,0,4,-3,30036.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,57.0
access,48,-1,4800,INTARIAN_PEPPER_ROOT,2,0,2,80,-880521.0,11003.5,11004.4211,7.0,0.263158,access,1,0.9211,high,agree,-241.0
access,49,-1,4900,ASH_COATED_OSMIUM,4,0,4,-3,30036.0,9992.5,9995.2143,19.0,0.285714,public,0,2.7143,high,agree,58.5
access,49,-1,4900,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11005.0,11005.0,12.0,0.0,public,0,0.0,low,neutral,-121.0
access,50,-1,5000,ASH_COATED_OSMIUM,4,0,4,-3,30036.0,9994.5,9995.0769,15.0,0.076923,access,2,0.5769,medium,agree,52.5
access,50,-1,5000,INTARIAN_PEPPER_ROOT,2,0,2,80,-880521.0,11003.5,11006.4545,15.0,0.393939,access,1,2.9545,high,agree,-241.0
access,51,-1,5100,ASH_COATED_OSMIUM,4,0,4,-3,30036.0,9994.0,9994.0,16.0,0.0,public,0,0.0,low,neutral,54.0
access,51,-1,5100,INTARIAN_PEPPER_ROOT,1,0,1,80,-880521.0,11005.0,11005.0,12.0,0.0,public,0,0.0,low,neutral,-121.0
