mode,step_index,day,timestamp,product,submitted_orders,fills,pending_orders_next_step,position,cash,mid_price,microprice,spread,imbalance,source_mode,access_added_levels,signal_proxy,toxicity_bucket,agreement_state,product_pnl
access,0,-1,0,ASH_COATED_OSMIUM,4,0,4,0,0.0,9991.0,9993.1176,18.0,0.235294,access,1,2.1176,high,agree,0.0
access,0,-1,0,INTARIAN_PEPPER_ROOT,3,1,2,8,-88064.0,11001.0,11001.4118,14.0,0.058824,access,1,0.4118,medium,agree,-56.0
access,1,-1,100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9991.5,9992.6538,15.0,0.153846,access,1,1.1538,high,agree,0.0
access,1,-1,100,INTARIAN_PEPPER_ROOT,3,1,2,24,-264168.0,11000.0,11000.0,12.0,0.0,public,0,0.0,low,neutral,-168.0
access,2,-1,200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9992.7586,15.0,0.034483,access,1,0.2586,low,agree,0.0
access,2,-1,200,INTARIAN_PEPPER_ROOT,1,0,1,24,-264168.0,11006.0,11006.0,0.0,0.0,public,0,0.0,low,neutral,-24.0
access,3,-1,300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9992.5,21.0,0.0,access,1,0.0,low,neutral,0.0
access,3,-1,300,INTARIAN_PEPPER_ROOT,2,0,2,24,-264168.0,11001.5,10997.871,15.0,-0.483871,public,0,3.629,high,agree,-132.0
access,4,-1,400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9998.0,9997.4,6.0,-0.2,public,0,0.6,medium,agree,0.0
access,4,-1,400,INTARIAN_PEPPER_ROOT,3,1,2,34,-374228.0,11000.0,11000.0,12.0,0.0,public,0,0.0,low,neutral,-228.0
access,5,-1,500,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,5,-1,500,INTARIAN_PEPPER_ROOT,1,0,1,34,-374228.0,11008.0,11008.0,0.0,0.0,access,1,0.0,low,neutral,44.0
access,6,-1,600,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.0,9994.0,16.0,0.0,access,1,0.0,low,neutral,0.0
access,6,-1,600,INTARIAN_PEPPER_ROOT,3,1,2,45,-495305.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-260.0
access,7,-1,700,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,7,-1,700,INTARIAN_PEPPER_ROOT,2,0,2,45,-495305.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-260.0
access,8,-1,800,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9990.8462,19.0,-0.384615,public,0,3.6538,high,agree,0.0
access,8,-1,800,INTARIAN_PEPPER_ROOT,2,0,2,45,-495305.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-260.0
access,9,-1,900,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.5,9993.8,15.0,0.04,access,2,0.3,low,agree,0.0
access,9,-1,900,INTARIAN_PEPPER_ROOT,3,1,2,53,-583361.0,10999.5,11003.3636,15.0,0.515152,public,0,3.8636,high,agree,-387.5
access,10,-1,1000,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,10,-1,1000,INTARIAN_PEPPER_ROOT,2,0,2,53,-583361.0,11000.0,11002.625,14.0,0.375,access,1,2.625,high,agree,-361.0
access,11,-1,1100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.0,9990.7073,18.0,-0.365854,access,1,3.2927,high,agree,0.0
access,11,-1,1100,INTARIAN_PEPPER_ROOT,2,0,2,53,-583361.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-308.0
access,12,-1,1200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.0,9995.6,18.0,0.4,public,0,3.6,high,agree,0.0
access,12,-1,1200,INTARIAN_PEPPER_ROOT,2,0,2,53,-583361.0,11001.0,11001.0,18.0,0.0,access,1,0.0,low,neutral,-308.0
access,13,-1,1300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9991.8611,19.0,-0.277778,public,0,2.6389,high,agree,0.0
access,13,-1,1300,INTARIAN_PEPPER_ROOT,3,1,2,65,-715445.0,11001.5,11002.875,11.0,0.25,access,1,1.375,high,agree,-347.5
access,14,-1,1400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,14,-1,1400,INTARIAN_PEPPER_ROOT,2,0,2,65,-715445.0,11001.0,11001.0,12.0,0.0,access,1,0.0,low,neutral,-380.0
access,15,-1,1500,ASH_COATED_OSMIUM,5,1,4,4,-39964.0,9988.0,9989.5,6.0,0.5,public,0,1.5,high,agree,-12.0
access,15,-1,1500,INTARIAN_PEPPER_ROOT,2,0,2,65,-715445.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-380.0
access,16,-1,1600,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9994.5,9992.1892,19.0,-0.243243,access,1,2.3108,high,agree,14.0
