mode,step_index,day,timestamp,submitted_orders,fills,pending_orders_next_step,conversions,total_pnl,orders,stdout
access,0,-1,0,6,0,6,0,0.0,ASH_COATED_OSMIUM:9983@19 | ASH_COATED_OSMIUM:9981@6 | ASH_COATED_OSMIUM:9999@-14 | ASH_COATED_OSMIUM:10001@-5 | INTARIAN_PEPPER_ROOT:11006@10 | INTARIAN_PEPPER_ROOT:11004@7,
access,1,-1,100,7,1,6,0,-96.0,ASH_COATED_OSMIUM:9985@23 | ASH_COATED_OSMIUM:9983@7 | ASH_COATED_OSMIUM:9999@-23 | ASH_COATED_OSMIUM:10001@-7 | INTARIAN_PEPPER_ROOT:11006@8 | INTARIAN_PEPPER_ROOT:11005@10 | INTARIAN_PEPPER_ROOT:11003@7,
access,2,-1,200,7,1,6,0,-162.5,ASH_COATED_OSMIUM:9986@25 | ASH_COATED_OSMIUM:9984@8 | ASH_COATED_OSMIUM:9999@-25 | ASH_COATED_OSMIUM:10001@-8 | INTARIAN_PEPPER_ROOT:11006@9 | INTARIAN_PEPPER_ROOT:11005@10 | INTARIAN_PEPPER_ROOT:11003@7,
access,3,-1,300,6,0,6,0,-112.5,ASH_COATED_OSMIUM:9983@20 | ASH_COATED_OSMIUM:9981@6 | ASH_COATED_OSMIUM:10002@-20 | ASH_COATED_OSMIUM:10004@-6 | INTARIAN_PEPPER_ROOT:11005@10 | INTARIAN_PEPPER_ROOT:11003@7,
access,4,-1,400,7,1,6,0,-210.0,ASH_COATED_OSMIUM:9995@23 | ASH_COATED_OSMIUM:9993@7 | ASH_COATED_OSMIUM:10000@-24 | ASH_COATED_OSMIUM:10002@-7 | INTARIAN_PEPPER_ROOT:11006@10 | INTARIAN_PEPPER_ROOT:11005@10 | INTARIAN_PEPPER_ROOT:11003@7,
access,5,-1,500,5,0,5,0,105.0,ASH_COATED_OSMIUM:9987@20 | ASH_COATED_OSMIUM:9985@7 | ASH_COATED_OSMIUM:10000@-16 | ASH_COATED_OSMIUM:10002@-5 | INTARIAN_PEPPER_ROOT:11009@-3,
access,6,-1,600,7,1,6,0,-280.5,ASH_COATED_OSMIUM:9987@23 | ASH_COATED_OSMIUM:9985@7 | ASH_COATED_OSMIUM:10000@-20 | ASH_COATED_OSMIUM:10002@-6 | INTARIAN_PEPPER_ROOT:11006@16 | INTARIAN_PEPPER_ROOT:11004@10 | INTARIAN_PEPPER_ROOT:11002@7,
access,7,-1,700,6,0,6,0,-255.0,ASH_COATED_OSMIUM:9986@20 | ASH_COATED_OSMIUM:9984@7 | ASH_COATED_OSMIUM:10000@-20 | ASH_COATED_OSMIUM:10002@-7 | INTARIAN_PEPPER_ROOT:11004@10 | INTARIAN_PEPPER_ROOT:11002@7,
access,8,-1,800,6,0,6,0,-255.0,ASH_COATED_OSMIUM:9987@20 | ASH_COATED_OSMIUM:9985@6 | ASH_COATED_OSMIUM:10003@-20 | ASH_COATED_OSMIUM:10005@-6 | INTARIAN_PEPPER_ROOT:11004@10 | INTARIAN_PEPPER_ROOT:11002@7,
access,9,-1,900,6,0,6,0,-306.0,ASH_COATED_OSMIUM:9987@20 | ASH_COATED_OSMIUM:9985@7 | ASH_COATED_OSMIUM:10000@-16 | ASH_COATED_OSMIUM:10002@-5 | INTARIAN_PEPPER_ROOT:11004@10 | INTARIAN_PEPPER_ROOT:11002@7,
access,10,-1,1000,7,1,6,0,-469.0,ASH_COATED_OSMIUM:9987@20 | ASH_COATED_OSMIUM:9985@7 | ASH_COATED_OSMIUM:10000@-18 | ASH_COATED_OSMIUM:10002@-6 | INTARIAN_PEPPER_ROOT:11006@16 | INTARIAN_PEPPER_ROOT:11003@9 | INTARIAN_PEPPER_ROOT:11001@4,
access,11,-1,1100,6,0,6,0,-335.0,ASH_COATED_OSMIUM:9987@16 | ASH_COATED_OSMIUM:9985@5 | ASH_COATED_OSMIUM:10002@-20 | ASH_COATED_OSMIUM:10004@-7 | INTARIAN_PEPPER_ROOT:11003@10 | INTARIAN_PEPPER_ROOT:11001@3,
access,12,-1,1200,6,0,6,0,-335.0,ASH_COATED_OSMIUM:9984@21 | ASH_COATED_OSMIUM:9982@6 | ASH_COATED_OSMIUM:10000@-14 | ASH_COATED_OSMIUM:10002@-5 | INTARIAN_PEPPER_ROOT:11003@10 | INTARIAN_PEPPER_ROOT:11001@3,
access,13,-1,1300,6,0,6,0,-335.0,ASH_COATED_OSMIUM:9986@14 | ASH_COATED_OSMIUM:9984@5 | ASH_COATED_OSMIUM:10003@-16 | ASH_COATED_OSMIUM:10005@-5 | INTARIAN_PEPPER_ROOT:11003@10 | INTARIAN_PEPPER_ROOT:11001@3,
access,14,-1,1400,6,0,6,0,-335.0,ASH_COATED_OSMIUM:9986@20 | ASH_COATED_OSMIUM:9984@7 | ASH_COATED_OSMIUM:10000@-20 | ASH_COATED_OSMIUM:10002@-7 | INTARIAN_PEPPER_ROOT:11004@10 | INTARIAN_PEPPER_ROOT:11002@3,
access,15,-1,1500,7,2,5,0,-465.0,ASH_COATED_OSMIUM:9990@10 | ASH_COATED_OSMIUM:9986@24 | ASH_COATED_OSMIUM:9984@7 | ASH_COATED_OSMIUM:9990@-23 | ASH_COATED_OSMIUM:9992@-7 | INTARIAN_PEPPER_ROOT:11006@13 | INTARIAN_PEPPER_ROOT:11015@-8,
access,16,-1,1600,5,0,5,0,-275.0,ASH_COATED_OSMIUM:9986@14 | ASH_COATED_OSMIUM:9984@5 | ASH_COATED_OSMIUM:10003@-19 | ASH_COATED_OSMIUM:10005@-6 | INTARIAN_PEPPER_ROOT:11015@-8,
access,17,-1,1700,5,0,5,0,-345.0,ASH_COATED_OSMIUM:9984@18 | ASH_COATED_OSMIUM:9982@6 | ASH_COATED_OSMIUM:9999@-17 | ASH_COATED_OSMIUM:10001@-5 | INTARIAN_PEPPER_ROOT:11014@-8,
access,18,-1,1800,6,1,5,0,-333.0,ASH_COATED_OSMIUM:9995@4 | ASH_COATED_OSMIUM:9987@21 | ASH_COATED_OSMIUM:9985@7 | ASH_COATED_OSMIUM:10003@-16 | ASH_COATED_OSMIUM:10005@-5 | INTARIAN_PEPPER_ROOT:11015@-8,
access,19,-1,1900,2,0,2,0,-186.0,ASH_COATED_OSMIUM:10000@-2 | INTARIAN_PEPPER_ROOT:11015@-8,
