mode,step_index,day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price,book_origin,access_source,spread,imbalance,micro_gap,toxicity_bucket,conviction_bucket,spread_bucket,agreement_state,access_added_levels,cash_flow_signed,residual_to_trend,markout
access,1,-1,100,-999900,INTARIAN_PEPPER_ROOT,BUY,11006,8,passive_resting_fill,11006,public,access,12.0,0.0,0.0,low,mild,normal,agree,1,-88048,4.4001,-40.0
access,1,-1,100,-999900,INTARIAN_PEPPER_ROOT,BUY,11006,8,aggressive_cross,11006,public,access,12.0,0.0,0.0,low,mild,normal,agree,1,-88048,4.4001,-40.0
access,2,-1,200,-999800,INTARIAN_PEPPER_ROOT,BUY,11005,11,passive_resting_fill,11005,public,access,12.0,-0.314286,-1.8857,high,extreme,normal,agree,2,-121055,3.3002,-44.0
access,2,-1,200,-999800,INTARIAN_PEPPER_ROOT,BUY,11005,16,aggressive_cross,11005,access,access,12.0,-0.314286,-1.8857,high,extreme,normal,agree,2,-176080,3.3002,-64.0
access,8,-1,800,-999200,INTARIAN_PEPPER_ROOT,BUY,11006,16,aggressive_cross,11006,access,access,10.0,-0.307692,-1.5385,high,extreme,normal,agree,2,-176096,3.7006,-80.0
access,15,-1,1500,-998500,ASH_COATED_OSMIUM,BUY,9991,4,aggressive_cross,9991,public,access,6.0,0.5,1.5,high,extreme,tight,agree,0,-39964,0.0,8.0
access,15,-1,1500,-998500,INTARIAN_PEPPER_ROOT,BUY,11007,11,aggressive_cross,11007,public,access,12.0,0.0,0.0,low,mild,normal,agree,0,-121077,4.0012,-55.0
access,18,-1,1800,-998200,ASH_COATED_OSMIUM,BUY,9994,8,aggressive_cross,9994,access,access,8.0,-0.037037,-0.1481,low,mild,tight,agree,1,-79952,0.0,-8.0
access,24,-1,2400,-997600,INTARIAN_PEPPER_ROOT,BUY,11008,8,aggressive_cross,11008,public,access,11.0,0.515152,2.8333,high,extreme,normal,agree,1,-88064,4.1019,-4.0
access,27,-1,2700,-997300,INTARIAN_PEPPER_ROOT,BUY,11005,2,passive_resting_fill,11005,public,access,2.0,0.157895,0.1579,low,mild,tight,agree,1,-22010,0.8022,-4.0
access,36,-1,3600,-996400,ASH_COATED_OSMIUM,SELL,10000,3,passive_resting_fill,10000,public,access,16.0,0.0,0.0,low,mild,normal,agree,2,30000,0.0,12.0
access,42,-1,4200,-995800,ASH_COATED_OSMIUM,SELL,10000,2,passive_resting_fill,10000,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,20000,0.0,14.0
access,42,-1,4200,-995800,ASH_COATED_OSMIUM,SELL,10002,2,passive_resting_fill,10002,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,20004,0.0,18.0
access,76,-1,7600,-992400,ASH_COATED_OSMIUM,BUY,9993,5,aggressive_cross,9993,public,access,5.0,0.333333,0.8333,medium,strong,tight,agree,1,-49965,0.0,5.0
access,89,-1,8900,-991100,ASH_COATED_OSMIUM,BUY,9997,2,aggressive_cross,9997,public,access,10.0,0.375,1.875,high,extreme,normal,agree,0,-19994,0.0,-12.0
access,89,-1,8900,-991100,ASH_COATED_OSMIUM,BUY,9997,5,aggressive_cross,9997,public,access,10.0,0.375,1.875,high,extreme,normal,agree,0,-49985,0.0,-30.0
access,94,-1,9400,-990600,ASH_COATED_OSMIUM,BUY,9994,2,aggressive_cross,9994,public,access,6.0,0.0,0.0,low,mild,tight,agree,1,-19988,0.0,7.0
access,94,-1,9400,-990600,ASH_COATED_OSMIUM,BUY,9994,8,aggressive_cross,9994,public,access,6.0,0.0,0.0,low,mild,tight,agree,1,-79952,0.0,28.0
access,96,-1,9600,-990400,ASH_COATED_OSMIUM,BUY,9989,6,passive_resting_fill,9989,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,-59934,0.0,-6.0
access,100,-1,10000,-990000,ASH_COATED_OSMIUM,BUY,9991,8,passive_resting_fill,9991,public,access,18.0,-0.365854,-3.2927,high,extreme,wide,agree,1,-79928,0.0,104.0
access,100,-1,10000,-990000,ASH_COATED_OSMIUM,BUY,9989,7,passive_resting_fill,9989,public,access,18.0,-0.365854,-3.2927,high,extreme,wide,agree,1,-69923,0.0,105.0
access,107,-1,10700,-989300,ASH_COATED_OSMIUM,SELL,9998,2,aggressive_cross,9998,public,access,15.0,-0.62963,-4.7222,high,extreme,normal,agree,1,19996,0.0,0.0
access,107,-1,10700,-989300,ASH_COATED_OSMIUM,SELL,9998,5,aggressive_cross,9998,public,access,15.0,-0.62963,-4.7222,high,extreme,normal,agree,1,49990,0.0,0.0
access,121,-1,12100,-987900,ASH_COATED_OSMIUM,BUY,9991,5,passive_resting_fill,9991,public,access,18.0,-0.333333,-3.0,high,extreme,wide,agree,1,-49955,0.0,32.5
access,121,-1,12100,-987900,ASH_COATED_OSMIUM,BUY,9989,5,passive_resting_fill,9989,public,access,18.0,-0.333333,-3.0,high,extreme,wide,agree,1,-49945,0.0,42.5
access,141,-1,14100,-985900,ASH_COATED_OSMIUM,SELL,9996,2,aggressive_cross,9996,public,access,9.0,-0.5,-2.25,high,extreme,normal,agree,2,19992,0.0,-7.0
access,141,-1,14100,-985900,ASH_COATED_OSMIUM,SELL,9996,4,aggressive_cross,9996,public,access,9.0,-0.5,-2.25,high,extreme,normal,agree,2,39984,0.0,-14.0
access,151,-1,15100,-984900,ASH_COATED_OSMIUM,SELL,10000,10,passive_resting_fill,10000,public,access,18.0,-0.405405,-3.6486,high,extreme,wide,agree,1,100000,0.0,-10.0
access,151,-1,15100,-984900,ASH_COATED_OSMIUM,SELL,10002,5,passive_resting_fill,10002,public,access,18.0,-0.405405,-3.6486,high,extreme,wide,agree,1,50010,0.0,5.0
access,155,-1,15500,-984500,ASH_COATED_OSMIUM,SELL,10002,10,aggressive_cross,10002,public,access,6.0,0.0,0.0,low,mild,tight,agree,0,100020,0.0,20.0
access,185,-1,18500,-981500,ASH_COATED_OSMIUM,SELL,10009,6,passive_resting_fill,10009,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,60054,0.0,63.0
access,198,-1,19800,-980200,ASH_COATED_OSMIUM,BUY,9997,2,aggressive_cross,9997,access,access,7.0,0.414634,1.4512,high,extreme,tight,agree,1,-19994,0.0,9.0
access,198,-1,19800,-980200,ASH_COATED_OSMIUM,BUY,9997,8,aggressive_cross,9997,access,access,7.0,0.414634,1.4512,high,extreme,tight,agree,1,-79976,0.0,36.0
access,215,-1,21500,-978500,ASH_COATED_OSMIUM,SELL,9998,2,aggressive_cross,9998,public,access,10.0,-0.666667,-3.3333,high,extreme,normal,agree,0,19996,0.0,0.0
access,215,-1,21500,-978500,ASH_COATED_OSMIUM,SELL,9998,3,aggressive_cross,9998,public,access,10.0,-0.666667,-3.3333,high,extreme,normal,agree,0,29994,0.0,0.0
access,223,-1,22300,-977700,ASH_COATED_OSMIUM,BUY,9997,2,aggressive_cross,9997,public,access,5.0,0.578947,1.4474,high,extreme,tight,agree,0,-19994,0.0,4.0
access,223,-1,22300,-977700,ASH_COATED_OSMIUM,BUY,9997,4,aggressive_cross,9997,public,access,5.0,0.578947,1.4474,high,extreme,tight,agree,0,-39988,0.0,8.0
access,232,-1,23200,-976800,ASH_COATED_OSMIUM,BUY,9997,2,aggressive_cross,9997,public,access,6.0,0.333333,1.0,high,strong,tight,agree,0,-19994,0.0,2.0
access,232,-1,23200,-976800,ASH_COATED_OSMIUM,BUY,9997,4,aggressive_cross,9997,public,access,6.0,0.333333,1.0,high,strong,tight,agree,0,-39988,0.0,4.0
access,239,-1,23900,-976100,ASH_COATED_OSMIUM,BUY,9995,4,passive_resting_fill,9995,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,-39980,0.0,-10.0
access,239,-1,23900,-976100,ASH_COATED_OSMIUM,BUY,9993,4,passive_resting_fill,9993,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,-39972,0.0,-2.0
access,243,-1,24300,-975700,ASH_COATED_OSMIUM,BUY,9992,4,passive_resting_fill,9992,public,access,15.0,0.314286,2.3571,high,extreme,normal,agree,1,-39968,0.0,34.0
access,246,-1,24600,-975400,ASH_COATED_OSMIUM,BUY,9992,3,passive_resting_fill,9992,public,access,16.0,0.0,0.0,low,mild,normal,agree,1,-29976,0.0,39.0
access,251,-1,25100,-974900,ASH_COATED_OSMIUM,SELL,10002,2,aggressive_cross,10002,public,access,6.0,-0.111111,-0.3333,low,mild,tight,agree,0,20004,0.0,1.0
