day,voucher,level_corr
1,VEV_4000,0.18248292875987285
1,VEV_4500,0.18302595403302088
1,VEV_5000,0.16284675646944874
1,VEV_5100,0.1172461616482192
1,VEV_5200,0.0633006632366863
1,VEV_5300,0.11329347309789775
1,VEV_5400,-0.11198714497401926
1,VEV_5500,-0.1602572504530853
1,VEV_6000,
1,VEV_6500,
2,VEV_4000,-0.22110095514235947
2,VEV_4500,-0.22119171363048293
2,VEV_5000,-0.2305714730818125
2,VEV_5100,-0.2384366350007272
2,VEV_5200,-0.2913123872772222
2,VEV_5300,-0.3155186686816071
2,VEV_5400,-0.37083344719800243
2,VEV_5500,-0.46382523925624364
2,VEV_6000,
2,VEV_6500,
3,VEV_4000,-0.3590878623490995
3,VEV_4500,-0.35915161044370314
3,VEV_5000,-0.34339948923841684
3,VEV_5100,-0.2994836551887953
3,VEV_5200,-0.2549948686888164
3,VEV_5300,-0.1475267940509089
3,VEV_5400,-0.005665201959014839
3,VEV_5500,0.04488605834841627
3,VEV_6000,
3,VEV_6500,
