day,timestamp,product,mark,side,side_sign,counterparty,trade_price,qty,cur_mid,edge_vs_mid,side_midchg_100,trade_markout_100,follow_cross_to_mid_100,follow_passive_to_mid_100,side_midchg_500,trade_markout_500,follow_cross_to_mid_500,follow_passive_to_mid_500,side_midchg_1000,trade_markout_1000,follow_cross_to_mid_1000,follow_passive_to_mid_1000,side_midchg_2000,trade_markout_2000,follow_cross_to_mid_2000,follow_passive_to_mid_2000,side_midchg_5000,trade_markout_5000,follow_cross_to_mid_5000,follow_passive_to_mid_5000,side_midchg_10000,trade_markout_10000,follow_cross_to_mid_10000,follow_passive_to_mid_10000
1,10400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5240.0,12,5239.5,-0.5,2.0,1.5,-2.5,2.5,4.0,3.5,-0.5,4.5,4.0,3.5,-0.5,4.5,2.0,1.5,-2.5,2.5,-6.0,-6.5,-10.5,-5.5,-11.0,-11.5,-15.5,-10.5
1,17400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5230.0,8,5229.0,-1.0,3.5,2.5,-2.5,2.5,4.0,3.0,-2.0,3.0,0.5,-0.5,-5.5,-0.5,-0.5,-1.5,-6.5,-1.5,0.5,-0.5,-5.5,-0.5,7.5,6.5,1.5,6.5
1,32800,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5238.0,7,5237.0,-1.0,2.0,1.0,-3.0,3.0,2.5,1.5,-2.5,3.5,-1.5,-2.5,-6.5,-0.5,-1.5,-2.5,-6.5,-0.5,-5.5,-6.5,-10.5,-4.5,-5.5,-6.5,-10.5,-4.5
1,39400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5233.0,9,5232.5,-0.5,1.0,0.5,-2.5,2.5,2.0,1.5,-1.5,3.5,1.0,0.5,-2.5,2.5,-5.0,-5.5,-8.5,-3.5,7.0,6.5,3.5,8.5,11.0,10.5,7.5,12.5
1,45400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5241.0,8,5240.0,-1.0,3.5,2.5,-2.5,2.5,7.5,6.5,1.5,6.5,4.0,3.0,-2.0,3.0,6.0,5.0,0.0,5.0,6.5,5.5,0.5,5.5,7.5,6.5,1.5,6.5
1,78400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5238.0,7,5237.0,-1.0,4.0,3.0,-3.0,3.0,0.5,-0.5,-6.5,-0.5,2.5,1.5,-4.5,1.5,0.5,-0.5,-6.5,-0.5,-1.5,-2.5,-8.5,-2.5,5.5,4.5,-1.5,4.5
1,84600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5233.0,8,5232.0,-1.0,2.0,1.0,-3.0,3.0,4.5,3.5,-0.5,5.5,3.5,2.5,-1.5,4.5,4.5,3.5,-0.5,5.5,10.5,9.5,5.5,11.5,12.5,11.5,7.5,13.5
1,88500,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5242.0,6,5241.0,-1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,1.0,2.5,1.5,-0.5,1.5,3.5,2.5,0.5,2.5,2.0,1.0,-1.0,1.0,4.5,3.5,1.5,3.5
1,109000,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5265.0,12,5264.5,-0.5,2.0,1.5,-2.5,2.5,4.0,3.5,-0.5,4.5,5.5,5.0,1.0,6.0,0.0,-0.5,-4.5,0.5,0.0,-0.5,-4.5,0.5,-7.0,-7.5,-11.5,-6.5
1,132600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5263.0,10,5262.0,-1.0,1.5,0.5,-2.5,2.5,1.5,0.5,-2.5,2.5,4.0,3.0,0.0,5.0,-0.5,-1.5,-4.5,0.5,-3.0,-4.0,-7.0,-2.0,0.5,-0.5,-3.5,1.5
