mark,product,total_qty,net_qty,trades,immediate_edge_per_unit,alpha_1000_per_unit
Mark 01,VELVETFRUIT_EXTRACT,2792.0,42.0,504,2.642857142857143,2.9156746031746033
Mark 01,VEV_5200,34.0,34.0,11,1.0,1.9545454545454546
Mark 01,VEV_5300,439.0,439.0,132,0.9090909090909091,0.7613636363636364
Mark 01,VEV_5400,911.0,911.0,263,0.5950570342205324,0.5893536121673004
Mark 01,VEV_5500,1042.0,1042.0,299,0.5267558528428093,0.5100334448160535
Mark 01,VEV_6000,1105.0,1105.0,317,0.5,0.5
Mark 01,VEV_6500,1105.0,1105.0,317,0.5,0.5
Mark 14,HYDROGEL_PACK,4022.0,-44.0,1003,7.96061814556331,8.13160518444666
Mark 14,VELVETFRUIT_EXTRACT,3524.0,-2.0,647,2.446676970633694,2.2364760432766615
Mark 14,VEV_4000,870.0,46.0,439,10.42255125284738,10.342824601366743
Mark 14,VEV_5200,122.0,122.0,33,1.0,0.8636363636363636
Mark 14,VEV_5300,105.0,105.0,30,0.75,0.6
Mark 14,VEV_5400,48.0,48.0,13,0.46153846153846156,-0.038461538461538464
Mark 14,VEV_5500,27.0,27.0,7,0.5,0.35714285714285715
Mark 22,HYDROGEL_PACK,74.0,10.0,19,3.8684210526315788,-0.47368421052631576
Mark 22,VELVETFRUIT_EXTRACT,843.0,-551.0,126,0.7420634920634921,-0.4087301587301587
Mark 22,VEV_4000,6.0,0.0,3,5.166666666666667,2.8333333333333335
Mark 22,VEV_4500,6.0,0.0,3,3.6666666666666665,2.8333333333333335
Mark 22,VEV_5000,6.0,0.0,3,1.1666666666666667,3.0
Mark 22,VEV_5100,6.0,0.0,3,1.0,2.5
Mark 22,VEV_5200,162.0,-156.0,47,-0.8936170212765957,-0.9361702127659575
Mark 22,VEV_5300,548.0,-542.0,164,-0.8628048780487805,-0.7134146341463414
Mark 22,VEV_5400,959.0,-959.0,276,-0.5887681159420289,-0.5597826086956522
Mark 22,VEV_5500,1069.0,-1069.0,306,-0.5261437908496732,-0.5065359477124183
Mark 22,VEV_6000,1105.0,-1105.0,317,-0.5,-0.5
Mark 22,VEV_6500,1105.0,-1105.0,317,-0.5,-0.5
Mark 38,HYDROGEL_PACK,4096.0,34.0,1022,-7.8845401174168295,-7.971624266144814
Mark 38,VEV_4000,876.0,-46.0,442,-10.386877828054299,-10.29185520361991
Mark 38,VEV_4500,6.0,0.0,3,-3.6666666666666665,-2.8333333333333335
Mark 38,VEV_5000,6.0,0.0,3,-1.1666666666666667,-3.0
Mark 38,VEV_5100,6.0,0.0,3,-1.0,-2.5
Mark 38,VEV_5200,6.0,0.0,3,-0.6666666666666666,-2.0
Mark 38,VEV_5300,4.0,-2.0,2,-0.5,-0.75
Mark 49,VELVETFRUIT_EXTRACT,1186.0,-956.0,122,0.7868852459016393,-1.3319672131147542
Mark 55,VELVETFRUIT_EXTRACT,6551.0,-43.0,1198,-2.481636060100167,-2.454924874791319
Mark 67,VELVETFRUIT_EXTRACT,1510.0,1510.0,165,-0.796969696969697,1.4454545454545455
