file	tag	m1	m2	m3	total	own_trades	hydro	velvet	vev4000	vev4500	vev5000	vev5100	vev5200	vev5300
TradervR4_31_01_OOO	OOO	O	O	O	226279.50	3468	99559.00	72625.00	5125.00	2117.00	35062.00	11621.50	777.00	-607.00
TradervR4_31_02_OOU	OOU	O	O	U	222139.50	4439	99559.00	72425.00	5514.00	2180.00	35461.50	10101.50	8925.50	-12027.00
TradervR4_31_03_OOB	OOB	O	O	B	223640.50	4491	99559.00	72471.00	5514.00	2180.00	36277.50	10101.50	9781.50	-12244.00
TradervR4_31_04_OUO	OUO	O	U	O	226502.00	3819	99559.00	72315.00	5125.00	2535.00	35940.00	14439.00	-2804.00	-607.00
TradervR4_31_05_OUU	OUU	O	U	U	223270.50	4743	99559.00	72289.00	5454.00	2180.00	35461.50	14045.50	6308.50	-12027.00
TradervR4_31_06_OUB	OUB	O	U	B	224777.50	4798	99559.00	72423.00	5454.00	2180.00	36277.50	14045.50	7082.50	-12244.00
TradervR4_31_07_OBO	OBO	O	B	O	240327.00	6771	99559.00	71527.00	5125.00	2535.00	33398.00	37332.50	-8542.50	-607.00
TradervR4_31_08_OBU	OBU	O	B	U	239349.00	7790	99559.00	71286.00	5514.00	2180.00	34275.50	37831.00	730.50	-12027.00
TradervR4_31_09_OBB	OBB	O	B	B	238757.00	7801	99559.00	71314.00	5511.00	2180.00	33850.50	37831.00	755.50	-12244.00
TradervR4_31_10_UOO	UOO	U	O	O	225774.00	3507	99559.00	72422.00	5146.00	2377.50	35853.00	10246.50	777.00	-607.00
TradervR4_31_11_UOU	UOU	U	O	U	220941.00	4476	99559.00	72240.00	5400.00	2171.00	36262.50	8410.00	8925.50	-12027.00
TradervR4_31_12_UOB	UOB	U	O	B	222442.00	4528	99559.00	72286.00	5400.00	2171.00	37078.50	8410.00	9781.50	-12244.00
TradervR4_31_13_UUO	UUO	U	U	O	225552.00	3866	99559.00	72336.00	5146.00	2377.50	36710.00	12834.50	-2804.00	-607.00
TradervR4_31_14_UUU	UUU	U	U	U	222930.50	4783	99559.00	72147.00	5398.00	2171.00	35973.50	13400.50	6308.50	-12027.00
TradervR4_31_15_UUB	UUB	U	U	B	224437.50	4838	99559.00	72281.00	5398.00	2171.00	36789.50	13400.50	7082.50	-12244.00
TradervR4_31_16_UBO	UBO	U	B	O	241589.50	6838	99559.00	71683.00	5146.00	2377.50	34997.50	36976.00	-8542.50	-607.00
TradervR4_31_17_UBU	UBU	U	B	U	239214.50	7835	99559.00	71137.00	5458.00	2171.00	35440.50	36745.50	730.50	-12027.00
TradervR4_31_18_UBB	UBB	U	B	B	239022.50	7851	99559.00	71137.00	5458.00	2171.00	35440.50	36745.50	755.50	-12244.00
TradervR4_31_19_BOO	BOO	B	O	O	225731.50	3656	99559.00	72994.00	5183.00	2377.50	40724.00	4724.00	777.00	-607.00
TradervR4_31_20_BOU	BOU	B	O	U	221009.50	4622	99559.00	72482.00	5478.00	2190.50	41389.00	2864.50	9073.50	-12027.00
TradervR4_31_21_BOB	BOB	B	O	B	222560.50	4676	99559.00	72578.00	5478.00	2190.50	42205.00	2864.50	9929.50	-12244.00
TradervR4_31_22_BUO	BUO	B	U	O	224655.00	4011	99559.00	72886.00	5183.00	2377.50	41582.00	6478.50	-2804.00	-607.00
TradervR4_31_23_BUU	BUU	B	U	U	222204.00	4924	99559.00	72171.00	5476.00	2190.50	41098.00	7280.00	6456.50	-12027.00
TradervR4_31_24_BUB	BUB	B	U	B	223635.00	4974	99559.00	72229.00	5476.00	2190.50	41914.00	7280.00	7230.50	-12244.00
TradervR4_31_25_BBO	BBO	B	B	O	243472.50	7088	99559.00	71754.00	5257.00	2377.50	42069.00	31605.50	-8542.50	-607.00
TradervR4_31_26_BBU	BBU	B	B	U	241514.50	8075	99559.00	70921.00	5536.00	2190.50	42798.50	31597.00	939.50	-12027.00
TradervR4_31_27_BBB	BBB	B	B	B	241322.50	8091	99559.00	70921.00	5536.00	2190.50	42798.50	31597.00	964.50	-12244.00
TradervR4_31_base	base	?	?	?	243472.50	7088	99559.00	71754.00	5257.00	2377.50	42069.00	31605.50	-8542.50	-607.00
