product,cluster_center,cluster_min,cluster_max,trade_count,extremum_hit_rate,directional_correctness,persistence,cross_day_repeatability,cross_product_repeatability,candidate_score,recommended_mode,buy_at_lows_precision,sell_at_highs_precision,avg_signal_persistence_bars,signal_proxy_pnl,notes
HYDROGEL_PACK,5,4,6,619,0.01615508885298869,0.4,0.42,1.0,0.25,2.5023101777059775,IGNORE,0.2857142857142857,0.6666666666666666,21.0,0.0,stable lot cluster 4-6 | repeats across days
HYDROGEL_PACK,3,2,3,391,0.01278772378516624,0.2,0.48,1.0,0.16666666666666666,2.072242114236999,IGNORE,0.25,0.0,24.0,0.0,stable lot cluster 2-3 | repeats across days
VELVETFRUIT_EXTRACT,10,10,11,39,0.02564102564102564,1.0,1.0,0.3333333333333333,0.08333333333333333,3.467948717948718,BIAS_ONLY,1.0,0.0,50.0,0.0,stable lot cluster 10-11
VELVETFRUIT_EXTRACT,13,12,14,33,0.030303030303030304,1.0,0.4,0.3333333333333333,0.08333333333333333,2.8772727272727274,BIAS_ONLY,1.0,0.0,20.0,0.0,stable lot cluster 12-14
VELVETFRUIT_EXTRACT,8,7,9,480,0.016666666666666666,0.5,0.5375,1.0,0.08333333333333333,2.654166666666667,IGNORE,0.5714285714285714,0.0,26.875,0.0,stable lot cluster 7-9 | repeats across days
VELVETFRUIT_EXTRACT,5,4,6,624,0.014423076923076924,0.2222222222222222,0.5555555555555556,1.0,0.25,2.2788461538461537,IGNORE,0.2857142857142857,0.0,27.77777777777778,0.0,stable lot cluster 4-6 | repeats across days
VELVETFRUIT_EXTRACT,3,3,3,190,0.021052631578947368,0.25,0.25,1.0,0.16666666666666666,1.9587719298245616,IGNORE,0.0,0.3333333333333333,12.5,0.0,stable lot size 3 | repeats across days
VELVETFRUIT_EXTRACT,15,15,15,6,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,IGNORE,0.0,0.0,0.0,0.0,stable lot size 15
VEV_4000,2,1,3,464,0.008620689655172414,0.0,0.0,1.0,0.5833333333333334,1.6005747126436782,IGNORE,0.0,0.0,0.0,0.0,stable lot cluster 1-3 | repeats across products | repeats across days
VEV_5200,5,4,5,10,0.6,0.3333333333333333,0.4,1.0,0.25,3.5166666666666666,IGNORE,0.0,0.3333333333333333,20.0,0.0,stable lot cluster 4-5 | repeats across days
VEV_5200,2,1,3,8,0.5,0.25,0.1,1.0,0.5833333333333334,3.1833333333333336,IGNORE,1.0,0.0,5.0,0.0,stable lot cluster 1-3 | repeats across products | repeats across days
VEV_5300,2,1,2,34,0.029411764705882353,1.0,1.0,0.3333333333333333,0.5833333333333334,3.9754901960784315,FOLLOW_AFTER_TRIGGER,0.0,1.0,50.0,0.0,stable lot cluster 1-2 | repeats across products
VEV_5300,4,3,5,87,0.06896551724137931,0.3333333333333333,0.6666666666666667,1.0,0.4166666666666667,2.8879310344827585,IGNORE,0.0,0.3333333333333333,33.333333333333336,0.0,stable lot cluster 3-5 | repeats across products | repeats across days
VEV_5400,2,2,3,108,0.046296296296296294,0.4,0.8,1.0,0.5833333333333334,3.275925925925926,IGNORE,0.0,0.4,40.0,0.0,stable lot cluster 2-3 | repeats across products | repeats across days
VEV_5400,4,4,5,117,0.02564102564102564,0.6666666666666666,0.4666666666666666,0.6666666666666666,0.4166666666666667,2.9346153846153844,BIAS_ONLY,0.0,0.6666666666666666,23.333333333333332,0.0,stable lot cluster 4-5 | repeats across products | repeats across days
VEV_5500,4,4,5,141,0.03546099290780142,0.6,0.6,1.0,0.4166666666666667,3.2875886524822695,BIAS_ONLY,0.0,0.6,30.0,0.0,stable lot cluster 4-5 | repeats across products | repeats across days
VEV_5500,2,2,3,126,0.023809523809523808,0.3333333333333333,0.6666666666666667,1.0,0.5833333333333334,2.9642857142857144,IGNORE,0.0,0.3333333333333333,33.333333333333336,0.0,stable lot cluster 2-3 | repeats across products | repeats across days
VEV_6000,4,3,5,208,0.009615384615384616,0.0,0.0,0.6666666666666666,0.4166666666666667,1.1025641025641026,IGNORE,0.0,0.0,0.0,0.0,stable lot cluster 3-5 | repeats across products | repeats across days
VEV_6000,2,2,2,76,0.013157894736842105,0.0,0.0,0.3333333333333333,0.5833333333333334,0.9429824561403509,IGNORE,0.0,0.0,0.0,0.0,stable lot size 2 | repeats across products
VEV_6500,4,3,5,208,0.009615384615384616,0.0,0.0,0.6666666666666666,0.4166666666666667,1.1025641025641026,IGNORE,0.0,0.0,0.0,0.0,stable lot cluster 3-5 | repeats across products | repeats across days
VEV_6500,2,2,2,76,0.013157894736842105,0.0,0.0,0.3333333333333333,0.5833333333333334,0.9429824561403509,IGNORE,0.0,0.0,0.0,0.0,stable lot size 2 | repeats across products
