day,timestamp,product,buyer,seller,price,quantity,inferred_side,best_bid,best_ask,mid_price,distance_to_mid,distance_to_best_bid,distance_to_best_ask,is_new_daily_low_trade,is_new_daily_high_trade,persistence_bars,cluster_center,cluster_min,cluster_max,markout_5,markout_20,markout_50
0,8000,HYDROGEL_PACK,,,10018.0,6,BUY,10010.0,10018.0,10014.0,4.0,8.0,0.0,True,True,0,5,4,6,-13.0,-15.0,-5.0
0,10100,HYDROGEL_PACK,,,10014.0,5,BUY,9998.0,10014.0,10006.0,8.0,16.0,0.0,True,False,50,5,4,6,-9.0,-8.0,2.0
0,15300,HYDROGEL_PACK,,,10026.0,3,BUY,10009.0,10026.0,10017.5,8.5,17.0,0.0,False,True,0,3,2,3,-7.0,-14.0,-16.0
0,15700,HYDROGEL_PACK,,,10009.0,2,SELL,10009.0,10025.0,10017.0,-8.0,0.0,-16.0,True,False,20,3,2,3,9.0,-3.0,1.0
0,16400,HYDROGEL_PACK,,,10009.0,4,SELL,10009.0,10025.0,10017.0,-8.0,0.0,-16.0,False,False,50,5,4,6,5.0,4.0,-7.5
0,20300,HYDROGEL_PACK,,,10002.0,5,SELL,10002.0,10018.0,10010.0,-8.0,0.0,-16.0,True,False,50,5,4,6,7.0,-1.0,-3.0
0,20500,HYDROGEL_PACK,,,10000.0,3,SELL,10000.0,10016.0,10008.0,-8.0,0.0,-16.0,True,False,50,3,2,3,9.0,-1.0,-1.0
0,23300,HYDROGEL_PACK,,,9997.0,2,BUY,9981.0,9997.0,9989.0,8.0,16.0,0.0,True,False,20,3,2,3,-3.0,2.0,-8.0
0,28500,HYDROGEL_PACK,,,9994.0,5,BUY,9978.0,9994.0,9986.0,8.0,16.0,0.0,True,False,20,5,4,6,-13.0,2.0,-19.0
0,29100,HYDROGEL_PACK,,,9973.0,6,SELL,9973.0,9989.0,9981.0,-8.0,0.0,-16.0,True,False,50,5,4,6,8.0,18.0,-6.0
0,45800,HYDROGEL_PACK,,,9978.0,2,SELL,9978.0,9994.0,9986.0,-8.0,0.0,-16.0,False,False,20,3,2,3,6.0,-9.0,13.0
0,54600,HYDROGEL_PACK,,,9987.0,3,BUY,9971.0,9987.0,9979.0,8.0,16.0,0.0,False,False,50,3,2,3,-10.0,-5.0,8.0
0,55000,HYDROGEL_PACK,,,9987.0,6,BUY,9971.0,9987.0,9979.0,8.0,16.0,0.0,False,False,50,5,4,6,-9.0,-4.0,9.0
0,56700,HYDROGEL_PACK,,,9991.0,6,BUY,9975.0,9991.0,9983.0,8.0,16.0,0.0,False,False,20,5,4,6,-6.0,1.0,-2.0
0,60000,HYDROGEL_PACK,,,9988.0,4,SELL,9988.0,10004.0,9996.0,-8.0,0.0,-16.0,False,False,50,5,4,6,3.0,-2.0,-2.0
0,63900,HYDROGEL_PACK,,,9986.0,5,SELL,9986.0,10002.0,9994.0,-8.0,0.0,-16.0,False,False,0,5,4,6,4.0,2.0,0.0
0,67600,HYDROGEL_PACK,,,9993.0,5,BUY,9977.0,9993.0,9985.0,8.0,16.0,0.0,False,False,0,5,4,6,-11.0,-9.0,-11.0
0,73000,HYDROGEL_PACK,,,9980.0,3,SELL,9980.0,9996.0,9988.0,-8.0,0.0,-16.0,False,False,0,3,2,3,10.0,5.0,0.0
0,77800,HYDROGEL_PACK,,,9990.0,2,BUY,9974.0,9990.0,9982.0,8.0,16.0,0.0,False,False,0,3,2,3,-8.0,-14.0,-32.0
0,90000,HYDROGEL_PACK,,,9950.0,6,BUY,9934.0,9950.0,9942.0,8.0,16.0,0.0,True,False,20,5,4,6,-1.0,1.0,-8.0
0,93200,HYDROGEL_PACK,,,9948.0,6,BUY,9932.0,9948.0,9940.0,8.0,16.0,0.0,True,False,0,5,4,6,-7.5,-4.0,-2.5
0,94600,HYDROGEL_PACK,,,9931.0,3,SELL,9931.0,9947.0,9939.0,-8.0,0.0,-16.0,True,False,0,3,2,3,11.0,20.0,18.0
0,94900,HYDROGEL_PACK,,,9934.0,4,SELL,9934.0,9949.0,9941.5,-7.5,0.0,-15.0,False,False,0,5,4,6,14.0,14.0,20.0
0,96800,HYDROGEL_PACK,,,9940.0,2,SELL,9940.0,9956.0,9948.0,-8.0,0.0,-16.0,False,False,0,3,2,3,12.0,12.0,17.0
0,102200,HYDROGEL_PACK,,,9946.0,5,SELL,9946.0,9962.0,9954.0,-8.0,0.0,-16.0,False,False,5,5,4,6,-1.0,3.0,1.0
0,105100,HYDROGEL_PACK,,,9943.0,4,SELL,9943.0,9959.0,9951.0,-8.0,0.0,-16.0,False,False,50,5,4,6,7.0,6.5,-3.0
0,106100,HYDROGEL_PACK,,,9943.0,6,SELL,9943.0,9958.0,9950.5,-7.5,0.0,-15.0,False,False,0,5,4,6,4.0,1.0,0.0
0,108800,HYDROGEL_PACK,,,9949.0,2,BUY,9934.0,9949.0,9941.5,7.5,15.0,0.0,False,False,50,3,2,3,-16.0,-7.0,3.0
0,109500,HYDROGEL_PACK,,,9926.0,2,SELL,9926.0,9942.0,9934.0,-8.0,0.0,-16.0,True,False,0,3,2,3,14.0,20.0,23.0
0,116300,HYDROGEL_PACK,,,9929.0,5,SELL,9929.0,9945.0,9937.0,-8.0,0.0,-16.0,False,False,0,5,4,6,7.0,26.0,26.0
0,125000,HYDROGEL_PACK,,,9972.0,4,BUY,9956.0,9972.0,9964.0,8.0,16.0,0.0,False,False,0,5,4,6,-10.0,-7.0,-19.0
0,128500,HYDROGEL_PACK,,,9955.0,5,SELL,9955.0,9971.0,9963.0,-8.0,0.0,-16.0,False,False,20,5,4,6,-5.5,-3.0,9.0
0,132000,HYDROGEL_PACK,,,9950.0,3,SELL,9950.0,9966.0,9958.0,-8.0,0.0,-16.0,False,False,50,3,2,3,12.0,3.0,-1.0
0,132900,HYDROGEL_PACK,,,9956.0,2,SELL,9956.0,9972.0,9964.0,-8.0,0.0,-16.0,False,False,20,3,2,3,8.0,-2.0,1.0
0,133600,HYDROGEL_PACK,,,9970.0,5,BUY,9954.0,9970.0,9962.0,8.0,16.0,0.0,False,False,0,5,4,6,-14.0,-24.0,-25.0
0,136800,HYDROGEL_PACK,,,9955.0,5,BUY,9939.0,9955.0,9947.0,8.0,16.0,0.0,False,False,0,5,4,6,-5.5,-12.0,-0.5
0,141700,HYDROGEL_PACK,,,9939.0,2,SELL,9939.0,9955.0,9947.0,-8.0,0.0,-16.0,False,False,0,3,2,3,15.0,16.0,26.0
0,143600,HYDROGEL_PACK,,,9949.0,4,SELL,9949.0,9965.0,9957.0,-8.0,0.0,-16.0,False,False,0,5,4,6,8.0,10.0,34.0
0,144500,HYDROGEL_PACK,,,9966.0,3,BUY,9958.0,9966.0,9962.0,4.0,8.0,0.0,False,False,50,3,2,3,-12.0,-8.0,19.0
0,153400,HYDROGEL_PACK,,,9964.0,4,SELL,9964.0,9980.0,9972.0,-8.0,0.0,-16.0,False,False,0,5,4,6,9.0,18.0,10.0
0,155200,HYDROGEL_PACK,,,9991.0,5,BUY,9975.0,9991.0,9983.0,8.0,16.0,0.0,False,False,0,5,4,6,-10.0,-13.0,-19.0
0,158100,HYDROGEL_PACK,,,9974.0,5,BUY,9967.0,9974.0,9970.5,3.5,7.0,0.0,False,False,5,5,4,6,3.0,-2.0,-2.0
0,159300,HYDROGEL_PACK,,,9969.0,2,SELL,9969.0,9985.0,9977.0,-8.0,0.0,-16.0,False,False,50,3,2,3,6.0,2.0,-2.0
0,163300,HYDROGEL_PACK,,,9977.0,3,BUY,9961.0,9977.0,9969.0,8.0,16.0,0.0,False,False,0,3,2,3,-4.0,-11.0,-14.0
0,164600,HYDROGEL_PACK,,,9962.0,3,SELL,9962.0,9978.0,9970.0,-8.0,0.0,-16.0,False,False,0,3,2,3,8.0,6.0,5.0
0,169000,HYDROGEL_PACK,,,9953.0,3,SELL,9953.0,9969.0,9961.0,-8.0,0.0,-16.0,False,False,0,3,2,3,19.0,18.0,13.0
0,171500,HYDROGEL_PACK,,,9982.0,5,BUY,9967.0,9982.0,9974.5,7.5,15.0,0.0,False,False,0,5,4,6,-11.0,-15.0,-13.0
0,175300,HYDROGEL_PACK,,,9969.0,6,BUY,9961.0,9969.0,9965.0,4.0,8.0,0.0,False,False,50,5,4,6,3.0,2.0,6.0
0,178100,HYDROGEL_PACK,,,9958.0,2,SELL,9958.0,9974.0,9966.0,-8.0,0.0,-16.0,False,False,0,3,2,3,5.0,17.0,7.0
0,181900,HYDROGEL_PACK,,,9980.0,3,BUY,9964.0,9980.0,9972.0,8.0,16.0,0.0,False,False,0,3,2,3,-11.0,-14.0,-16.0
0,182400,HYDROGEL_PACK,,,9977.0,5,BUY,9961.0,9977.0,9969.0,8.0,16.0,0.0,False,False,0,5,4,6,-14.0,-11.0,-14.0
0,183300,HYDROGEL_PACK,,,9973.0,4,BUY,9957.0,9973.0,9965.0,8.0,16.0,0.0,False,False,0,5,4,6,-7.0,-5.0,-14.0
0,185800,HYDROGEL_PACK,,,9961.0,6,SELL,9961.0,9977.0,9969.0,-8.0,0.0,-16.0,False,False,50,5,4,6,7.0,2.0,-2.0
0,190600,HYDROGEL_PACK,,,9943.0,6,SELL,9943.0,9959.0,9951.0,-8.0,0.0,-16.0,False,False,0,5,4,6,20.0,18.0,18.0
0,196600,HYDROGEL_PACK,,,9953.0,3,SELL,9953.0,9969.0,9961.0,-8.0,0.0,-16.0,False,False,0,3,2,3,4.0,13.0,23.0
0,197000,HYDROGEL_PACK,,,9967.0,6,BUY,9951.0,9967.0,9959.0,8.0,16.0,0.0,False,False,50,5,4,6,-3.0,-7.0,6.0
