seed,total_pnl,max_drawdown,own_trade_count
28,-1734.000000,38030.000000,1348
29,-7312.000000,99650.000000,1878
30,-1877.000000,77813.000000,1688
31,-28040.000000,61781.000000,1335
32,-21891.000000,40436.000000,1462
33,-42728.000000,55206.000000,1815
34,-53013.000000,60138.000000,1805
35,-48774.000000,73898.000000,1897
36,-14713.000000,78610.000000,1488
37,-17759.000000,76436.000000,1568
38,-18088.000000,41344.000000,1245
39,-52689.000000,59940.000000,1774
40,-37931.000000,70776.000000,1515
41,-16008.000000,79858.000000,1439
42,-15547.000000,66692.000000,1564
43,-23427.000000,86170.000000,1537
