run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,score_aggressive,score_balanced,score_safe,score_mean_only,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
1,291.66172309311315,146.42216160979893,2273.4406190376294,227.34406190376293,227.34406190376293,454.68812380752587,0.4704,-3144.0164386623223,-5151.03934220685,-13303.223954340061,5088.605865077533,-22.73992077311908,-494.34238657246743,-293.6127736581167,77.6248856840563,-293.6127736581167,-721.6864484762303,291.66172309311315,"{""AC"": -115, ""AC_35_P"": 29, ""AC_40_BP"": -37, ""AC_45_KO"": -320, ""AC_50_C"": 36, ""AC_50_CO"": 3, ""AC_50_C_2"": 35, ""AC_50_P_2"": 3, ""AC_60_C"": 36}",-115,-320,-37,3,35,3,29,0,0,0,36,36
2,347.50200533578715,112.35928583311465,3218.6211142303655,321.86211142303654,321.86211142303654,643.7242228460731,0.4866,-4508.560402984131,-7306.855019676004,-17008.130722364687,7094.779497222398,-103.35403496262592,-779.6380954102456,-489.7131108233507,41.60845733082148,-489.7131108233507,-1101.5002068332822,347.50200533578715,"{""AC"": -140, ""AC_35_P"": 43, ""AC_40_BP"": -50, ""AC_40_P"": 13, ""AC_45_KO"": -270, ""AC_50_C"": 31, ""AC_50_CO"": 11, ""AC_50_C_2"": 23, ""AC_60_C"": 50}",-140,-270,-50,11,23,0,43,13,0,0,31,50
3,375.41358957275827,685.566064089226,5222.484493017486,522.2484493017486,522.2484493017486,1044.4968986034971,0.4382,-8520.286540175659,-15180.157419325327,-36974.0896402386,9615.85897473184,-476.6150644448077,-1754.6580454711566,-1163.7536161044648,-181.16284976146184,-1163.7536161044648,-2276.9064947729053,375.41358957275827,"{""AC"": -200, ""AC_35_P"": 50, ""AC_40_BP"": -50, ""AC_45_KO"": -490, ""AC_50_C"": 25, ""AC_50_CO"": 16, ""AC_50_C_2"": 43, ""AC_50_P"": -3, ""AC_60_C"": 50}",-200,-490,-50,16,43,0,50,0,0,-3,25,50
4,-13.295141653999925,850.4531034779005,2885.147618218087,288.5147618218087,288.5147618218087,577.0295236436174,0.3324,-5637.4353720534245,-11289.991055379978,-27234.715027187,3198.473683988199,-577.0386788593424,-1422.653984667356,-1003.1678283729179,-367.2956007121233,-1003.1678283729179,-1711.1687464891647,-13.295141653999925,"{""AC"": -75, ""AC_40_BP"": -24, ""AC_40_P"": 4, ""AC_45_KO"": -60, ""AC_45_P"": -5, ""AC_50_CO"": -17, ""AC_50_C_2"": -2, ""AC_50_P_2"": 13, ""AC_60_C"": 22}",-75,-60,-24,-17,-2,13,0,4,-5,0,0,22
5,286.0673449442968,-38.51078936503734,1790.1245451649324,179.01245451649325,179.01245451649325,358.0249090329865,0.5104,-2189.9930857064564,-3381.365825282221,-8350.379855028816,4522.242237211608,67.06803637365113,-261.4309264823173,-131.93784516991826,131.81457702985065,-131.93784516991826,-440.44338099881054,286.0673449442968,"{""AC"": -105, ""AC_35_P"": 50, ""AC_40_BP"": -44, ""AC_45_KO"": -240, ""AC_45_P"": -10, ""AC_50_C"": 50, ""AC_50_CO"": -2, ""AC_50_C_2"": 29, ""AC_60_C"": 32}",-105,-240,-44,-2,29,0,50,0,-10,0,50,32
6,150.26470085051795,-164.39191020844999,1008.3754090129371,100.8375409012937,100.8375409012937,201.6750818025874,0.5524,-1074.1775657049805,-2286.1121847260824,-3560.9520434629862,2655.89206407683,42.8469442800199,-118.27969057572716,-61.280704455875956,71.3464373399455,-61.280704455875956,-219.11723147702088,150.26470085051795,"{""AC_35_P"": 9, ""AC_40_BP"": -47, ""AC_40_P"": 15, ""AC_45_KO"": -320, ""AC_45_P"": 12, ""AC_50_CO"": 3, ""AC_50_C_2"": -10, ""AC_50_P"": 46}",0,-320,-47,3,-10,0,9,15,12,46,0,0
7,195.6516499642372,-74.28386300366394,1943.774451374696,194.37744513746958,194.37744513746958,388.75489027493916,0.517,-2703.6829874906857,-4660.287355449964,-10212.887083484478,4631.270852837076,-74.71664878483136,-480.2690969084342,-307.0895207281004,11.873139305335528,-307.0895207281004,-674.6465420459037,195.6516499642372,"{""AC"": -30, ""AC_35_P"": 47, ""AC_40_BP"": -20, ""AC_40_P"": 27, ""AC_45_KO"": -210, ""AC_50_C"": -11, ""AC_50_CO"": 16, ""AC_50_P"": 2, ""AC_50_P_2"": 18}",-30,-210,-20,16,0,18,47,27,0,2,-11,0
8,258.09594615715815,770.565450252563,4709.09185361133,470.90918536113304,470.90918536113304,941.8183707222661,0.4332,-8050.458514621007,-14665.9581141708,-34004.27604482033,8021.293736285742,-546.9499053049426,-1754.5186824980938,-1184.9274237165596,-262.1542759141755,-1184.9274237165596,-2225.427867859227,258.09594615715815,"{""AC"": -180, ""AC_35_P"": 27, ""AC_40_BP"": -50, ""AC_45_KO"": -490, ""AC_50_C"": 46, ""AC_50_CO"": 7, ""AC_50_C_2"": 22, ""AC_50_P"": -2, ""AC_60_C"": 28}",-180,-490,-50,7,22,0,27,0,0,-2,46,28
9,-300.3787564813982,-82.18691058432393,1551.9738556215427,155.19738556215427,155.19738556215427,310.39477112430853,0.523,-2378.6696117548377,-6219.242044200115,-18445.760200763732,1363.9205069483878,-538.245717656882,-895.0461594201076,-734.777891025701,-458.1115834596787,-734.777891025701,-1050.243544982262,-300.3787564813982,"{""AC"": 35, ""AC_40_BP"": -7, ""AC_40_P"": -35, ""AC_45_KO"": -180, ""AC_45_P"": -10, ""AC_50_C"": -38, ""AC_50_CO"": -4, ""AC_50_C_2"": -10, ""AC_60_C"": -39}",35,-180,-7,-4,-10,0,0,-35,-10,0,-38,-39
10,45.1568188294917,-695.8427087461084,2179.32555067051,217.932555067051,217.932555067051,435.865110134102,0.6398,-1741.95197914105,-1881.2542896610973,-2001.2039778180635,21509.12439443096,-129.03837908461333,-390.33117595577085,-325.1022555751913,-96.42391889432356,-325.1022555751913,-608.2637310228218,45.1568188294917,"{""AC"": 30, ""AC_35_P"": 40, ""AC_40_BP"": 1, ""AC_45_KO"": -10, ""AC_45_P"": -50, ""AC_50_CO"": 11, ""AC_50_C_2"": 17, ""AC_50_P"": -4, ""AC_60_C"": 4}",30,-10,1,11,17,0,40,0,-50,-4,0,4
