run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,positions
1,-165.92879074810534,3300.6610584314617,8048.192973822161,804.8192973822161,804.8192973822161,1609.6385947644321,0.282,-17699.35856266466,-33331.0660822029,-53352.08790183615,5902.0974414026405,-1935.8646470145713,-4590.768431414271,-3223.242223838912,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_50_CO"": -50}"
2,-177.4473192539701,3231.77570035563,7977.489336060117,797.7489336060117,797.7489336060117,1595.4978672120235,0.276,-17571.85856266466,-33203.5660822029,-53224.58790183615,5779.5974414026405,-1934.6331755204362,-4570.411959920135,-3212.1005704566746,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_45_P"": -50, ""AC_50_CO"": -50}"
3,-184.32750568454415,3129.27570035563,7902.1225756663,790.21225756663,790.21225756663,1580.42451513326,0.274,-17424.35856266466,-33056.0660822029,-53077.08790183615,5677.0974414026405,-1926.7633619510102,-4540.417146350709,-3193.087418867558,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_50_CO"": -50, ""AC_50_P"": -50}"
4,-151.27253151388447,3623.804114704675,9771.497435600842,977.1497435600843,977.1497435600843,1954.2994871201686,0.283,-21358.530275197594,-40116.57929864348,-64141.80548220338,7267.396162103961,-2287.125559033644,-5490.905100313283,-3843.6269445735657,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_50_C"": -50, ""AC_50_CO"": -50}"
5,-153.97329102205362,3463.804114704675,9610.323556557116,961.0323556557116,961.0323556557116,1922.0647113114233,0.274,-21018.530275197594,-39776.57929864348,-63801.80548220338,7107.396162103961,-2255.826318541813,-5408.605859821452,-3787.2690101295484,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_50_CO"": -50, ""AC_60_C"": -50}"
6,-79.27167369884701,3023.804114704675,8289.171051569449,828.9171051569449,828.9171051569449,1657.8342103138898,0.294,-18024.35856266466,-33656.0660822029,-53677.08790183615,6667.396162103961,-1881.7075299653131,-4585.361314365012,-3197.384010677018,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_50_CO"": -50}"
7,-7.0700563756402985,2581.304114704675,6982.532275362397,698.2532275362397,698.2532275362397,1396.5064550724794,0.323,-15032.68685013173,-27538.052865762325,-43554.87032146892,6224.896162103961,-1510.3387413888133,-3765.241768908573,-2611.0996976635197,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_50_CO"": -50, ""AC_60_C"": 50}"
8,-9.77081588380941,2421.304114704675,6814.50142170833,681.450142170833,681.450142170833,1362.900284341666,0.315,-14692.68685013173,-27198.052865762325,-43214.87032146892,6064.896162103961,-1479.0395008969826,-3682.942528416742,-2554.398914488985,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_50_C"": 50, ""AC_50_CO"": -50}"
9,23.284158286850346,2945.7459113169402,8714.592566085576,871.4592566085576,871.4592566085576,1742.918513217115,0.321,-18626.85856266466,-34258.5660822029,-54279.58790183615,7976.322036118872,-1839.4016979796158,-4633.4304823793145,-3206.474254417127,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_50_CO"": -50, ""AC_50_P"": 50}"
10,16.40397185627633,2843.2459113169402,8631.813949855092,863.1813949855092,863.1813949855092,1726.3627899710184,0.319,-18479.35856266466,-34111.0660822029,-54132.08790183615,7873.822036118871,-1831.5318844101898,-4603.435668809889,-3187.0905100361774,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_45_P"": 50, ""AC_50_CO"": -50}"
