run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
1,-424.15894758794667,2428.0594743819674,7676.9172262573575,767.6917226257358,767.6917226257358,1535.3834452514716,0.267,-14726.022837084953,-33774.96791088945,-65207.67448354013,4189.3436052998895,-1896.761231296442,-4105.664656859185,-3016.9082344635576,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_45_P"": -50, ""AC_50_CO"": -50, ""AC_50_P"": -50}",-200,-500,-50,-50,0,0,-50,-50,-50,-50,0,0
2,-400.08560668089336,3984.4811699976854,9529.577154092407,952.9577154092407,952.9577154092407,1905.9154308184814,0.281,-18276.027404501943,-41134.76149306734,-78854.00938024816,5607.432225010934,-2227.688347131088,-4969.09245780638,-3617.968575060805,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_45_P"": -50, ""AC_50_C"": -50, ""AC_50_CO"": -50}",-200,-500,-50,-50,0,0,-50,-50,-50,0,-50,0
3,-399.3796352423706,3824.4811699976854,9379.640909447053,937.9640909447053,937.9640909447053,1875.9281818894106,0.271,-17936.027404501943,-40794.76149306734,-78514.00938024816,5447.432225010934,-2192.9823756925653,-4883.386486367856,-3558.765791390015,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_45_P"": -50, ""AC_50_CO"": -50, ""AC_60_C"": -50}",-200,-500,-50,-50,0,0,-50,-50,-50,0,0,-50
4,-316.3932683149505,3384.4811699976854,7984.810451792956,798.4810451792956,798.4810451792956,1596.9620903585912,0.284,-15326.022837084953,-34374.96791088945,-65807.67448354013,5007.432225010934,-1848.995552023446,-4147.898977586188,-3014.5372164673413,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_45_P"": -50, ""AC_50_CO"": -50}",-200,-500,-50,-50,0,0,-50,-50,-50,0,0,0
5,-235.90690138753027,2941.9811699976854,6597.023595291496,659.7023595291496,659.7023595291496,1319.4047190582992,0.296,-12718.51826966796,-27957.67432871156,-53103.8395868321,4564.932225010934,-1507.7587283543264,-3415.53646880452,-2473.5358216022987,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_45_P"": -50, ""AC_50_CO"": -50, ""AC_60_C"": 50}",-200,-500,-50,-50,0,0,-50,-50,-50,0,0,50
6,-235.2009299490076,2781.9811699976854,6441.905700328005,644.1905700328005,644.1905700328005,1288.381140065601,0.286,-12378.51826966796,-27617.674328711564,-52763.8395868321,4404.932225010934,-1473.0527569158037,-3329.830497365998,-2414.073955415602,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_45_P"": -50, ""AC_50_C"": 50, ""AC_50_CO"": -50}",-200,-500,-50,-50,0,0,-50,-50,-50,0,50,0
7,-211.1275890419542,3367.286384139399,8340.04146628822,834.0041466288219,834.0041466288219,1668.0082932576438,0.3,-15928.522837084953,-34977.46791088945,-66410.17448354013,5988.364450021867,-1803.9798727504497,-4193.258298313192,-3017.4080879191083,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_45_P"": -50, ""AC_50_CO"": -50, ""AC_50_P"": 50}",-200,-500,-50,-50,0,0,-50,-50,-50,50,0,0
8,-406.2161069768495,3881.9811699976854,9459.440132028045,945.9440132028045,945.9440132028045,1891.888026405609,0.277,-18128.527404501943,-40987.26149306734,-78706.50938024816,5504.932225010934,-2219.068847427044,-4938.347958102336,-3598.4672242535435,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_50_C"": -50, ""AC_50_CO"": -50, ""AC_50_P"": -50}",-200,-500,-50,-50,0,0,-50,-50,0,-50,-50,0
9,-405.5101355383268,3721.9811699976854,9311.026213225952,931.1026213225953,931.1026213225953,1862.2052426451905,0.268,-17788.527404501943,-40647.26149306734,-78366.50938024816,5344.932225010934,-2184.3628759885214,-4852.6419866638125,-3539.340556874916,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_50_CO"": -50, ""AC_50_P"": -50, ""AC_60_C"": -50}",-200,-500,-50,-50,0,0,-50,-50,0,-50,0,-50
10,-322.52376861090664,3281.9811699976854,7914.2552914767775,791.4255291476777,791.4255291476777,1582.8510582953554,0.282,-15178.522837084953,-34227.46791088945,-65660.17448354013,4904.932225010934,-1840.376052319402,-4117.154477882144,-2995.0149587474884,"{""AC"": -200, ""AC_35_P"": -50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -500, ""AC_50_CO"": -50, ""AC_50_P"": -50}",-200,-500,-50,-50,0,0,-50,-50,0,-50,0,0
