run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,score_aggressive,score_balanced,score_safe,score_mean_only,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
1,258.89144402178016,68.3972788095781,1701.3411995453541,170.1341199545354,170.1341199545354,340.2682399090708,0.48,-2549.65888049307,-3640.70666808421,-5503.730440376876,3865.789065464963,3.925555972473177,-378.5232761014873,-208.624448029448,88.87497000849282,-208.624448029448,-548.6573960560227,258.89144402178016,"{""AC"": -85, ""AC_35_P"": 50, ""AC_40_BP"": -40, ""AC_45_KO"": -280, ""AC_50_C"": 45, ""AC_50_CO"": -24, ""AC_50_C_2"": 30, ""AC_50_P_2"": 24, ""AC_60_C"": 31}",-85,-280,-40,-24,30,24,50,0,0,0,45,31
2,308.2571065732584,-29.856932912503567,1596.7220743334183,159.67220743334184,159.67220743334184,319.3444148666837,0.506,-1076.5429375989147,-2257.935624002101,-4090.6451584379265,10052.617494229835,200.60281281336694,39.12137217352972,66.93956221675029,214.5119078349772,66.93956221675029,-120.55083525981212,308.2571065732584,"{""AC"": -30, ""AC_35_P"": 50, ""AC_40_BP"": -36, ""AC_45_KO"": -310, ""AC_50_C"": 46, ""AC_50_CO"": -4, ""AC_50_C_2"": 20, ""AC_50_P_2"": 22, ""AC_60_C"": 38}",-30,-310,-36,-4,20,22,50,0,0,0,46,38
3,294.59120444519436,5.8482690489778975,1445.638090775844,144.56380907758438,144.56380907758438,289.12761815516876,0.498,-1778.7155468183068,-2299.0977570038167,-3201.729004790257,3742.893577123737,116.71964976336366,-150.08768225938235,-44.498032116343865,169.5144748348829,-44.498032116343865,-294.6514913369667,294.59120444519436,"{""AC"": -70, ""AC_35_P"": 48, ""AC_40_BP"": -28, ""AC_45_KO"": -270, ""AC_50_C"": 46, ""AC_50_CO"": -20, ""AC_50_C_2"": 32, ""AC_50_P_2"": 38, ""AC_60_C"": 27}",-70,-270,-28,-20,32,38,48,0,0,0,46,27
4,327.02539666926174,88.52588034889231,1253.316903859834,125.33169038598339,125.33169038598339,250.66338077196679,0.47,-1158.5155025739543,-2134.8375322905154,-3870.554561150291,6052.241519929887,211.1738464118663,37.396521025773154,90.5822260901769,237.7666989440682,90.5822260901769,-87.93516936021024,327.02539666926174,"{""AC"": -55, ""AC_35_P"": 50, ""AC_40_BP"": -38, ""AC_45_KO"": -330, ""AC_50_C"": 46, ""AC_50_CO"": -6, ""AC_50_C_2"": 40, ""AC_50_P_2"": 24, ""AC_60_C"": 23}",-55,-330,-38,-6,40,24,50,0,0,0,46,23
5,218.3074813285684,1.0971611605138492,1098.0611532838298,109.80611532838297,109.80611532838297,219.61223065676595,0.5,-792.3500336863992,-1845.9763250198343,-3476.4981028635916,6956.289183825377,139.07247795992848,20.219972906968593,44.55191861141703,151.2384508121527,44.55191861141703,-89.58614242141438,218.3074813285684,"{""AC"": -30, ""AC_35_P"": 37, ""AC_40_BP"": -44, ""AC_45_KO"": -290, ""AC_50_C"": 44, ""AC_50_CO"": -14, ""AC_50_C_2"": 30, ""AC_50_P_2"": 16, ""AC_60_C"": 21}",-30,-290,-44,-14,30,16,37,0,0,0,44,21
6,297.37707961147987,82.43695131625503,1121.2943518370416,112.12943518370416,112.12943518370416,224.25887036740832,0.478,-988.001819251391,-1951.451219416042,-3505.8562226989416,5340.638971709168,198.57689768634077,50.37662479863212,93.11208913191913,219.9446298529843,93.11208913191913,-61.75281038507204,297.37707961147987,"{""AC"": -50, ""AC_35_P"": 48, ""AC_40_BP"": -34, ""AC_45_KO"": -300, ""AC_50_C"": 45, ""AC_50_CO"": -14, ""AC_50_C_2"": 34, ""AC_50_P_2"": 30, ""AC_60_C"": 28}",-50,-300,-34,-14,34,30,48,0,0,0,45,28
7,295.2028520881936,82.11649984346934,1196.1052854960908,119.61052854960909,119.61052854960909,239.22105709921817,0.478,-971.7864417527331,-1880.5420925652393,-3468.1557401003106,7375.151926926192,198.02420791292028,52.25624165001031,89.62962155047909,216.71089786315466,89.62962155047909,-67.35428689959878,295.2028520881936,"{""AC"": -50, ""AC_35_P"": 50, ""AC_40_BP"": -38, ""AC_45_KO"": -300, ""AC_50_C"": 50, ""AC_50_CO"": -22, ""AC_50_C_2"": 46, ""AC_50_P_2"": 24, ""AC_60_C"": 32}",-50,-300,-38,-22,46,24,50,0,0,0,50,32
8,311.8132873473152,54.70637070427205,1314.4396600093248,131.44396600093248,131.44396600093248,262.88793200186495,0.492,-1488.0835496548314,-1694.3516678397618,-3088.2761183478387,3725.0251870759002,163.00493238183208,-60.207600066392615,22.878771898624294,204.54811836434052,22.878771898624294,-191.6515660673251,311.8132873473152,"{""AC"": -75, ""AC_35_P"": 40, ""AC_40_BP"": -34, ""AC_45_KO"": -290, ""AC_50_C"": 42, ""AC_50_CO"": -4, ""AC_50_C_2"": 38, ""AC_50_P_2"": 14, ""AC_60_C"": 32}",-75,-290,-34,-4,38,14,40,0,0,0,42,32
9,269.3027189504119,74.93920361007923,1029.7795893927066,102.97795893927066,102.97795893927066,205.95591787854133,0.47,-930.7999283744588,-1820.7252284098427,-3215.659878677139,4399.424889947415,176.22272611296597,36.60273685679718,78.19375022460773,197.01823279687125,78.19375022460773,-66.37522208247348,269.3027189504119,"{""AC"": -55, ""AC_35_P"": 47, ""AC_40_BP"": -32, ""AC_45_KO"": -290, ""AC_50_C"": 50, ""AC_50_CO"": -14, ""AC_50_C_2"": 30, ""AC_50_P_2"": 18, ""AC_60_C"": 25}",-55,-290,-32,-14,30,18,47,0,0,0,50,25
10,308.554026831131,80.5640761867893,1251.3297162636818,125.13297162636817,125.13297162636817,250.26594325273635,0.464,-1134.918299746106,-1629.8115442689364,-2835.3093092417707,7496.959382515195,195.06219685652042,24.824451894604522,75.74979605603103,220.52486893723366,75.74979605603103,-100.30851973176365,308.554026831131,"{""AC"": -50, ""AC_35_P"": 49, ""AC_40_BP"": -32, ""AC_45_KO"": -230, ""AC_50_C"": 37, ""AC_50_CO"": -6, ""AC_50_C_2"": 40, ""AC_50_P_2"": 12, ""AC_60_C"": 37}",-50,-230,-32,-6,40,12,49,0,0,0,37,37
11,288.83620608868614,69.97951439055109,1094.1099825864192,109.41099825864191,109.41099825864191,218.82199651728382,0.482,-970.7221756236579,-1866.990728151044,-3471.5872770461638,5797.975908436803,191.76398852632036,46.155662182771664,88.52238061581652,212.94734774284277,88.52238061581652,-63.25533607587025,288.83620608868614,"{""AC"": -45, ""AC_35_P"": 49, ""AC_40_BP"": -32, ""AC_45_KO"": -300, ""AC_50_C"": 38, ""AC_50_CO"": -22, ""AC_50_C_2"": 38, ""AC_50_P_2"": 36, ""AC_60_C"": 37}",-45,-300,-32,-22,38,36,49,0,0,0,38,37
12,256.9863434706232,59.93986067589134,960.827863493921,96.0827863493921,96.0827863493921,192.1655726987842,0.476,-901.173517727504,-1484.7960043584908,-2875.570292168999,4700.192540416514,166.8689916978728,31.692964038747192,73.76892263680153,187.90697099689996,73.76892263680153,-64.3898223106449,256.9863434706232,"{""AC"": -60, ""AC_35_P"": 38, ""AC_40_BP"": -46, ""AC_45_KO"": -260, ""AC_50_C"": 47, ""AC_50_CO"": -22, ""AC_50_C_2"": 34, ""AC_50_P_2"": 22, ""AC_60_C"": 39}",-60,-260,-46,-22,34,22,38,0,0,0,47,39
13,299.89118185322246,69.04984956604721,1147.5151759552862,114.75151759552861,114.75151759552861,229.50303519105722,0.478,-1033.1285436502064,-1925.6912810324568,-3384.394114004499,5130.180815805088,196.5783274882018,41.60904594067085,87.5461415079272,219.54687527182998,87.5461415079272,-73.14247165485776,299.89118185322246,"{""AC"": -60, ""AC_35_P"": 50, ""AC_40_BP"": -34, ""AC_45_KO"": -300, ""AC_50_C"": 49, ""AC_50_CO"": -18, ""AC_50_C_2"": 26, ""AC_50_P_2"": 24, ""AC_60_C"": 46}",-60,-300,-34,-18,26,24,50,0,0,0,49,46
14,273.1902155265862,95.31444471597044,1116.0616095404453,111.60616095404453,111.60616095404453,223.21232190808905,0.472,-994.3771062090801,-1658.7683628821394,-3086.665169464379,6720.034573585579,173.75250490567817,24.59593897431617,68.23056911820191,195.56981997762105,68.23056911820191,-87.01022197972836,273.1902155265862,"{""AC"": -55, ""AC_35_P"": 42, ""AC_40_BP"": -36, ""AC_45_KO"": -270, ""AC_50_C"": 44, ""AC_50_CO"": -20, ""AC_50_C_2"": 50, ""AC_50_P_2"": 16, ""AC_60_C"": 32}",-55,-270,-36,-20,50,16,42,0,0,0,44,32
15,321.32779218334696,4.5210980582851334,1359.529452847821,135.9529452847821,135.9529452847821,271.9058905695642,0.498,-1471.2920020966617,-1674.3831443775541,-3072.8027088379076,3521.8466400040325,174.19859197368078,-46.495208340818465,32.65751922645667,213.77495575731834,32.65751922645667,-182.44815362560055,321.32779218334696,"{""AC"": -75, ""AC_35_P"": 45, ""AC_40_BP"": -26, ""AC_45_KO"": -290, ""AC_50_C"": 44, ""AC_50_CO"": -12, ""AC_50_C_2"": 34, ""AC_50_P_2"": 24, ""AC_60_C"": 41}",-75,-290,-26,-12,34,24,45,0,0,0,44,41
