run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,score_aggressive,score_balanced,score_safe,score_mean_only,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
1010,375.6371179627539,93.36270098999626,1404.6670796602093,140.46670796602092,140.46670796602092,280.93341593204184,0.47,-1327.8381848153142,-1903.9884844978294,-3586.5015222873167,6932.449887950173,242.85329948122248,43.67757175892535,106.22803625744632,274.12853173048296,106.22803625744632,-96.78913620709557,375.6371179627539,"{""AC"": -65, ""AC_35_P"": 49, ""AC_40_BP"": -48, ""AC_45_KO"": -290, ""AC_50_C"": 46, ""AC_50_CO"": -10, ""AC_50_C_2"": 44, ""AC_50_P_2"": 36, ""AC_60_C"": 41}",-65,-290,-48,-10,44,36,49,0,0,0,46,41
170,368.4682993250284,47.96186328040244,1449.8639413273752,144.98639413273753,144.98639413273753,289.97278826547506,0.492,-1265.3120109144145,-2057.662630390339,-3714.9301072069325,8548.184997817993,241.93709823358694,52.140296596424776,106.17830062149747,268.95610024612324,106.17830062149747,-92.84609753631275,368.4682993250284,"{""AC"": -55, ""AC_35_P"": 49, ""AC_40_BP"": -48, ""AC_45_KO"": -290, ""AC_50_C"": 43, ""AC_50_CO"": -12, ""AC_50_C_2"": 42, ""AC_50_P_2"": 36, ""AC_60_C"": 49}",-55,-290,-48,-12,42,36,49,0,0,0,43,49
115,350.751326108912,62.733769406884335,1323.6714843892291,132.36714843892292,132.36714843892292,264.73429687784585,0.484,-1191.630109531038,-2128.325939037536,-3821.3715123735233,6447.681834294479,231.58831515580817,52.8437987261525,105.82323545979483,258.07803352262937,105.82323545979483,-79.52334971277043,350.751326108912,"{""AC"": -60, ""AC_35_P"": 50, ""AC_40_BP"": -40, ""AC_45_KO"": -320, ""AC_50_C"": 48, ""AC_50_CO"": -18, ""AC_50_C_2"": 34, ""AC_50_P_2"": 40, ""AC_60_C"": 49}",-60,-320,-40,-18,34,40,50,0,0,0,48,49
975,360.90713059370745,71.37632899619882,1457.1611994077605,145.71611994077605,145.71611994077605,291.4322398815521,0.49,-1218.908466515791,-2268.4951349136904,-4147.194446885394,8209.99899581256,239.01628394212835,56.18001396475972,105.2128006459508,263.5326772827239,105.2128006459508,-89.53610597601633,360.90713059370745,"{""AC"": -45, ""AC_35_P"": 50, ""AC_40_BP"": -40, ""AC_45_KO"": -320, ""AC_50_C"": 45, ""AC_50_CO"": -4, ""AC_50_C_2"": 34, ""AC_50_P_2"": 36, ""AC_60_C"": 34}",-45,-320,-40,-4,34,36,50,0,0,0,45,34
652,339.6486282936557,75.35382986267098,1346.9871719460248,134.69871719460247,134.69871719460247,269.39743438920493,0.492,-1115.7665866095356,-1968.2654762183856,-3501.7470584301645,7841.563163338747,228.07196963270212,60.706981641271796,104.93428170492413,250.1856196645283,104.93428170492413,-73.99173555333067,339.6486282936557,"{""AC"": -40, ""AC_35_P"": 50, ""AC_40_BP"": -38, ""AC_45_KO"": -260, ""AC_50_C"": 43, ""AC_50_CO"": -10, ""AC_50_C_2"": 36, ""AC_50_P_2"": 40, ""AC_60_C"": 32}",-40,-260,-38,-10,36,40,50,0,0,0,43,32
1949,421.06414758389246,138.4626396857875,1627.2364803843643,162.72364803843644,162.72364803843644,325.4472960768729,0.47,-1566.1955574161373,-2260.2107987786762,-4010.832101636479,8381.91203679401,264.4445918422787,29.515258229858148,104.77298995225367,302.07345770347644,104.77298995225367,-133.2083898085783,421.06414758389246,"{""AC"": -65, ""AC_35_P"": 50, ""AC_40_BP"": -42, ""AC_45_KO"": -310, ""AC_50_C"": 49, ""AC_50_CO"": 4, ""AC_50_C_2"": 44, ""AC_50_P_2"": 32, ""AC_60_C"": 35}",-65,-310,-42,4,44,32,50,0,0,0,49,35
1554,365.9357589414208,88.6051322860277,1492.7199613897264,149.27199613897264,149.27199613897264,298.5439922779453,0.488,-1246.5810871543536,-2334.024383525534,-4103.748910742548,8986.367856593584,241.2776502259854,54.290487152832384,104.31259779878143,266.28870554895997,104.31259779878143,-94.98150898614026,365.9357589414208,"{""AC"": -50, ""AC_35_P"": 50, ""AC_40_BP"": -36, ""AC_45_KO"": -330, ""AC_50_C"": 47, ""AC_50_CO"": -16, ""AC_50_C_2"": 42, ""AC_50_P_2"": 40, ""AC_60_C"": 47}",-50,-330,-36,-16,42,40,50,0,0,0,47,47
823,363.4839597930086,73.34296543815606,1473.5991283077278,147.35991283077277,147.35991283077277,294.71982566154554,0.488,-1239.022244561216,-2116.6124102273975,-3864.0708008209913,9023.804687263115,239.581735336887,53.728398652704584,103.95066669343981,264.69286935725455,103.95066669343981,-93.63151417806819,363.4839597930086,"{""AC"": -45, ""AC_35_P"": 50, ""AC_40_BP"": -34, ""AC_45_KO"": -300, ""AC_50_C"": 50, ""AC_50_CO"": -12, ""AC_50_C_2"": 48, ""AC_50_P_2"": 40, ""AC_60_C"": 28}",-45,-300,-34,-12,48,40,50,0,0,0,50,28
1123,364.1100461000293,73.84443157449746,1537.3215941104502,153.73215941104502,153.73215941104502,307.46431882209004,0.49,-1224.0212594489078,-2164.7272262140964,-3934.555036148351,9628.072040603729,241.70792015513854,58.104731237802355,103.64077747717064,264.4759432748226,103.64077747717064,-95.62742817324266,364.1100461000293,"{""AC"": -50, ""AC_35_P"": 50, ""AC_40_BP"": -42, ""AC_45_KO"": -310, ""AC_50_C"": 49, ""AC_50_CO"": -16, ""AC_50_C_2"": 44, ""AC_50_P_2"": 36, ""AC_60_C"": 47}",-50,-310,-42,-16,44,36,50,0,0,0,49,47
755,358.7377010804852,80.40254679541727,1434.6945937681367,143.46945937681366,143.46945937681366,286.9389187536273,0.488,-1227.8577065324755,-2022.5591324918676,-3634.604703267455,8292.61530837287,235.95193042723764,51.773274447366305,102.82431541220704,261.477450909658,102.82431541220704,-91.69618492944736,358.7377010804852,"{""AC"": -55, ""AC_35_P"": 48, ""AC_40_BP"": -48, ""AC_45_KO"": -280, ""AC_50_C"": 50, ""AC_50_CO"": -8, ""AC_50_C_2"": 36, ""AC_50_P_2"": 30, ""AC_60_C"": 42}",-55,-280,-48,-8,36,30,48,0,0,0,50,42
1699,377.2004691257273,68.32697187893382,1473.588371046317,147.3588371046317,147.3588371046317,294.7176742092634,0.476,-1338.1085536997036,-2189.046038501468,-3959.1050361483503,8292.19846427695,243.38961375575693,42.67333070080139,102.8047675184559,273.4553321645842,102.8047675184559,-104.68550640383032,377.2004691257273,"{""AC"": -50, ""AC_35_P"": 48, ""AC_40_BP"": -32, ""AC_45_KO"": -310, ""AC_50_C"": 46, ""AC_50_CO"": -6, ""AC_50_C_2"": 44, ""AC_50_P_2"": 40, ""AC_60_C"": 31}",-50,-310,-32,-6,44,40,48,0,0,0,46,31
580,344.4548687620782,43.46542219674154,1323.0591011662084,132.30591011662085,132.30591011662085,264.6118202332417,0.49,-1171.5913510086052,-2134.4275054489394,-4175.143971887335,4413.438462464474,227.2957336612177,51.5570310099269,102.56321105247702,252.7988236824927,102.56321105247702,-80.74887910669395,344.4548687620782,"{""AC"": -60, ""AC_35_P"": 50, ""AC_40_BP"": -48, ""AC_45_KO"": -350, ""AC_50_C"": 50, ""AC_50_CO"": -8, ""AC_50_C_2"": 30, ""AC_50_P_2"": 40, ""AC_60_C"": 26}",-60,-350,-48,-8,30,40,50,0,0,0,50,26
1626,342.44041207828184,81.94551178965673,1393.2817644550194,139.32817644550192,139.32817644550192,278.65635289100385,0.486,-1135.7793943630418,-2382.3228870082635,-4289.150430174034,8268.150100066381,228.86247264197766,58.495563487521395,102.40941470107461,250.81939824875428,102.40941470107461,-80.83261295798053,342.44041207828184,"{""AC"": -45, ""AC_35_P"": 49, ""AC_40_BP"": -38, ""AC_45_KO"": -350, ""AC_50_C"": 45, ""AC_50_CO"": -14, ""AC_50_C_2"": 40, ""AC_50_P_2"": 38, ""AC_60_C"": 38}",-45,-350,-38,-14,40,38,49,0,0,0,45,38
1903,374.2170941667154,84.43786576976652,1636.2478007031202,163.62478007031203,163.62478007031203,327.24956014062406,0.482,-1267.0033441456924,-2553.188410830433,-4584.529015093651,10029.926649408415,247.51675975214619,57.46625813029232,102.35420250970556,269.96073194185277,102.35420250970556,-106.15852194001971,374.2170941667154,"{""AC"": -45, ""AC_35_P"": 50, ""AC_40_BP"": -40, ""AC_45_KO"": -360, ""AC_50_C"": 48, ""AC_50_CO"": -8, ""AC_50_C_2"": 38, ""AC_50_P_2"": 36, ""AC_60_C"": 43}",-45,-360,-40,-8,38,36,50,0,0,0,48,43
63,390.5403536882516,113.52686007262264,1504.232654754873,150.4232654754873,150.4232654754873,300.8465309509746,0.476,-1421.7251289032504,-2044.0467368539814,-3612.3704679400953,8111.944386324909,248.3678407979266,35.10907146243903,102.06995161502041,281.84828087421727,102.06995161502041,-115.31419401304828,390.5403536882516,"{""AC"": -60, ""AC_35_P"": 49, ""AC_40_BP"": -36, ""AC_45_KO"": -280, ""AC_50_C"": 50, ""AC_50_CO"": -8, ""AC_50_C_2"": 40, ""AC_50_P_2"": 38, ""AC_60_C"": 43}",-60,-280,-36,-8,40,38,49,0,0,0,50,43
