run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,score_aggressive,score_balanced,score_safe,score_mean_only,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
1,-328.7158276974128,575.6021435217579,2529.931391946869,252.9931391946869,252.9931391946869,505.9862783893738,0.288,-4431.711516293469,-12558.229717325665,-20949.202978072644,1072.1812951647494,-771.8869793267597,-1436.64370677078,-1119.9691247387766,-613.549688310758,-1119.9691247387766,-1689.6368459654668,-328.7158276974128,"{""AC"": -10, ""AC_35_P"": -15, ""AC_40_BP"": 16, ""AC_40_P"": 1, ""AC_45_KO"": -300, ""AC_45_P"": -6, ""AC_50_C"": -7, ""AC_50_CO"": -10, ""AC_50_C_2"": -50}",-10,-300,16,-10,-50,0,-15,1,-6,0,-7,0
2,134.26853268732557,980.0142585871786,5679.9825278003045,567.9982527800305,567.9982527800305,1135.996505560061,0.408,-9501.586996510152,-19553.960438106307,-32867.412799645455,8362.305764174444,-815.8901669636897,-2241.1282164402123,-1574.9686431792124,-482.8103803331897,-1574.9686431792124,-2809.126469220243,134.26853268732557,"{""AC"": -200, ""AC_35_P"": 20, ""AC_40_BP"": -46, ""AC_40_P"": -9, ""AC_45_KO"": -290, ""AC_50_C"": 31, ""AC_50_CO"": 9, ""AC_50_C_2"": 50, ""AC_60_C"": 37}",-200,-290,-46,9,50,0,20,-9,0,0,31,37
3,105.64009243522311,14.69614165814744,524.9761802356402,52.497618023564016,52.497618023564016,104.99523604712803,0.488,-313.35351643246304,-1982.5951922818062,-2519.7177343161475,2045.4859501550163,74.3047407919768,27.30171332710735,32.38825595857165,76.84801210770895,32.38825595857165,-25.195904696456665,105.64009243522311,"{""AC"": -35, ""AC_35_P"": 27, ""AC_40_BP"": -37, ""AC_40_P"": -3, ""AC_45_KO"": -260, ""AC_50_C"": 39, ""AC_50_CO"": -13, ""AC_50_P_2"": 3, ""AC_60_C"": 16}",-35,-260,-37,-13,0,3,27,-3,0,0,39,16
4,145.88917335970544,724.5835391955944,4676.908044747004,467.6908044747004,467.6908044747004,935.3816089494009,0.432,-7625.792946851731,-15219.256943247261,-25257.340976862775,7298.618614514292,-616.6901213254678,-1760.5590633532274,-1231.8251709054045,-352.3231751015563,-1231.8251709054045,-2228.249867827928,145.88917335970544,"{""AC"": -170, ""AC_35_P"": 23, ""AC_40_BP"": -3, ""AC_45_KO"": -500, ""AC_45_P"": -4, ""AC_50_C"": 30, ""AC_50_CO"": 1, ""AC_50_C_2"": 38, ""AC_60_C"": 46}",-170,-500,-3,1,38,0,23,0,-4,0,30,46
5,-82.72846021817287,742.4579371125033,4154.926792132434,415.4926792132434,415.4926792132434,830.9853584264868,0.374,-7250.9106100469035,-17095.290606145925,-28785.32827324448,4695.671168708574,-807.8195212228632,-1895.4561127298987,-1378.11139133183,-549.1471605238289,-1378.11139133183,-2310.948791943142,-82.72846021817287,"{""AC"": -70, ""AC_40_BP"": -23, ""AC_40_P"": 21, ""AC_45_KO"": -90, ""AC_45_P"": 2, ""AC_50_C"": -5, ""AC_50_CO"": -23, ""AC_50_P"": 44, ""AC_60_C"": 16}",-70,-90,-23,-23,0,0,0,21,2,44,-5,16
6,334.7733444619768,178.40428572285566,3956.8707864491103,395.687078644911,395.687078644911,791.374157289822,0.47,-5506.569797066708,-10128.676357581762,-16298.122387285846,8067.365195693841,-215.88363524469395,-1041.8691048047,-689.0556644204848,-39.47691505258632,-689.0556644204848,-1437.5561834496111,334.7733444619768,"{""AC"": -165, ""AC_35_P"": 50, ""AC_40_BP"": -32, ""AC_45_KO"": -480, ""AC_50_C"": 43, ""AC_50_CO"": 14, ""AC_50_C_2"": 38, ""AC_50_P"": 4, ""AC_60_C"": 46}",-165,-480,-32,14,38,0,50,0,0,4,43,46
7,525.1057383562294,-2960.3825864929663,10458.203378478416,1045.8203378478415,1045.8203378478415,2091.640675695683,0.674,-6853.195318647016,-7826.277540030769,-8205.285352892519,79112.79046691599,-160.21379350847235,-1188.1930913055248,-1025.7837283647436,-79.00911203808187,-1025.7837283647436,-2234.0134291533664,525.1057383562294,"{""AC"": 190, ""AC_35_P"": 12, ""AC_40_BP"": 12, ""AC_45_KO"": -170, ""AC_45_P"": 40, ""AC_50_CO"": 11, ""AC_50_C_2"": -7, ""AC_50_P_2"": -33, ""AC_60_C"": 34}",190,-170,12,11,-7,-33,12,0,40,0,0,34
8,255.16886807057452,550.6657267419719,5475.6559190134085,547.5655919013409,547.5655919013409,1095.1311838026818,0.444,-8545.329091902664,-16802.92067971653,-27865.262334813364,9556.28648866467,-599.3640411196919,-1881.1634049050915,-1300.4132916654953,-308.98898449989395,-1300.4132916654953,-2428.7289968064324,255.16886807057452,"{""AC"": -200, ""AC_35_P"": 47, ""AC_40_BP"": -48, ""AC_40_P"": 2, ""AC_45_KO"": -460, ""AC_50_C"": 34, ""AC_50_CO"": 16, ""AC_50_C_2"": 39, ""AC_60_C"": 50}",-200,-460,-48,16,39,0,47,2,0,0,34,50
9,-490.69017777544343,1227.3209202692378,5575.590151069444,557.5590151069443,557.5590151069443,1115.1180302138887,0.286,-9697.852345258998,-27916.364255363012,-45638.53787032947,3730.7506353117733,-1460.475412301343,-2915.153264090193,-2224.1475371177653,-1114.9725488151294,-2224.1475371177653,-3472.712279197137,-490.69017777544343,"{""AC"": -60, ""AC_35_P"": 15, ""AC_40_BP"": -19, ""AC_45_KO"": -130, ""AC_50_CO"": -21, ""AC_50_C_2"": -37, ""AC_50_P"": 10, ""AC_50_P_2"": -24, ""AC_60_C"": -29}",-60,-130,-19,-21,-37,-24,15,0,0,10,0,-29
10,131.10271597038926,441.7290172776166,2862.2803908437645,286.22803908437646,286.22803908437646,572.4560781687529,0.396,-4551.624295767468,-9752.779001961451,-16561.626052853742,4689.24217347068,-324.0597136063575,-1006.8033579714777,-694.754947936919,-168.03550858907823,-694.754947936919,-1293.031397055854,131.10271597038926,"{""AC"": -110, ""AC_35_P"": 33, ""AC_40_BP"": -49, ""AC_40_P"": -12, ""AC_45_KO"": -190, ""AC_50_C"": 26, ""AC_50_CO"": 4, ""AC_50_C_2"": 40, ""AC_60_C"": 12}",-110,-190,-49,4,40,0,33,-12,0,0,26,12
