run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,score_aggressive,score_balanced,score_safe,score_mean_only,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
1,263.378533647162,125.60040159069928,2332.1134030266094,233.21134030266094,233.21134030266094,466.4226806053219,0.4736,-3238.809548551039,-5597.301888891272,-15345.615175448169,5285.159306649381,-60.50242120794195,-546.3238534905977,-339.04856878682426,43.13522114394478,-339.04856878682426,-779.5351937932586,263.378533647162,"{""AC"": -115, ""AC_35_P"": 29, ""AC_40_BP"": -37, ""AC_45_KO"": -320, ""AC_50_C"": 36, ""AC_50_CO"": 3, ""AC_50_C_2"": 35, ""AC_50_P_2"": 3, ""AC_60_C"": 36}",-115,-320,-37,3,35,3,29,0,0,0,36,36
2,316.13043920593617,101.842946919322,3298.983498339754,329.89834983397543,329.89834983397543,659.7966996679509,0.4856,-4586.581793985158,-8169.109566472705,-21984.12549879276,7362.4400486628665,-142.52774019257964,-830.5150092903532,-536.8060048088252,4.326762048184406,-536.8060048088252,-1160.4133591243285,316.13043920593617,"{""AC"": -140, ""AC_35_P"": 43, ""AC_40_BP"": -50, ""AC_40_P"": 13, ""AC_45_KO"": -270, ""AC_50_C"": 31, ""AC_50_CO"": 11, ""AC_50_C_2"": 23, ""AC_60_C"": 50}",-140,-270,-50,11,23,0,43,13,0,0,31,50
3,305.56079468411144,674.4131071624502,5430.780081129187,543.0780081129187,543.0780081129187,1086.1560162258374,0.4386,-8498.357933736792,-17087.85112512889,-52057.133288822915,9955.930110136878,-544.2749986895678,-1819.0286887500865,-1240.7318994328666,-255.12660403095788,-1240.7318994328666,-2362.1066968630053,305.56079468411144,"{""AC"": -200, ""AC_35_P"": 50, ""AC_40_BP"": -50, ""AC_45_KO"": -490, ""AC_50_C"": 25, ""AC_50_CO"": 16, ""AC_50_C_2"": 43, ""AC_50_P"": -3, ""AC_60_C"": 50}",-200,-490,-50,16,43,0,50,0,0,-3,25,50
4,-50.565993467610014,857.2407423486752,3069.1251367088144,306.9125136708814,306.9125136708814,613.8250273417628,0.3364,-5629.006070931132,-12496.158328923044,-45932.55599464762,3300.2385016426706,-613.4666005607232,-1457.817511200393,-1048.3731609427205,-408.744425431887,-1048.3731609427205,-1764.7300248712745,-50.565993467610014,"{""AC"": -75, ""AC_40_BP"": -24, ""AC_40_P"": 4, ""AC_45_KO"": -60, ""AC_45_P"": -5, ""AC_50_CO"": -17, ""AC_50_C_2"": -2, ""AC_50_P_2"": 13, ""AC_60_C"": 22}",-75,-60,-24,-17,-2,13,0,4,-5,0,0,22
5,268.81262081828476,-62.35823408304094,1825.3401359749303,182.53401359749301,182.53401359749301,365.06802719498603,0.5182,-2237.098023177865,-3564.794629299835,-9492.970483667046,4707.14783554971,45.102818500498245,-290.46188497618147,-158.01908945714146,111.32421626001825,-158.01908945714146,-472.9958985736745,268.81262081828476,"{""AC"": -105, ""AC_35_P"": 50, ""AC_40_BP"": -44, ""AC_45_KO"": -240, ""AC_45_P"": -10, ""AC_50_C"": 50, ""AC_50_CO"": -2, ""AC_50_C_2"": 29, ""AC_60_C"": 32}",-105,-240,-44,-2,29,0,50,0,-10,0,50,32
6,147.12696798709865,-164.7935160073681,1023.8022991838208,102.38022991838207,102.38022991838207,204.76045983676414,0.5582,-1070.641198737362,-2458.2653471293993,-3423.8624001379494,2765.800986165911,40.06284811336245,-120.53333169724183,-64.65932678269668,67.99985057063503,-64.65932678269668,-222.9135616156239,147.12696798709865,"{""AC_35_P"": 9, ""AC_40_BP"": -47, ""AC_40_P"": 15, ""AC_45_KO"": -320, ""AC_45_P"": 12, ""AC_50_CO"": 3, ""AC_50_C_2"": -10, ""AC_50_P"": 46}",0,-320,-47,3,-10,0,9,15,12,46,0,0
7,176.52785388013055,-74.29604596192945,1992.623527251085,199.2623527251085,199.2623527251085,398.524705450217,0.5166,-2717.7219275101274,-5043.5260252909975,-16749.254130634246,4827.876434177551,-95.24433887088222,-502.9026279974013,-330.7616116089428,-9.173830676652962,-330.7616116089428,-702.1649807225098,176.52785388013055,"{""AC"": -30, ""AC_35_P"": 47, ""AC_40_BP"": -20, ""AC_40_P"": 27, ""AC_45_KO"": -210, ""AC_50_C"": -11, ""AC_50_CO"": 16, ""AC_50_P"": 2, ""AC_50_P_2"": 18}",-30,-210,-20,16,0,18,47,27,0,2,-11,0
8,195.49378189538496,749.089942172781,4918.631637678628,491.86316376786283,491.86316376786283,983.7263275357257,0.4362,-8196.589176315027,-16548.655123419954,-54695.07063972247,8295.419518437335,-624.1651357361178,-1853.6535121833717,-1279.9261764358005,-337.3014678623321,-1279.9261764358005,-2345.5166759512344,195.49378189538496,"{""AC"": -180, ""AC_35_P"": 27, ""AC_40_BP"": -50, ""AC_45_KO"": -490, ""AC_50_C"": 46, ""AC_50_CO"": 7, ""AC_50_C_2"": 22, ""AC_50_P"": -2, ""AC_60_C"": 28}",-180,-490,-50,7,22,0,27,0,0,-2,46,28
9,-330.24117948105885,-135.75020580914827,1695.9967561290257,169.59967561290256,169.59967561290256,339.1993512258051,0.535,-2386.726851108327,-7355.00039761308,-32452.741744725707,1364.1174840072179,-568.9138645918915,-926.9228922581406,-773.0500449537592,-491.97744093970084,-773.0500449537592,-1096.522567871043,-330.24117948105885,"{""AC"": 35, ""AC_40_BP"": -7, ""AC_40_P"": -35, ""AC_45_KO"": -180, ""AC_45_P"": -10, ""AC_50_C"": -38, ""AC_50_CO"": -4, ""AC_50_C_2"": -10, ""AC_60_C"": -39}",35,-180,-7,-4,-10,0,0,-35,-10,0,-38,-39
10,65.3547528778386,-694.5674072926454,2313.438132984705,231.3438132984705,231.3438132984705,462.687626596941,0.6412,-1743.6865059497948,-1902.8057523947266,-2043.8745005114713,36640.69758055142,-109.01389771714089,-370.56687360961007,-311.87012966386584,-79.66552574426876,-311.87012966386584,-601.9106869080806,65.3547528778386,"{""AC"": 30, ""AC_35_P"": 40, ""AC_40_BP"": 1, ""AC_45_KO"": -10, ""AC_45_P"": -50, ""AC_50_CO"": 11, ""AC_50_C_2"": 17, ""AC_50_P"": -4, ""AC_60_C"": 4}",30,-10,1,11,17,0,40,0,-50,-4,0,4
