run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,score_aggressive,score_balanced,score_safe,score_mean_only,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
43,287.7560750556997,7.084867385230069,1221.9898085110947,122.19898085110947,122.19898085110947,244.39796170221894,0.4996,-1129.7749999999999,-1814.9570690061873,-1924.108967075403,13015.61263495814,174.7785750556997,5.312325055699716,57.190334630144974,200.71757984292233,57.190334630144974,-116.88665579540975,287.7560750556997,"{""AC"": -5, ""AC_40_BP"": -40, ""AC_40_P"": 29, ""AC_45_KO"": -90, ""AC_45_P"": 36, ""AC_50_C"": 18, ""AC_50_CO"": 9, ""AC_50_P"": -5, ""AC_50_P_2"": 48}",-5,-90,-40,9,0,48,0,29,36,-5,18,0
94,361.6430771503837,-79.0193868709107,2326.8290885044394,232.68290885044394,232.68290885044394,465.3658177008879,0.527,-1306.4382019194582,-3599.368624035679,-6096.324534298761,44966.96612069629,230.99925695843788,35.033526670519166,49.33589243724302,238.15043984179982,49.33589243724302,-197.64938217992477,361.6430771503837,"{""AC"": -35, ""AC_35_P"": 44, ""AC_40_BP"": -29, ""AC_40_P"": -7, ""AC_45_KO"": -500, ""AC_50_C"": 43, ""AC_50_CO"": 12, ""AC_50_C_2"": 49, ""AC_60_C"": 17}",-35,-500,-29,12,49,0,44,-7,0,0,43,17
27,151.79206113531575,87.910062320468,795.0770366874233,79.50770366874232,79.50770366874232,159.01540733748465,0.461,-776.4652256351676,-1417.0966276121503,-2159.8632210181613,12886.172546236003,74.14553857179898,-42.32424527347615,-4.4315745443305445,93.09187393637177,-4.4315745443305445,-121.83194894221847,151.79206113531575,"{""AC"": -30, ""AC_40_BP"": -4, ""AC_40_P"": 5, ""AC_45_KO"": -180, ""AC_45_P"": -16, ""AC_50_CO"": 12, ""AC_50_C_2"": 5, ""AC_50_P_2"": 17, ""AC_60_C"": 36}",-30,-180,-4,12,5,17,0,5,-16,0,0,36
66,349.4973323354692,-17.22512397245299,1700.8055786004663,170.08055786004664,170.08055786004664,340.1611157200933,0.5042,-1859.097912474593,-2764.388768758288,-4412.939416274942,11633.561442774946,163.58754108800989,-115.27714578317904,-14.407633465743075,214.02229724672787,-14.407633465743075,-285.3577036432257,349.4973323354692,"{""AC"": -90, ""AC_35_P"": 38, ""AC_40_BP"": -42, ""AC_40_P"": 13, ""AC_45_KO"": -410, ""AC_50_C"": 46, ""AC_50_CO"": 8, ""AC_50_C_2"": 37, ""AC_60_C"": 30}",-90,-410,-42,8,37,0,38,13,0,0,46,30
13,164.3517627615464,-15.170566155125286,1414.532998131986,141.4532998131986,141.4532998131986,282.9065996263972,0.5098,-787.732073595668,-2439.093222367745,-3678.654974366824,25223.426510593796,85.5785554019796,-32.58125563737059,-24.534698184403084,89.60183412846335,-24.534698184403084,-174.0345554505692,164.3517627615464,"{""AC"": -5, ""AC_40_BP"": 12, ""AC_40_P"": 9, ""AC_45_KO"": -310, ""AC_45_P"": -5, ""AC_50_C"": 17, ""AC_50_CO"": 22, ""AC_50_C_2"": -2, ""AC_60_C"": 8}",-5,-310,12,22,-2,0,0,9,-5,0,17,8
98,366.4431749599535,161.07523970941375,1803.837357304934,180.38373573049338,180.38373573049338,360.76747146098677,0.4748,-2227.8620105575424,-2883.89398671215,-4368.969799993356,17988.17489566662,143.65697390419928,-190.52232767943207,-57.92799448892451,209.95414049945305,-57.92799448892451,-370.9060634099254,366.4431749599535,"{""AC"": -100, ""AC_35_P"": 32, ""AC_40_BP"": -26, ""AC_45_KO"": -310, ""AC_45_P"": -11, ""AC_50_C"": 39, ""AC_50_CO"": 20, ""AC_50_C_2"": 50, ""AC_60_C"": 36}",-100,-310,-26,20,50,0,32,0,-11,0,39,36
6,147.12696798709865,-164.7935160073681,1023.8022991838208,102.38022991838207,102.38022991838207,204.76045983676414,0.5582,-1070.641198737362,-2458.2653471293993,-3423.8624001379494,2765.800986165911,40.06284811336245,-120.53333169724183,-64.65932678269668,67.99985057063503,-64.65932678269668,-222.9135616156239,147.12696798709865,"{""AC_35_P"": 9, ""AC_40_BP"": -47, ""AC_40_P"": 15, ""AC_45_KO"": -320, ""AC_45_P"": 12, ""AC_50_CO"": 3, ""AC_50_C_2"": -10, ""AC_50_P"": 46}",0,-320,-47,3,-10,0,9,15,12,46,0,0
44,24.697545586983956,-91.55081658835293,649.3775260736952,64.93775260736952,64.93775260736952,129.87550521473904,0.6474,-445.08478574488555,-1982.1668068598622,-3719.785382174991,8777.279199995257,-19.8109329875046,-86.57365084923742,-74.53404857843363,-13.791131852102701,-74.53404857843363,-151.51140345660696,24.697545586983956,"{""AC"": -20, ""AC_35_P"": -15, ""AC_40_BP"": 11, ""AC_45_KO"": -390, ""AC_50_C"": 11, ""AC_50_CO"": -10, ""AC_50_C_2"": 25, ""AC_50_P"": -12, ""AC_60_C"": 15}",-20,-390,11,-10,25,0,-15,0,0,-12,11,15
54,64.45864909619219,121.85185917824803,601.2578882387539,60.125788823875396,60.125788823875396,120.25157764775079,0.4652,-878.7440150433883,-1357.915988234002,-2772.3154316863906,4062.6791120686994,-23.415752408146645,-155.2273546646549,-97.41584757225377,5.490001138053923,-97.41584757225377,-215.3531434885303,64.45864909619219,"{""AC"": -45, ""AC_40_BP"": 16, ""AC_45_KO"": -10, ""AC_45_P"": -28, ""AC_50_C"": 44, ""AC_50_CO"": 6, ""AC_50_C_2"": -15, ""AC_50_P_2"": 6, ""AC_60_C"": 9}",-45,-10,16,6,-15,6,0,0,-28,0,44,9
42,204.59745000473856,-127.82841716596377,1502.9863799456346,150.29863799456345,150.29863799456345,300.5972759891269,0.5214,-1526.6794980338814,-2140.6759413077625,-3327.9434618137684,3717.6524733395663,51.92950020135041,-177.07242450373178,-99.55379369762535,90.6888156044036,-99.55379369762535,-327.37106249829526,204.59745000473856,"{""AC"": -80, ""AC_40_BP"": -25, ""AC_40_P"": -3, ""AC_45_KO"": -260, ""AC_50_C"": 47, ""AC_50_CO"": 22, ""AC_50_P"": 12, ""AC_50_P_2"": -7, ""AC_60_C"": 11}",-80,-260,-25,22,0,-7,0,-3,0,12,47,11
