session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
0,13845.5,6967.0,6878.5,9,27,-83033.0,-127217.0,1.3558734392267344,0.994682411745861,0.6843281174972812,0.9963980620859231,0.6715453217294532,0.981641519649036
1,17028.0,7730.0,9298.0,10,14,-92270.0,-62088.0,1.757916600896166,0.994797949568697,0.7913793262377933,0.9983067602712837,0.9665372746583727,0.9849048731488594
2,15158.0,7571.0,7587.0,-2,0,27571.0,7587.0,1.4780216623357165,0.997587737239906,0.7326754519747545,0.9971123110320008,0.7453462103609622,0.9965753976262004
3,15382.25,8476.0,6906.25,3,31,-21524.0,-148458.0,1.5224447381664474,0.9957839871584636,0.8382880421828804,0.997928740366121,0.684156695983567,0.9849633512388097
4,15528.0,8145.0,7383.0,22,32,-211855.0,-153185.0,1.4794724716922247,0.9896436352416861,0.8227508677575087,0.9952497390327536,0.656721603934716,0.9703953896409058
5,14623.0,7383.0,7240.0,-3,36,37383.0,-171788.0,1.5025694982421949,0.9963612889787322,0.7667782604757826,0.9965856586160529,0.7357912377664124,0.9892006630257054
6,15511.0,8723.0,6788.0,23,30,-221277.0,-142927.0,1.5188587158070872,0.9967282534265566,0.8504349258743492,0.996303290585857,0.6684237899327379,0.9848218531904006
7,12887.0,6582.0,6305.0,27,10,-263418.0,-43885.0,1.2545483917734839,0.9978768930058491,0.6613263874332639,0.9972897736506408,0.59322200434022,0.991061143094624
8,15912.75,7485.0,8427.75,-8,29,87485.0,-135724.0,1.4901495262459952,0.9951913761024286,0.7186599551205995,0.9973887954724482,0.7714895711253957,0.9871955899662835
9,15979.0,8416.0,7563.0,1,-14,-1584.0,77199.0,1.6148074195580742,0.9962318403116651,0.8306287247842873,0.9965894037104527,0.784178694773787,0.9918113835241932
10,14010.25,7077.0,6933.25,-3,39,37077.0,-185639.0,1.3720382694208826,0.989030433028038,0.7049845741198457,0.996631677573236,0.667053695301037,0.9649613819379308
11,15188.75,8247.0,6941.75,-10,7,108247.0,-27808.0,1.413599792687998,0.991117779459114,0.794863196506632,0.9927195354508495,0.618736596181366,0.9829614679888452
12,13544.75,7933.0,5611.75,8,25,-72067.0,-117457.0,1.4409232653632327,0.9973003672255104,0.8288538166105381,0.9975757757975847,0.6120694487526945,0.988350393483769
13,14185.5,8282.0,5903.5,-18,-10,188282.0,56006.0,1.4054094583535945,0.9899496544143128,0.8519788287897883,0.9968270352761498,0.5534306295638063,0.9460532182151628
14,13982.0,7458.0,6524.0,26,36,-252542.0,-172594.0,1.2957925253229252,0.995930003905571,0.7407592853795929,0.9969292010396007,0.5550332399433324,0.9793422346914707
15,17733.25,7211.0,10522.25,-1,17,17211.0,-75094.0,1.6728424590724247,0.9941670602056877,0.7313068646690687,0.9979136221042807,0.941535594403356,0.9818772015857038
16,14878.0,7688.0,7190.0,18,10,-172312.0,-42315.0,1.4887488478664885,0.9957950563978768,0.7931525430595254,0.9947154707927479,0.695596304806963,0.9881785281841654
17,15625.5,7011.0,8614.5,-19,34,197011.0,-161326.0,1.567944102589441,0.9978844241186934,0.6976576429125765,0.9978638809876056,0.8702864596768646,0.9915024776331597
18,16432.5,6779.0,9653.5,10,25,-93221.0,-117359.0,1.6720618427296183,0.99338376667696,0.6875660534276605,0.995094067689521,0.9844957893019579,0.9892418984949158
