mode,step_index,day,timestamp,product,submitted_orders,fills,pending_orders_next_step,position,cash,mid_price,microprice,spread,imbalance,source_mode,access_added_levels,signal_proxy,toxicity_bucket,agreement_state,product_pnl
no_access,0,-1,0,ASH_COATED_OSMIUM,4,0,4,0,0.0,9991.0,9993.1176,18.0,0.235294,public,0,2.1176,high,agree,0.0
no_access,0,-1,0,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.5,10997.9706,15.0,-0.470588,public,0,3.5294,high,agree,0.0
no_access,1,-1,100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.0,9992.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,1,-1,100,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11000.0,11000.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,2,-1,200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,2,-1,200,INTARIAN_PEPPER_ROOT,0,0,0,0,0.0,11006.0,11006.0,0.0,0.0,public,0,0.0,low,neutral,0.0
no_access,3,-1,300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9992.5,21.0,0.0,public,0,0.0,low,neutral,0.0
no_access,3,-1,300,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.5,10997.871,15.0,-0.483871,public,0,3.629,high,agree,0.0
no_access,4,-1,400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9998.0,9997.4,6.0,-0.2,public,0,0.6,medium,agree,0.0
no_access,4,-1,400,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11000.0,11000.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,5,-1,500,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,5,-1,500,INTARIAN_PEPPER_ROOT,0,0,0,0,0.0,11009.0,11009.0,0.0,0.0,public,0,0.0,low,neutral,0.0
no_access,6,-1,600,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.0,9994.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,6,-1,600,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,7,-1,700,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,7,-1,700,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,8,-1,800,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9990.8462,19.0,-0.384615,public,0,3.6538,high,agree,0.0
no_access,8,-1,800,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,9,-1,900,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,9,-1,900,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,10999.5,11003.3636,15.0,0.515152,public,0,3.8636,high,agree,0.0
no_access,10,-1,1000,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,10,-1,1000,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,10999.5,11002.1613,15.0,0.354839,public,0,2.6613,high,agree,0.0
no_access,11,-1,1100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9991.0244,19.0,-0.365854,public,0,3.4756,high,agree,0.0
no_access,11,-1,1100,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,12,-1,1200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.0,9995.6,18.0,0.4,public,0,3.6,high,agree,0.0
no_access,12,-1,1200,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.0,11001.0,18.0,0.0,public,0,0.0,low,neutral,0.0
no_access,13,-1,1300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9991.8611,19.0,-0.277778,public,0,2.6389,high,agree,0.0
no_access,13,-1,1300,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,14,-1,1400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,14,-1,1400,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,15,-1,1500,ASH_COATED_OSMIUM,5,1,4,4,-39964.0,9988.0,9989.5,6.0,0.5,public,0,1.5,high,agree,-12.0
no_access,15,-1,1500,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,16,-1,1600,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9994.5,9992.1892,19.0,-0.243243,public,0,2.3108,high,agree,14.0
no_access,16,-1,1600,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,17,-1,1700,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9992.0,9994.6757,18.0,0.297297,public,0,2.6757,high,agree,4.0
no_access,17,-1,1700,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.5,11001.5,17.0,0.0,public,0,0.0,low,neutral,0.0
no_access,18,-1,1800,ASH_COATED_OSMIUM,5,1,4,8,-79944.0,9990.5,9992.8824,9.0,0.529412,public,0,2.3824,high,agree,-20.0
no_access,18,-1,1800,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,19,-1,1900,ASH_COATED_OSMIUM,1,0,1,8,-79944.0,10001.0,10001.0,0.0,0.0,public,0,0.0,low,neutral,64.0
no_access,19,-1,1900,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,20,-1,2000,ASH_COATED_OSMIUM,4,0,4,8,-79944.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,20,-1,2000,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,21,-1,2100,ASH_COATED_OSMIUM,4,0,4,8,-79944.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,21,-1,2100,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,22,-1,2200,ASH_COATED_OSMIUM,4,0,4,8,-79944.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,22,-1,2200,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,23,-1,2300,ASH_COATED_OSMIUM,4,0,4,8,-79944.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,23,-1,2300,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,24,-1,2400,ASH_COATED_OSMIUM,4,0,4,8,-79944.0,9993.5,9989.4286,19.0,-0.428571,public,0,4.0714,high,agree,4.0
no_access,24,-1,2400,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,25,-1,2500,ASH_COATED_OSMIUM,4,0,4,8,-79944.0,9991.0,9993.8537,18.0,0.317073,public,0,2.8537,high,agree,-16.0
no_access,25,-1,2500,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11002.5,11002.5,13.0,0.0,public,0,0.0,low,neutral,0.0
no_access,26,-1,2600,ASH_COATED_OSMIUM,4,0,4,8,-79944.0,9992.0,9992.0,16.0,0.0,public,0,0.0,low,neutral,-8.0
no_access,26,-1,2600,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11003.0,11003.0,12.0,0.0,public,0,0.0,low,neutral,0.0
no_access,27,-1,2700,ASH_COATED_OSMIUM,1,0,1,8,-79944.0,10003.0,10003.0,0.0,0.0,public,0,0.0,low,neutral,80.0
no_access,27,-1,2700,INTARIAN_PEPPER_ROOT,3,1,2,23,-253053.0,10998.0,10998.1579,2.0,0.157895,public,0,0.1579,low,agree,-99.0
no_access,28,-1,2800,ASH_COATED_OSMIUM,4,0,4,8,-79944.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
no_access,28,-1,2800,INTARIAN_PEPPER_ROOT,2,0,2,23,-253053.0,11003.0,11003.0,12.0,0.0,public,0,0.0,low,neutral,16.0
no_access,29,-1,2900,ASH_COATED_OSMIUM,4,0,4,8,-79944.0,9992.0,9993.5,18.0,0.166667,public,0,1.5,high,agree,-8.0
no_access,29,-1,2900,INTARIAN_PEPPER_ROOT,4,0,4,23,-253053.0,11007.5,11007.2,3.0,-0.2,public,0,0.3,low,agree,119.5
no_access,30,-1,3000,ASH_COATED_OSMIUM,4,0,4,8,-79944.0,9994.0,9994.0,16.0,0.0,public,0,0.0,low,neutral,8.0
