mode,step_index,day,timestamp,product,submitted_orders,fills,pending_orders_next_step,position,cash,mid_price,microprice,spread,imbalance,source_mode,access_added_levels,signal_proxy,toxicity_bucket,agreement_state,product_pnl
access,0,-1,0,ASH_COATED_OSMIUM,4,0,4,0,0.0,9991.5,9993.5,17.0,0.235294,access,1,2.0,high,agree,0.0
access,0,-1,0,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.5,10997.9706,15.0,-0.470588,access,1,3.5294,high,agree,0.0
access,1,-1,100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.0,9992.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,1,-1,100,INTARIAN_PEPPER_ROOT,3,1,2,16,-176096.0,11000.5,11000.8235,11.0,0.058824,access,1,0.3235,low,agree,-88.0
access,2,-1,200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.5,9992.0,15.0,-0.2,access,2,1.5,high,agree,0.0
access,2,-1,200,INTARIAN_PEPPER_ROOT,3,1,2,25,-275150.0,10999.5,11001.8214,13.0,0.357143,access,1,2.3214,high,agree,-162.5
access,3,-1,300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9992.5,21.0,0.0,access,1,0.0,low,neutral,0.0
access,3,-1,300,INTARIAN_PEPPER_ROOT,2,0,2,25,-275150.0,11001.5,10997.871,15.0,-0.483871,public,0,3.629,high,agree,-112.5
access,4,-1,400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9998.0,9997.4,6.0,-0.2,public,0,0.6,medium,agree,0.0
access,4,-1,400,INTARIAN_PEPPER_ROOT,3,1,2,39,-429220.0,11000.0,11000.625,10.0,0.125,access,2,0.625,medium,agree,-220.0
access,5,-1,500,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,0.0
access,5,-1,500,INTARIAN_PEPPER_ROOT,1,0,1,39,-429220.0,11009.0,11009.0,0.0,0.0,public,0,0.0,low,neutral,131.0
access,6,-1,600,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.0,9994.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,6,-1,600,INTARIAN_PEPPER_ROOT,2,0,2,39,-429220.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-181.0
access,7,-1,700,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.5,9993.1429,15.0,-0.047619,access,1,0.3571,medium,agree,0.0
access,7,-1,700,INTARIAN_PEPPER_ROOT,3,1,2,48,-528283.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-235.0
access,8,-1,800,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.0,10000.4286,18.0,0.714286,access,1,6.4286,high,agree,0.0
access,8,-1,800,INTARIAN_PEPPER_ROOT,2,0,2,48,-528283.0,11001.0,11001.0,12.0,0.0,access,2,0.0,low,neutral,-235.0
access,9,-1,900,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,9,-1,900,INTARIAN_PEPPER_ROOT,3,1,2,56,-616339.0,10999.5,11003.3636,15.0,0.515152,public,0,3.8636,high,agree,-367.0
access,10,-1,1000,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,0.0
access,10,-1,1000,INTARIAN_PEPPER_ROOT,2,0,2,56,-616339.0,10999.5,11002.1613,15.0,0.354839,public,0,2.6613,high,agree,-367.0
access,11,-1,1100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9991.0244,19.0,-0.365854,public,0,3.4756,high,agree,0.0
access,11,-1,1100,INTARIAN_PEPPER_ROOT,2,0,2,56,-616339.0,11001.0,11001.0,12.0,0.0,access,1,0.0,low,neutral,-283.0
access,12,-1,1200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.0,9995.6,18.0,0.4,access,1,3.6,high,agree,0.0
access,12,-1,1200,INTARIAN_PEPPER_ROOT,2,0,2,56,-616339.0,11001.0,11001.0,18.0,0.0,public,0,0.0,low,neutral,-283.0
access,13,-1,1300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.0,9994.36,18.0,0.04,access,1,0.36,medium,agree,0.0
access,13,-1,1300,INTARIAN_PEPPER_ROOT,2,0,2,56,-616339.0,11001.0,11001.0,12.0,0.0,access,1,0.0,low,neutral,-283.0
access,14,-1,1400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.5,9996.9459,15.0,0.459459,access,2,3.4459,high,agree,0.0
access,14,-1,1400,INTARIAN_PEPPER_ROOT,3,1,2,66,-726409.0,11001.5,11002.7692,11.0,0.230769,access,1,1.2692,high,agree,-310.0
access,15,-1,1500,ASH_COATED_OSMIUM,5,1,4,15,-149850.0,9987.5,9987.2222,5.0,-0.111111,access,1,0.2778,low,agree,-37.5
access,15,-1,1500,INTARIAN_PEPPER_ROOT,2,0,2,66,-726409.0,11001.0,11001.0,12.0,0.0,access,1,0.0,low,neutral,-343.0
access,16,-1,1600,ASH_COATED_OSMIUM,4,0,4,15,-149850.0,9994.5,9992.1892,19.0,-0.243243,public,0,2.3108,high,agree,67.5
access,16,-1,1600,INTARIAN_PEPPER_ROOT,2,0,2,66,-726409.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,-277.0
access,17,-1,1700,ASH_COATED_OSMIUM,4,0,4,15,-149850.0,9992.0,9994.6757,18.0,0.297297,access,1,2.6757,high,agree,30.0
access,17,-1,1700,INTARIAN_PEPPER_ROOT,2,0,2,66,-726409.0,11001.0,11003.0,16.0,0.25,access,1,2.0,high,agree,-343.0
access,18,-1,1800,ASH_COATED_OSMIUM,5,1,4,19,-189830.0,9990.5,9992.8824,9.0,0.529412,public,0,2.3824,high,agree,-10.5
access,18,-1,1800,INTARIAN_PEPPER_ROOT,2,0,2,66,-726409.0,11002.0,11002.0,12.0,0.0,access,1,0.0,low,neutral,-277.0
access,19,-1,1900,ASH_COATED_OSMIUM,1,0,1,19,-189830.0,10001.0,10001.0,0.0,0.0,public,0,0.0,low,neutral,189.0
access,19,-1,1900,INTARIAN_PEPPER_ROOT,2,0,2,66,-726409.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,-277.0
access,20,-1,2000,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,37.0
access,20,-1,2000,INTARIAN_PEPPER_ROOT,2,0,2,66,-726409.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,-277.0
access,21,-1,2100,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9993.5,9994.3333,15.0,0.111111,access,1,0.8333,medium,agree,46.5
access,21,-1,2100,INTARIAN_PEPPER_ROOT,2,0,2,66,-726409.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,-277.0
access,22,-1,2200,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,37.0
access,22,-1,2200,INTARIAN_PEPPER_ROOT,3,1,2,78,-858505.0,11002.0,11002.0,12.0,0.0,access,1,0.0,low,neutral,-349.0
access,23,-1,2300,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,37.0
access,23,-1,2300,INTARIAN_PEPPER_ROOT,2,0,2,78,-858505.0,11002.0,11002.0,12.0,0.0,access,1,0.0,low,neutral,-349.0
access,24,-1,2400,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9993.5,9989.4286,19.0,-0.428571,public,0,4.0714,high,agree,46.5
access,24,-1,2400,INTARIAN_PEPPER_ROOT,2,0,2,78,-858505.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,-349.0
access,25,-1,2500,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9991.0,9993.8537,18.0,0.317073,access,1,2.8537,high,agree,-1.0
access,25,-1,2500,INTARIAN_PEPPER_ROOT,2,0,2,78,-858505.0,11002.5,11002.5,13.0,0.0,public,0,0.0,low,neutral,-310.0
access,26,-1,2600,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9992.0,9992.0,16.0,0.0,public,0,0.0,low,neutral,18.0
access,26,-1,2600,INTARIAN_PEPPER_ROOT,2,0,2,78,-858505.0,11003.0,11003.0,12.0,0.0,public,0,0.0,low,neutral,-271.0
access,27,-1,2700,ASH_COATED_OSMIUM,1,0,1,19,-189830.0,10002.0,10002.0,0.0,0.0,access,1,0.0,low,neutral,208.0
access,27,-1,2700,INTARIAN_PEPPER_ROOT,2,0,2,80,-880515.0,10998.0,10998.1579,2.0,0.157895,access,2,0.1579,low,agree,-675.0
access,28,-1,2800,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,37.0
access,28,-1,2800,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11003.0,11003.0,12.0,0.0,access,1,0.0,low,neutral,-275.0
access,29,-1,2900,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9991.5,9991.5,17.0,0.0,access,1,0.0,low,neutral,8.5
access,29,-1,2900,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11007.5,11007.2,3.0,-0.2,public,0,0.3,low,agree,85.0
access,30,-1,3000,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9994.0,9994.0,16.0,0.0,public,0,0.0,low,neutral,56.0
access,30,-1,3000,INTARIAN_PEPPER_ROOT,2,0,2,80,-880515.0,11002.0,11003.75,14.0,0.25,access,1,1.75,high,agree,-355.0
access,31,-1,3100,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9994.5,9991.6667,17.0,-0.333333,access,1,2.8333,high,agree,65.5
access,31,-1,3100,INTARIAN_PEPPER_ROOT,2,0,2,80,-880515.0,11003.0,11004.8966,10.0,0.37931,access,2,1.8966,high,agree,-275.0
access,32,-1,3200,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,37.0
access,32,-1,3200,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11003.0,11003.0,12.0,0.0,access,1,0.0,low,neutral,-275.0
access,33,-1,3300,ASH_COATED_OSMIUM,1,0,1,19,-189830.0,9985.0,9985.0,0.0,0.0,public,0,0.0,low,neutral,-115.0
access,33,-1,3300,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11002.5,11000.6667,11.0,-0.333333,access,1,1.8333,high,agree,-315.0
access,34,-1,3400,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,37.0
access,34,-1,3400,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11003.0,11003.0,12.0,0.0,public,0,0.0,low,neutral,-275.0
access,35,-1,3500,ASH_COATED_OSMIUM,4,0,4,19,-189830.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,37.0
access,35,-1,3500,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11003.5,11003.5,13.0,0.0,public,0,0.0,low,neutral,-235.0
access,36,-1,3600,ASH_COATED_OSMIUM,4,0,4,16,-159830.0,9993.0,9993.0,16.0,0.0,access,2,0.0,low,neutral,58.0
access,36,-1,3600,INTARIAN_PEPPER_ROOT,0,0,0,80,-880515.0,10999.0,10999.0,0.0,0.0,access,1,0.0,low,neutral,-595.0
access,37,-1,3700,ASH_COATED_OSMIUM,4,0,4,16,-159830.0,9992.5,9993.0357,15.0,0.071429,access,1,0.5357,medium,agree,50.0
access,37,-1,3700,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11004.0,11004.0,12.0,0.0,access,1,0.0,low,neutral,-195.0
access,38,-1,3800,ASH_COATED_OSMIUM,4,0,4,16,-159830.0,9997.5,9992.9118,13.0,-0.705882,public,0,4.5882,high,agree,130.0
access,38,-1,3800,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11004.0,11004.0,12.0,0.0,public,0,0.0,low,neutral,-195.0
access,39,-1,3900,ASH_COATED_OSMIUM,4,0,4,16,-159830.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,58.0
access,39,-1,3900,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11004.0,11004.0,12.0,0.0,public,0,0.0,low,neutral,-195.0
access,40,-1,4000,ASH_COATED_OSMIUM,4,0,4,16,-159830.0,9995.0,9992.0,18.0,-0.333333,access,1,3.0,high,agree,90.0
access,40,-1,4000,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11003.5,11002.125,11.0,-0.25,access,1,1.375,high,agree,-235.0
access,41,-1,4100,ASH_COATED_OSMIUM,4,0,4,16,-159830.0,9996.0,9992.7647,10.0,-0.647059,public,0,3.2353,high,agree,106.0
access,41,-1,4100,INTARIAN_PEPPER_ROOT,2,0,2,80,-880515.0,11004.5,11005.6,11.0,0.2,access,1,1.1,high,agree,-155.0
access,42,-1,4200,ASH_COATED_OSMIUM,4,0,4,12,-119826.0,9994.0,9994.0,16.0,0.0,access,1,0.0,low,neutral,102.0
access,42,-1,4200,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11005.5,11003.1724,15.0,-0.310345,public,0,2.3276,high,agree,-75.0
access,43,-1,4300,ASH_COATED_OSMIUM,4,0,4,12,-119826.0,9994.5,9995.3333,15.0,0.111111,access,1,0.8333,medium,agree,108.0
access,43,-1,4300,INTARIAN_PEPPER_ROOT,1,0,1,80,-880515.0,11004.0,11004.0,12.0,0.0,public,0,0.0,low,neutral,-195.0
